,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
31,31,True,,,,,,,48067.0,3.0,,0,,,residential,4.81973760643e+11,,0.0,Fremont,,,,,,,,,,,0.0,0.0,,,330569,,,,fre3,,,,,,2012.0,,,0.0,,0.0,40.0,,4.0,,False,,,,,,,,M,-121.954519114,37.5347168763,2013.0,
173,173,True,,,,,,,44656.0,10.0,,0,,,retail,3.74097996427e+12,,100.0,Fremont,,,,,,,,,,,0.0,44656.0,,,338765,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.958520929,37.5094253025,2013.0,
177,177,True,,,,,,,148830.0,3.0,,0,,,residential,3.82023562193e+12,,0.0,Fremont,,,,,,,,,,,0.0,0.0,,,339665,,,,fre3,,,,,,2012.0,,,0.0,,0.0,95.0,,3.0,,False,,,,,,,,M,-121.956891417,37.5247642202,2014.0,
255,255,True,,,,,,,275018.0,7.0,,0,,,industrial,5.47717995289e+12,,416.0,Fremont,,,,,,,,,,,0.0,275018.0,,,322228,,,,fre4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.937043186,37.4875333303,2014.0,
258,258,True,,,,,,,52160.0,10.0,,0,,,retail,5.51098068384e+12,,117.0,Fremont,,,,,,,,,,,0.0,52160.0,,,309456,,,,fre2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.984946144,37.5548605795,2013.0,
285,285,True,,,,,,,52632.0,3.0,,0,,,residential,6.13460325889e+12,,0.0,Fremont,,,,,,,,,,,0.0,0.0,,,308414,,,,fre1,,,,,,2012.0,,,0.0,,0.0,98.0,,3.0,,False,,,,,,,,M,-122.004604859,37.5599315409,2012.0,
291,291,True,,,,,,,44429.0,10.0,,0,,,retail,6.20691885988e+12,,99.0,Fremont,,,,,,,,,,,0.0,44429.0,,,344329,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.000259741,37.5308663182,2013.0,
322,322,True,,,,,,,270005.0,3.0,,0,,,residential,6.78545667829e+12,,0.0,Fremont,,,,,,,,,,,0.0,0.0,,,307948,,,,fre2,,,,,,2012.0,,,0.0,,0.0,301.0,,4.0,,False,,,,,,,,S,-121.981545755,37.5482230405,2013.0,
486,486,True,,,,,,,44400.0,3.0,,0,,,residential,1.07646634833e+13,,0.0,Fremont,,,,,,,,,,,0.0,0.0,,,345849,,,,fre1,,,,,,2012.0,,,0.0,,0.0,37.0,,1.0,,False,,,,,,,,M,-122.033134844,37.5722007977,2014.0,
574,574,True,,,,,,,50400.0,1.0,,0,,,residential,1.2401895233e+13,,0.0,Fremont,,,,,,,,,,,0.0,0.0,,,318028,,,,,,,,,,2012.0,,,0.0,,0.0,42.0,,1.0,,False,,,,,,,,M,-121.932382707,37.5395082445,2013.0,
595,595,True,,,,,,,60000.0,11.0,,0,,,retail,1.31587848587e+13,,134.0,Fremont,,,,,,,,,,,0.0,60000.0,,,340999,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.971509231,37.5005776829,2012.0,
609,609,True,,,,,,,121220.0,12.0,,0,,,residential,1.35383504497e+13,,9.0,Fremont,,,,,,,,,,,0.0,3620.0,,,313159,,,,,,,,,,2012.0,,,0.0,,0.0,98.0,,1.0,,False,,,,,,,,MH,-121.973610105,37.5741797396,2013.0,
657,657,True,,,,,,,6500.0,10.0,,0,,,retail,1.45245921752e+13,,14.0,Fremont,,,,,,,,,,,0.0,6500.0,,,333139,,,,fre3,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.959279403,37.5314319509,2014.0,
664,664,True,,,,,,,138000.0,11.0,,0,,,retail,1.47060028281e+13,,310.0,Fremont,,,,,,,,,,,0.0,138000.0,,,341000,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.969347512,37.5012837411,2012.0,
