,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
99,99,True,,,,,,,54000.0,4.0,,0,,,office,2.09361247094e+12,,152.0,Gilroy,,,,,,,,,,,0.0,54000.0,,,1713198,,,,gil1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-121.572585908,37.0047900627,2012.0,
102,102,True,,,,,,,11115.0,10.0,,0,,,retail,2.20808654213e+12,,24.0,Gilroy,,,,,,,,,,,0.0,11115.0,,,1713954,,,,gil1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.565971488,36.9992810278,2012.0,
874,874,True,,,,,,,242400.0,3.0,,0,,,residential,1.65434893279e+12,,0.0,Gilroy,,,,,,,,,,,0.0,0.0,,,2049575,,,,vta1_c,,,,,,2012.0,,,0.0,,0.0,202.0,,1.0,,False,,,,,,,,M,-121.599058646,37.0124668041,2016.0,
1296,1296,True,,,,,,,136800.0,3.0,,0,,,residential,1.26026487534e+13,,0.0,Gilroy,,,,,,,,,,,0.0,0.0,,,1723602,,,,gil1,,,,,,2012.0,,,0.0,,0.0,114.0,,1.0,,False,,,,,,,,S,-121.56865005,37.0108337953,2016.0,
2662,2662,,900.0,1000.0,6766965.95937,1049848.81053,780.53352356,8084846.60948,36186.98374,3.0,0.0,2,,0.0,residential,1.54082907833e+13,2.0,0.0,Gilroy,Gilroy,29504.0,1285225.09324,108.9,,,-42950.3159927,3.0,3.21428571429,25.0,0.0,0.0,1935.0,,1712940,12062.3279133,deck,0.2,gil1,gil1,1.0,1.0,73934.0128392,OBAG,2012.0,1.0,398.961853027,0.0,398.961853027,25330.888618,25.0,1.24189800449e-07,4.0,1.0,True,0.0,10000.0,14.0,8052191.05261,0.0,1978.0,b2,S,-121.566527491,37.0010720621,2025.0,29504GIL1b2NANA
2667,2667,,900.0,1000.0,77341297.8308,13305161.7706,780.53352356,92145475.1126,413589.827972,3.0,0.0,32,,0.0,residential,1.30683631188e+13,32.0,0.0,Gilroy,Gilroy,29504.0,15995334.4851,108.9,,,-2395619.41922,3.0,3.21428571429,290.0,0.0,0.0,1999.0,,1713936,137863.275991,deck,0.2,gil1,gil1,1.0,1.0,1157259.04918,OBAG,2012.0,1.0,397.847045898,0.0,397.847045898,289512.879581,290.0,1.07139070179e-08,4.0,1.0,True,0.0,10000.0,14.0,93336632.3159,0.0,25068.0,b2,M,-121.565663965,36.9978999373,2025.0,29504GIL1b2NANA
2675,2675,,900.0,1000.0,7310668.59877,1235501.21594,412.934898376,8734436.46513,39094.4844854,3.0,0.0,3,,0.0,residential,1.4045403609e+12,3.0,0.0,Gilroy,Gilroy,29504.0,1370030.19076,108.9,,,-59478.5734035,3.0,3.21428571429,27.0,0.0,0.0,1989.0,,1712904,13031.4948285,deck,0.2,gil1,gil1,1.0,1.0,110901.019259,OBAG,2012.0,1.0,398.961853027,0.0,398.961853027,27366.1391398,27.0,1.15198099168e-07,4.0,1.0,True,0.0,10000.0,14.0,8680698.78953,0.0,4400.0,b2,S,-121.566899287,37.0019277626,2025.0,29504GIL1b2NANA
2689,2689,,900.0,1000.0,8216056.03399,1348137.50189,780.53352356,9816149.98044,43936.128524,3.0,0.0,3,,0.0,residential,5.79432855771e+11,3.0,0.0,Gilroy,Gilroy,29504.0,1633917.67863,108.9,,,-150586.393319,3.0,3.21428571429,31.0,0.0,0.0,1962.0,,1712896,14645.3761747,deck,0.2,gil1,gil1,1.0,1.0,110901.019259,OBAG,2012.0,1.0,398.961853027,0.0,398.961853027,30755.2899668,31.0,1.01523113581e-07,4.0,1.0,True,0.0,10000.0,14.0,9849973.71262,0.0,2540.0,b2,S,-121.567019779,37.0021874187,2025.0,29504GIL1b2NANA
2840,2840,,900.0,1000.0,17010817.2128,2855726.17798,419.959732056,20149157.4386,90966.9369666,3.0,0.0,7,,0.0,residential,8.1766673012e+12,7.0,0.0,Gilroy,Gilroy,29504.0,3174079.93193,108.9,,,-288467.861042,3.0,3.21428571429,64.0,0.0,0.0,1950.0,,1723592,30322.3123222,deck,0.2,gil1,gil1,1.0,1.0,241499.416031,OBAG,2012.0,1.0,395.535339355,0.0,395.535339355,63676.8558766,64.0,4.95419913627e-08,4.0,1.0,True,0.0,10000.0,14.0,20184897.1447,0.0,10000.0,b2,S,-121.570080335,37.0109898343,2025.0,29504GIL1b2NANA
3062,3062,,900.0,1000.0,12697634.2633,1866586.86818,415.151344299,14753758.4104,67901.787504,3.0,0.0,5,,0.0,residential,1.29154404211e+13,5.0,0.0,Gilroy,Gilroy,29504.0,2101499.52121,108.9,,,-198479.115658,3.0,3.21428571429,48.0,0.0,0.0,1962.0,,1712504,22633.929168,deck,0.2,gil1,gil1,1.0,1.0,145377.854364,OBAG,2012.0,1.0,388.001525879,0.0,388.001525879,47531.2512528,48.0,6.75715223988e-08,4.0,1.0,True,0.0,10000.0,14.0,14799133.7845,0.0,6612.0,b2,S,-121.570579923,37.0101888403,2025.0,29504GIL1b2NANA
