,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
96,96,True,,,,,,,10000.0,8.0,,0,,,industrial,1.99191767918e+12,,10.0,Hayward,,,,,,,,,,,0.0,10000.0,,,290450,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.062213962,37.6188970088,2013.0,
141,141,True,,,,,,,41000.0,10.0,,0,,,retail,3.05979419071e+12,,92.0,Hayward,,,,,,,,,,,0.0,41000.0,,,290641,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.060006024,37.6066441747,2013.0,
287,287,True,,,,,,,5000.0,10.0,,0,,,retail,6.14020903916e+12,,11.0,Hayward,,,,,,,,,,,0.0,5000.0,,,263796,,,,hay2,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.079465811,37.6746225468,2014.0,
646,646,True,,,,,,,1838.0,10.0,,0,,,retail,1.43536007128e+13,,4.0,Hayward,,,,,,,,,,,0.0,1838.0,,,272088,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.111491978,37.6334680324,2013.0,
647,647,True,,,,,,,8250.0,10.0,,0,,,retail,1.43536007128e+13,,18.0,Hayward,,,,,,,,,,,0.0,8250.0,,,272088,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.111491978,37.6334680324,2014.0,
740,740,True,,,,,,,5200.0,10.0,,0,,,retail,1.6197823115e+13,,11.0,Hayward,,,,,,,,,,,0.0,5200.0,,,265254,,,,hay4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.084669938,37.6740879037,2012.0,
890,890,True,,,,,,,188400.0,3.0,,0,,,residential,1.96268494361e+12,,0.0,Hayward,,,,,,,,,,,0.0,0.0,,,269037,,,,hay1,,,,,,2012.0,,,0.0,,0.0,157.0,,1.0,,False,,,,,,,,S,-122.094194551,37.6645087309,2015.0,
1008,1008,True,,,,,,,285000.0,3.0,,0,,,residential,5.24745665438e+12,,0.0,Hayward,,,,,,,,,,,0.0,0.0,,,168657,,,,hay3_b,,,,,,2012.0,,,0.0,,0.0,308.0,,3.0,,False,,,,,,,,M,-122.053721762,37.6344698664,2017.0,
1009,1009,True,,,,,,,412200.0,14.0,,0,,,office,5.24745665438e+12,,7.0,Hayward,,,,,,,,,,,0.0,3000.0,,,168657,,,,hay3_b,,,,,,2012.0,,,0.0,,0.0,341.0,,4.0,,False,,,,,,,,M,-122.053721762,37.6344698664,2019.0,
1277,1277,True,,,,,,,249100.0,12.0,,0,,,residential,1.21648671677e+13,,160.0,Hayward,,,,,,,,,,,0.0,61600.0,,,168663,,,,hay3_b,,,,,,2012.0,,,0.0,,0.0,125.0,,4.0,,False,,,,,,,,M,-122.05635402,37.6345476738,2015.0,
