,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
526,526,True,,,,,,,18000.0,7.0,,0,,,industrial,1.13252093712e+13,,27.0,Healdsburg,,,,,,,,,,,0.0,18000.0,,,1972011,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.875908548,38.6293375956,2014.0,
1020,1020,True,,,,,,,5800.0,10.0,,0,,,retail,5.78342254559e+12,,13.0,Healdsburg,,,,,,,,,,,0.0,5800.0,,,1868448,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.869565897,38.6124472709,2015.0,
5994,5994,,,1655.20020314,9731421.66003,717020.907624,637.048321533,19115859.9705,49423.1673948,2.0,1.0,0,,0.0,residential,3.47167347474e+12,0.0,0.0,Healdsburg,,,1766519.10208,20.0,,,7770277.59251,0.75,0.894074543912,24.0,0.0,0.0,1964.0,,1870906,65897.5565264,surface,0.0,,,,,0.0,,2012.0,,455.034515381,0.0,455.034515381,42009.6922856,25.0,0.675797323475,2.0,,False,0.0,,31.0,11497940.7621,1.0,1655.20020314,,S,-122.871914437,38.6221160552,2030.0,
6384,6384,,,1655.20020314,4666354.53274,649663.328672,368.590759277,9280856.85383,23699.1088509,1.0,0.0,0,,0.0,residential,72928300554.0,0.0,0.0,Healdsburg,,,1086426.95495,16.0,,,3598636.87347,0.5,0.71525963513,12.0,0.0,0.0,1967.0,,1870942,47398.2177018,surface,0.0,,,,,0.0,,2012.0,,460.720071411,0.0,460.720071411,20144.2425232,12.0,0.625547290675,1.0,,False,0.0,,31.0,5752781.48769,0.0,2592.0,,S,-122.873382451,38.625010161,2030.0,
6415,6415,,,1655.20020314,980763.878236,0.0,150.0,2220053.56672,4981.02528307,1.0,0.0,0,,0.0,residential,7.58432128804e+12,0.0,0.0,Healdsburg,,,49810.2528307,16.0,,,1189479.43565,0.5,0.715259635128,3.0,0.0,0.0,9999.0,,1869543,9962.05056613,surface,0.0,,,,,0.0,,2012.0,,524.355444336,0.0,524.355444336,4233.87149061,3.0,1.1541910473,1.0,,False,0.0,,31.0,1030574.13107,0.0,0.0,,M,-122.872172787,38.6301834837,2030.0,
6441,6441,,,1655.20020314,5187573.2941,2774792.96316,616.326937256,9858720.83771,26346.2330833,2.0,4.0,0,,0.0,residential,6.93379416833e+12,0.0,0.0,Healdsburg,,,3316056.06797,20.0,,,1382193.30514,0.75,0.894074543912,10.0,0.0,0.0,1964.0,,1869473,35128.3107777,surface,0.0,,,,,0.0,,2012.0,,440.233526611,0.0,440.233526611,22394.2981208,14.0,0.162541574461,2.0,,False,0.0,,31.0,8503629.36208,4.0,6620.80081258,,S,-122.866147781,38.6256939988,2030.0,
6679,6679,,,1655.20020314,992216.070554,0.0,150.0,2116445.53283,5039.1877631,1.0,0.0,0,,0.0,residential,1.96466125619e+12,0.0,0.0,Healdsburg,,,50391.877631,16.0,,,1073837.58464,0.5,0.715259635128,3.0,0.0,0.0,9999.0,,1869586,10078.3755262,surface,0.0,,,,,0.0,,2012.0,,494.114535522,0.0,494.114535522,4283.30959863,3.0,1.02995338422,1.0,,False,0.0,,31.0,1042607.94818,0.0,0.0,,M,-122.872171275,38.6289488292,2030.0,
8999,8999,,,1655.20020314,1883098.53942,633364.47624,359.34349823,3822139.91884,9563.73052017,1.0,0.0,0,,0.0,residential,7.56378417136e+12,0.0,0.0,Healdsburg,,,805197.695303,16.0,,,1156520.5578,0.5,0.71525963513,5.0,0.0,0.0,1996.0,,1870128,19127.4610403,surface,0.0,,,,,0.0,,2012.0,,470.175857544,0.0,470.175857544,8129.17094214,5.0,0.430205772289,1.0,,False,0.0,,31.0,2688296.23472,0.0,2592.0,,S,-122.871751865,38.6273307696,2035.0,
10899,10899,,,1655.20020314,1745004.86848,0.0,150.0,3962025.26065,8862.39140926,1.0,0.0,0,,0.0,residential,2.81654707276e+12,0.0,0.0,Healdsburg,,,88623.9140926,16.0,,,2170964.40764,0.5,0.71525963513,5.0,0.0,0.0,9999.0,,1868192,17724.7828185,surface,0.0,,,,,0.0,,2012.0,,525.953546143,0.0,525.953546143,7533.03269787,5.0,1.18397160225,1.0,,False,0.0,,31.0,1833628.78258,0.0,0.0,,S,-122.872321577,38.6146122296,2040.0,
11078,11078,,,1655.20020314,344425.375852,0.0,150.0,758149.915749,1749.24010082,1.0,0.0,0,,0.0,residential,1.49193742099e+13,0.0,0.0,Healdsburg,,,34984.8020165,6.0,,,378739.73788,0.25,0.268222363173,1.0,0.0,0.0,9999.0,,1971566,6996.9604033,surface,0.0,,,,,0.0,,2012.0,,509.902029419,0.0,509.902029419,1486.8540857,1.0,0.998232941476,1.0,,False,0.0,,31.0,379410.177869,0.0,0.0,,M,-122.85373274,38.6109954015,2040.0,
