,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
1074,1074,True,,,,,,,75090.0,3.0,,0,,,residential,7.29101915609e+12,,0.0,Hercules,,,,,,,,,,,0.0,0.0,,,649848,,,,her2,,,,,,2012.0,,,0.0,,0.0,67.0,,4.0,,False,,,,,,,,M,-122.2766093,38.0143766987,2016.0,
1075,1075,True,,,,,,,75090.0,3.0,,0,,,residential,7.29101915609e+12,,0.0,Hercules,,,,,,,,,,,0.0,0.0,,,649848,,,,her2,,,,,,2012.0,,,0.0,,0.0,67.0,,4.0,,False,,,,,,,,M,-122.2766093,38.0143766987,2016.0,
6006,6006,,,1927.0,1564371.56798,0.0,150.0,3547976.38466,7945.00542395,1.0,0.0,0,,0.0,residential,1.05870558832e+13,0.0,0.0,Hercules,,,79450.0542395,12.0,,,1894633.98863,0.5,0.624534111165,4.0,0.0,0.0,9999.0,,655786,15890.0108479,surface,0.0,,,,,0.0,,2012.0,,525.372814941,0.0,525.372814941,6753.25461036,4.0,1.15257882183,1.0,,False,0.0,,20.0,1643821.62222,0.0,0.0,,MH,-122.260612368,38.0194547113,2030.0,
6107,6107,,,2301.0,29871370.9981,0.0,150.0,75158446.0971,151708.33417,1.0,0.0,5,,0.0,residential,1.04997566731e+12,5.0,0.0,Hercules,,,1011388.89447,12.0,,,38452581.1171,0.75,0.745746232377,56.0,0.0,0.0,9999.0,,596891,202277.778894,surface,0.0,,,,,5434695.17718,,2012.0,,582.840104167,0.0,582.840104167,128952.084045,56.0,1.24511479061,2.0,,False,0.0,,20.0,30882759.8926,0.0,0.0,,H,-122.237767906,37.9909833857,2030.0,
6156,6156,,,2006.0,3552564.20889,0.0,150.0,12014500.4634,16229.1649561,2.0,0.0,0,,0.0,residential,5.78139815214e+12,0.0,0.0,Hercules,,,54097.2165204,30.0,,,8491917.42832,1.5,1.62534435262,7.0,0.0,0.0,9999.0,,638780,10819.4433041,surface,0.0,,,,,0.0,,2012.0,,870.944775391,0.0,870.944775391,13794.7902127,7.0,2.35450917807,4.0,,False,0.0,,20.0,3606661.42541,0.0,0.0,,M,-122.28286869,38.0082869723,2030.0,
6326,6326,,,2006.0,4784193.64402,0.0,150.0,16100963.7657,21855.6128096,2.0,0.0,0,,0.0,residential,1.74335681239e+13,0.0,0.0,Hercules,,,72852.0426987,30.0,,,11356357.2598,1.5,1.62534435262,9.0,0.0,0.0,9999.0,,642260,14570.4085397,surface,0.0,,,,,0.0,,2012.0,,866.702319336,0.0,866.702319336,18577.2708882,9.0,2.33812032916,4.0,,False,0.0,,20.0,4857045.68672,0.0,0.0,,M,-122.280787097,38.0092589401,2030.0,
6346,6346,,,2006.0,2851369.1852,0.0,150.0,9709946.55646,13025.8985162,2.0,0.0,0,,0.0,residential,9.27845110031e+12,0.0,0.0,Hercules,,,43419.6617207,30.0,,,6883309.28663,1.5,1.62534435262,6.0,0.0,0.0,9999.0,,636033,8683.93234414,surface,0.0,,,,,0.0,,2012.0,,876.981079102,0.0,876.981079102,11072.0137388,6.0,2.37782776245,4.0,,False,0.0,,20.0,2894788.84692,0.0,0.0,,M,-122.280041723,38.0071088074,2030.0,
6410,6410,,,2006.0,596011479.373,0.0,150.0,1880848867.17,2474103.27677,3.0,0.0,104,,0.0,residential,1.03263750599e+13,104.0,0.0,Hercules,,,6185258.19192,43.56,,,1129684417.14,2.0,2.36,1048.0,0.0,0.0,9999.0,,658999,1237051.63838,surface,0.0,her2,,,,160152706.699,,2012.0,,894.369848633,0.0,894.369848633,2102987.78525,1048.0,1.87593911868,6.0,,False,0.0,,20.0,602196737.565,0.0,0.0,,M,-122.283152536,38.0205474781,2030.0,
6535,6535,,,2006.0,3346534.32584,0.0,150.0,10737916.609,15287.9594602,2.0,0.0,0,,0.0,residential,1.51852994777e+13,0.0,0.0,Hercules,,,50959.8648674,30.0,,,7413826.64244,1.5,1.62534435262,6.0,0.0,0.0,9999.0,,633219,10191.9729735,surface,0.0,,,,,0.0,,2012.0,,826.326306152,0.0,826.326306152,12994.7655412,6.0,2.18214549497,4.0,,False,0.0,,20.0,3397494.19071,0.0,0.0,,M,-122.282149748,38.0058452619,2030.0,
6886,6886,,,2006.0,29425791.2508,0.0,150.0,99022810.6865,134425.72522,2.0,0.0,5,,0.0,residential,1.3565727408e+13,5.0,0.0,Hercules,,,448085.750735,30.0,,,62344785.7787,1.5,1.62534435262,57.0,0.0,0.0,9999.0,,634408,89617.150147,surface,0.0,,,,,7421423.013,,2012.0,,866.630432129,0.0,866.630432129,114261.866437,57.0,2.08693320173,4.0,,False,0.0,,20.0,29873877.0015,0.0,0.0,,M,-122.280312662,38.0051920759,2030.0,
