,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
191,191,True,,,,,,,78939.0,12.0,,0,,,residential,4.10841019465e+12,,60.0,Lafayette,,,,,,,,,,,0.0,23009.0,,,720514,,,,laf1,,,,,,2012.0,,,0.0,,0.0,85.0,,3.0,,False,,,,,,,,M,-122.113307964,37.8931034425,2014.0,
263,263,True,,,,,,,32566.0,3.0,,0,,,residential,5.58679344191e+12,,0.0,Lafayette,,,,,,,,,,,0.0,0.0,,,721112,,,,laf1,,,,,,2012.0,,,0.0,,0.0,45.0,,2.0,,False,,,,,,,,M,-122.111419345,37.8936762493,2014.0,
1263,1263,True,,,,,,,10000.0,4.0,,0,,,office,1.18270192218e+13,,28.0,Lafayette,,,,,,,,,,,0.0,10000.0,,,716065,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.135089654,37.8883635337,2015.0,
2635,2635,,1000.0,1000.0,3312313.6771,3915892.59159,1070.78199626,7361489.93647,13749.7454425,3.0,8.0,0,,0.0,residential,4.24776173496e+12,0.0,0.0,Lafayette,Lafayette,39122.0,4068667.54095,55.0,,,-19783.6410584,1.8,1.80375180375,2.0,0.0,0.0,1967.0,,717387,7638.74746805,surface,0.0,laf1,laf1,1.0,1.0,0.0,OBAG,2012.0,1.0,764.84428304,0.0,764.84428304,9624.82180975,10.0,1.3548334164e-07,5.0,1.0,True,0.0,10000.0,22.0,7380981.21805,8.0,5378.0,bart3,MH,-122.122092966,37.8900123139,2025.0,39122LAF1bart3NANA
2642,2642,,1000.0,1000.0,5898343.10192,6306606.87169,1052.23756185,12881814.3722,24484.6122952,3.0,8.0,1,,0.0,residential,1.51919265756e+13,1.0,0.0,Lafayette,Lafayette,39122.0,6578658.11942,55.0,,,-49683.030635,1.8,1.80375180375,9.0,0.0,0.0,1967.0,,716007,13602.5623862,surface,0.0,laf1,laf1,1.0,1.0,453761.973598,OBAG,2012.0,1.0,751.598258464,0.0,751.598258464,17139.2286066,17.0,8.01474635019e-08,5.0,1.0,True,0.0,10000.0,22.0,12477001.2213,8.0,8814.0,bart3,MH,-122.11991803,37.8886861758,2025.0,39122LAF1bart3NANA
2647,2647,,1000.0,1000.0,6015082.95243,7582131.41174,869.071960449,14368331.7317,24969.2110935,3.0,0.0,1,,0.0,residential,7.2443996601e+12,1.0,0.0,Lafayette,Lafayette,39122.0,7859567.09056,55.0,,,-30693.1497206,1.8,1.80375180375,17.0,0.0,0.0,1961.0,,715886,13871.7839409,surface,0.0,laf1,laf1,1.0,1.0,524223.655727,OBAG,2012.0,1.0,822.059940592,0.0,822.059940592,17478.4477655,17.0,7.20738899288e-08,5.0,1.0,True,0.0,10000.0,22.0,13874650.043,0.0,12830.0,,MH,-122.132135021,37.8887224758,2025.0,39122LAF1NANANA
3117,3117,,1000.0,1000.0,70455296.4195,72661368.5591,915.261535645,153543644.587,292466.983892,3.0,0.0,20,,0.0,residential,1.21881580406e+13,20.0,0.0,Lafayette,Lafayette,39122.0,75911001.7135,55.0,,,-1893764.922,1.8,1.80375180375,205.0,0.0,0.0,1961.0,,719108,162481.657718,surface,0.0,laf1,laf1,1.0,1.0,9043125.62104,OBAG,2012.0,1.0,749.992565918,0.0,749.992565918,204726.888724,205.0,6.83217388672e-09,5.0,1.0,True,0.0,10000.0,22.0,146366298.133,0.0,116748.0,bart3,MH,-122.119396965,37.8909749213,2025.0,39122LAF1bart3NANA
3118,3118,,1000.0,1000.0,4280193.90294,4346187.6158,862.660598755,9202197.84108,17767.5130882,3.0,0.0,1,,0.0,residential,7.10275677322e+12,1.0,0.0,Lafayette,Lafayette,39122.0,4543604.42789,55.0,,,-64290.2726735,1.8,1.80375180375,12.0,0.0,0.0,1984.0,,719072,9870.84060454,surface,0.0,laf1,laf1,1.0,1.0,442053.24557,OBAG,2012.0,1.0,739.889530436,0.0,739.889530436,12437.2591617,12.0,1.13329879323e-07,5.0,1.0,True,0.0,10000.0,22.0,8823798.33083,0.0,7409.0,,M,-122.113341794,37.8916239451,2025.0,39122LAF1NANANA
3121,3121,,1000.0,1000.0,10843739.0814,11911719.4559,915.790176392,24413470.7697,45013.445751,3.0,0.0,3,,0.0,residential,1.49408446476e+12,3.0,0.0,Lafayette,Lafayette,39122.0,12411868.8532,55.0,,,-277121.504529,1.8,1.80375180375,32.0,0.0,0.0,1979.0,,718228,25007.4698617,surface,0.0,laf1,laf1,1.0,1.0,1430889.08241,OBAG,2012.0,1.0,774.799312337,0.0,774.799312337,31509.4120257,32.0,4.30003809323e-08,5.0,1.0,True,0.0,10000.0,22.0,23255607.9346,0.0,19128.0,bart3,MH,-122.126505837,37.8905652861,2025.0,39122LAF1bart3NANA
3589,3589,,1000.0,1000.0,16057829.7541,17471915.8598,1066.58339193,35547975.3552,66657.6577588,3.0,33.0,4,,0.0,residential,1.62459423907e+13,4.0,0.0,Lafayette,Lafayette,39122.0,18212556.5016,55.0,,,-584231.34967,1.8,1.80375180375,14.0,0.0,0.0,1959.0,,708796,37032.0320882,surface,0.0,laf1,laf1,1.0,1.0,1856035.98033,OBAG,2012.0,1.0,761.845279948,0.0,761.845279948,46660.3604312,47.0,2.91797119688e-08,5.0,1.0,True,0.0,12700.6815146,22.0,34270386.2557,33.0,24090.0,,M,-122.114102478,37.8940443491,2025.0,39122LAF1NANANA
3861,3861,,1000.0,1000.0,7622079.73937,8419601.95027,862.660598755,17009747.7757,31640.0155225,3.0,0.0,2,,0.0,residential,1.4933265672e+13,2.0,0.0,Lafayette,Lafayette,39122.0,8771157.6783,55.0,,,-328681.080063,1.8,1.80375180375,22.0,0.0,0.0,1981.0,,720447,17577.7864014,surface,0.0,laf1,laf1,1.0,1.0,940334.241792,OBAG,2012.0,1.0,768.003405762,0.0,768.003405762,22148.0108657,22.0,6.10007635784e-08,5.0,1.0,True,0.0,14940.0490938,22.0,16393237.4177,0.0,14353.0,bart3,MH,-122.121266218,37.8930680574,2025.0,39122LAF1bart3NANA
