,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
82,82,True,,,,,,,109411.0,11.0,,0,,,retail,1.71999322964e+12,,245.0,Livermore,,,,,,,,,,,0.0,109411.0,,,359027,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.843735246,37.6990675211,2012.0,
83,83,True,,,,,,,47275.0,11.0,,0,,,retail,1.71999322964e+12,,106.0,Livermore,,,,,,,,,,,0.0,47275.0,,,359027,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.843735246,37.6990675211,2012.0,
84,84,True,,,,,,,47205.0,11.0,,0,,,retail,1.71999322964e+12,,106.0,Livermore,,,,,,,,,,,0.0,47205.0,,,359027,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.843735246,37.6990675211,2012.0,
85,85,True,,,,,,,64751.0,11.0,,0,,,retail,1.71999322964e+12,,145.0,Livermore,,,,,,,,,,,0.0,64751.0,,,359027,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.843735246,37.6990675211,2012.0,
86,86,True,,,,,,,66973.0,11.0,,0,,,retail,1.71999322964e+12,,150.0,Livermore,,,,,,,,,,,0.0,66973.0,,,359027,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.843735246,37.6990675211,2012.0,
390,390,True,,,,,,,109411.0,11.0,,0,,,retail,8.46807816794e+12,,245.0,Livermore,,,,,,,,,,,0.0,109411.0,,,359026,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.846389852,37.6989695478,2012.0,
391,391,True,,,,,,,66974.0,11.0,,0,,,retail,8.46807816794e+12,,150.0,Livermore,,,,,,,,,,,0.0,66974.0,,,359026,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.846389852,37.6989695478,2012.0,
587,587,True,,,,,,,8400.0,10.0,,0,,,retail,1.29019225396e+13,,18.0,Livermore,,,,,,,,,,,0.0,8400.0,,,226399,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.765263672,37.6993722396,2013.0,
658,658,True,,,,,,,1200.0,10.0,,0,,,retail,1.45339741356e+13,,2.0,Livermore,,,,,,,,,,,0.0,1200.0,,,224671,,,,liv1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.775340498,37.6799656549,2012.0,
982,982,True,,,,,,,294940.0,8.0,,0,,,industrial,4.48000937701e+12,,307.0,Livermore,,,,,,,,,,,0.0,294940.0,,,358997,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.807072965,37.6814088885,2016.0,
