,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
145,145,True,,,,,,,22491.0,3.0,,0,,,residential,3.15593598345e+12,,0.0,Los Altos,,,,,,,,,,,0.0,0.0,,,1332762,,,,vta1_d,,,,,,2012.0,,,0.0,,0.0,20.0,,3.0,,False,,,,,,,,M,-122.11576946,37.3750882322,2013.0,
316,316,True,,,,,,,31238.0,3.0,,0,,,residential,6.59886264328e+12,,0.0,Los Altos,,,,,,,,,,,0.0,0.0,,,1331846,,,,,,,,,,2012.0,,,0.0,,0.0,33.0,,2.0,,False,,,,,,,,M,-122.121382257,37.3925899929,2014.0,
396,396,True,,,,,,,33799.0,10.0,,0,,,retail,8.59197022701e+12,,75.0,Los Altos,,,,,,,,,,,0.0,33799.0,,,1332632,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.118001552,37.3779284852,2014.0,
414,414,True,,,,,,,26056.0,4.0,,0,,,office,9.0766385607e+12,,73.0,Los Altos,,,,,,,,,,,0.0,26056.0,,,1332700,,,,vta1_d,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.115326973,37.377888797,2012.0,
488,488,True,,,,,,,45000.0,10.0,,0,,,retail,1.07828931651e+13,,101.0,Los Altos,,,,,,,,,,,0.0,45000.0,,,1332667,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.119027157,37.3790606916,2014.0,
722,722,True,,,,,,,72102.0,3.0,,0,,,residential,1.58725752261e+13,,0.0,Los Altos,,,,,,,,,,,0.0,0.0,,,1331418,,,,,,,,,,2012.0,,,0.0,,0.0,77.0,,2.0,,False,,,,,,,,M,-122.114805988,37.3992346978,2013.0,
793,793,True,,,,,,,45000.0,4.0,,0,,,office,1.71595968119e+13,,126.0,Los Altos,,,,,,,,,,,0.0,45000.0,,,1332733,,,,vta1_d,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.114857505,37.3764871427,2012.0,
836,836,True,,,,,,,24759.0,4.0,,0,,,office,7.87914317918e+11,,69.0,Los Altos,,,,,,,,,,,0.0,24759.0,,,1332767,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.114466307,37.3744297522,2016.0,
856,856,True,,,,,,,3000.0,10.0,,0,,,retail,1.3382422857e+12,,6.0,Los Altos,,,,,,,,,,,0.0,3000.0,,,1332735,,,,vta1_d,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.116974397,37.3764400429,2015.0,
959,959,True,,,,,,,3679.0,14.0,,0,,,office,3.61349688448e+12,,9.0,Los Altos,,,,,,,,,,,0.0,3679.0,,,1333422,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.107142307,37.3975578149,2015.0,
