,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
76,76,True,,,,,,,15510.0,4.0,,0,,,office,1.50146931081e+12,,43.0,Los Gatos,,,,,,,,,,,0.0,15510.0,,,1511282,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.976306578,37.2402783669,2012.0,
349,349,True,,,,,,,8826.0,10.0,,0,,,retail,7.63202748135e+12,,19.0,Los Gatos,,,,,,,,,,,0.0,8826.0,,,1590581,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.97166303,37.2262539182,2013.0,
570,570,True,,,,,,,25000.0,4.0,,0,,,office,1.2354366704e+13,,70.0,Los Gatos,,,,,,,,,,,0.0,25000.0,,,1510439,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-121.952212691,37.252714592,2013.0,
579,579,True,,,,,,,13888.0,4.0,,0,,,office,1.25399340768e+13,,39.0,Los Gatos,,,,,,,,,,,0.0,13888.0,,,1495757,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.962865009,37.2613050697,2013.0,
614,614,True,,,,,,,40000.0,10.0,,0,,,retail,1.36586102488e+13,,89.0,Los Gatos,,,,,,,,,,,0.0,40000.0,,,1590003,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.979117786,37.2313889109,2011.0,
888,888,True,,,,,,,6813.0,4.0,,0,,,office,1.93014044947e+12,,19.0,Los Gatos,,,,,,,,,,,0.0,6813.0,,,1591900,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.964083052,37.232346976,2015.0,
1088,1088,True,,,,,,,16118.0,10.0,,0,,,retail,7.52195368224e+12,,36.0,Los Gatos,,,,,,,,,,,0.0,16118.0,,,1590374,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.9636625,37.2364500732,2015.0,
1089,1089,True,,,,,,,16200.0,10.0,,0,,,retail,7.52195368224e+12,,36.0,Los Gatos,,,,,,,,,,,0.0,16200.0,,,1590374,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.9636625,37.2364500732,2015.0,
1255,1255,True,,,,,,,121250.0,4.0,,0,,,office,1.16964415819e+13,,341.0,Los Gatos,,,,,,,,,,,0.0,121250.0,,,1511462,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-121.962763943,37.2575221201,2015.0,
1365,1365,True,,,,,,,40000.0,4.0,,0,,,office,1.45799476651e+13,,112.0,Los Gatos,,,,,,,,,,,0.0,40000.0,,,1510737,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.957512427,37.2455070814,2015.0,
1383,1383,True,,,,,,,121250.0,4.0,,0,,,office,1.51307561455e+13,,341.0,Los Gatos,,,,,,,,,,,0.0,121250.0,,,1511457,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-121.964425652,37.257048775,2015.0,
