,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
4310,4310,,2029.42425042,2029.42425042,3380514.68846,1753205.46751,713.009771729,5155807.5002,18077.6186549,3.0,2.0,0,,0.0,residential,1.60515179895e+13,0.0,0.0,Marin County,Marin County,41.0,1882100.65501,40.0,,,-111133.774541,2.5,2.66223829256,4.0,0.0,0.0,1941.0,,760442,7231.04746194,deck,0.2,mco1,mco1,1.0,1.0,0.0,OBAG,2012.0,1.0,509.292694092,0.0,509.292694092,12654.3330584,6.0,1.9001958812e-07,4.0,1.0,True,0.0,18522.2957569,33.0,5262615.34347,2.0,3616.0,b2,S,-122.513207523,37.9586056401,2025.0,00041MCO1b2NANA
5509,5509,,1991.0,1991.0,5318710.56299,3157772.98352,762.742404785,8677660.07524,28442.3024759,3.0,3.0,0,,0.0,residential,1.05895877006e+13,0.0,0.0,Marin County,Marin County,41.0,3374714.4854,40.0,,,-16081.8491147,2.5,2.61183261183,7.0,0.0,0.0,1970.0,,782683,11376.9209904,deck,0.2,mco1,mco1,1.0,1.0,0.0,OBAG,2012.0,1.0,544.816003418,0.0,544.816003418,19909.6117331,10.0,1.15029461281e-07,4.0,1.0,True,0.0,10000.0,34.0,8693425.04839,3.0,6088.27275127,b2,M,-122.514633466,37.8754806946,2030.0,00041MCO1b2NANA
5511,5511,,2029.42425042,2029.42425042,3535487.82072,2110005.16754,764.489922485,5781486.22461,18906.3519824,3.0,2.0,0,,0.0,residential,1.34557884091e+13,0.0,0.0,Marin County,Marin County,41.0,2254542.32316,40.0,,,-8889.96507534,2.5,2.66223829256,5.0,0.0,0.0,1958.0,,760620,7562.54079298,deck,0.2,mco1,mco1,1.0,1.0,0.0,OBAG,2012.0,1.0,546.064230347,0.0,546.064230347,13234.4463877,7.0,1.7271067251e-07,4.0,1.0,True,0.0,10000.0,33.0,5790030.14387,2.0,4058.84850085,cr4,S,-122.509769816,37.9544584195,2030.0,00041MCO1cr4NANA
6161,6161,,,1991.0,178965001.786,0.0,150.0,360051135.306,742901.626341,3.0,0.0,0,,0.0,residential,1.66317642451e+13,0.0,0.0,Marin County,,,1857254.06585,40.0,,,182831379.932,2.0,2.15092097445,317.0,0.0,0.0,9999.0,,782782,371450.81317,surface,0.0,mco1,,,,0.0,,2012.0,,570.18258667,0.0,570.18258667,631466.38239,317.0,1.01111104422,6.0,,False,0.0,,34.0,180822255.851,0.0,0.0,,M,-122.513018143,37.8718801183,2030.0,
6297,6297,,,1991.0,16069570.1131,0.0,150.0,32329600.2313,66706.3931638,3.0,0.0,0,,0.0,residential,1.59925585129e+13,0.0,0.0,Marin County,,,166765.982909,40.0,,,16416738.7444,2.0,2.15092097445,28.0,0.0,0.0,9999.0,,782704,33353.1965819,surface,0.0,mco1,,,,0.0,,2012.0,,570.18258667,0.0,570.18258667,56700.4341892,28.0,1.01111104422,6.0,,False,0.0,,34.0,16236336.0961,0.0,0.0,,M,-122.515288618,37.8740786327,2030.0,
6300,6300,,,2029.42425042,1934347.57864,0.0,841.276290894,5106699.83576,9824.01004898,1.0,0.0,0,,0.0,residential,1.30571428676e+13,0.0,0.0,Marin County,,,785920.803918,7.0,,,2386431.4532,0.25,0.383675518634,4.0,0.0,0.0,1963.0,,783475,39296.0401959,surface,0.0,,,,,0.0,,2012.0,,611.550897217,0.0,611.550897217,8350.40854163,4.0,0.877277943786,1.0,,False,0.0,,34.0,2720268.38256,0.0,0.0,,M,-122.501984799,37.8983653054,2030.0,
6609,6609,,,2029.42425042,2241717.74324,0.0,150.0,5443552.39791,11385.0571013,1.0,0.0,0,,0.0,residential,1.47785115231e+12,0.0,0.0,Marin County,,,227701.142025,7.0,,,2959262.84508,0.25,0.383675518634,5.0,0.0,0.0,9999.0,,838423,45540.2284051,surface,0.0,,,,,0.0,,2012.0,,562.507437134,0.0,562.507437134,9677.29853608,5.0,1.19836406158,1.0,,False,0.0,,34.0,2469418.88527,0.0,0.0,,MH,-122.549277057,37.8856128598,2030.0,
6793,6793,,,2029.42425042,15043581.6608,1263708.04219,806.594696045,37415519.8453,76402.1414972,1.0,1.0,0,,0.0,residential,1.1499283484e+13,0.0,0.0,Marin County,,,16544136.3416,2.75,,,5827801.84286,0.1,0.150729668035,31.0,0.0,0.0,1980.0,,825809,764021.414972,surface,0.0,,,,,0.0,,2012.0,,576.139068604,0.0,576.139068604,64941.8202726,32.0,0.18449581709,1.0,,False,0.0,,33.0,31587718.0024,1.0,2304.0,,M,-122.603199764,37.9953874982,2030.0,
6807,6807,,,2029.42425042,20839814.7049,1255517.83313,941.294802246,60487368.0341,105839.587125,1.0,1.0,0,,0.0,residential,1.67749758665e+13,0.0,0.0,Marin County,,,9722684.80313,7.0,,,29775244.1834,0.25,0.383675518634,43.0,0.0,0.0,1998.0,,794572,423358.3485,surface,0.0,,,,,0.0,,2012.0,,672.353430176,0.0,672.353430176,89963.6490563,44.0,0.974241134158,1.0,,False,0.0,,33.0,30562499.508,1.0,1961.5,,MH,-122.964541107,38.2579583018,2030.0,
6829,6829,,,2029.42425042,459110.255214,0.0,801.760820923,1135029.10414,2331.69250997,1.0,0.0,0,,0.0,residential,8.2502880813e+12,0.0,0.0,Marin County,,,186535.400798,7.0,,,491805.896196,0.25,0.383675518634,1.0,0.0,0.0,1947.0,,782111,9326.7700399,surface,0.0,,,,,0.0,,2012.0,,572.686300659,0.0,572.686300659,1981.93863348,1.0,0.761727259553,1.0,,False,0.0,,34.0,645645.656012,0.0,0.0,,MH,-122.525077062,37.8862829906,2030.0,
