,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
463,463,True,,,,,,,30000.0,3.0,,0,,,residential,1.02299496516e+13,,0.0,Martinez,,,,,,,,,,,0.0,0.0,,,651447,,,,mar1,,,,,,2012.0,,,0.0,,0.0,48.0,,2.0,,False,,,,,,,,S,-122.141110987,38.0177105337,2014.0,
500,500,True,,,,,,,2690.0,10.0,,0,,,retail,1.0991258484e+13,,6.0,Martinez,,,,,,,,,,,0.0,2690.0,,,596742,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.103650757,37.9936394596,2013.0,
773,773,True,,,,,,,10000.0,10.0,,0,,,retail,1.67129276436e+13,,22.0,Martinez,,,,,,,,,,,0.0,10000.0,,,599522,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.106214183,37.9948012117,2012.0,
774,774,True,,,,,,,5345.0,10.0,,0,,,retail,1.67129276436e+13,,12.0,Martinez,,,,,,,,,,,0.0,5345.0,,,599522,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.106214183,37.9948012117,2012.0,
2758,2758,,1000.0,1000.0,3268194.70593,2736524.00585,638.879188538,6494015.69659,14930.0808859,3.0,0.0,1,,0.0,residential,9.2982416026e+12,1.0,0.0,Martinez,Martinez,46114.0,2895499.3052,50.0,,,-71572.1344673,1.5,1.63977436705,10.0,0.0,0.0,1948.0,,645822,9953.38725728,surface,0.0,mar1,mar1,1.0,1.0,400483.566127,OBAG,2012.0,1.0,621.374080404,0.0,621.374080404,10451.0566201,10.0,1.62240370498e-07,4.0,1.0,True,0.0,10000.0,21.0,6163694.01113,0.0,6299.0,b2,M,-122.135558965,38.0133312699,2025.0,46114MAR1b2NANA
2781,2781,,1000.0,1000.0,1552829.0633,1488857.70902,638.896011353,3099448.48611,7093.78283826,3.0,0.0,0,,0.0,residential,1.41716190767e+13,0.0,0.0,Martinez,Martinez,46114.0,1564394.20169,50.0,,,-18494.6929789,1.5,1.63977436705,5.0,0.0,0.0,1922.0,,649126,4729.18855884,surface,0.0,mar1,mar1,1.0,1.0,0.0,OBAG,2012.0,1.0,624.178051758,0.0,624.178051758,4965.64798678,5.0,3.20798324339e-07,4.0,1.0,True,0.0,10000.0,21.0,3117223.26499,0.0,3427.0,b3,S,-122.136825165,38.0157122615,2025.0,46114MAR1b3NANA
2785,2785,,1000.0,1000.0,1223502.6399,1161850.53148,638.969230652,2436352.64703,5589.32224716,3.0,0.0,0,,0.0,residential,3.31024961784e+12,0.0,0.0,Martinez,Martinez,46114.0,1221373.94708,50.0,,,-8869.1765717,1.5,1.63977436705,4.0,0.0,0.0,1930.0,,643786,3726.21483144,surface,0.0,mar1,mar1,1.0,1.0,0.0,OBAG,2012.0,1.0,622.705871582,0.0,622.705871582,3912.52557301,4.0,4.09018600499e-07,4.0,1.0,True,0.0,10000.0,21.0,2444876.58698,0.0,2674.0,b3,S,-122.137539546,38.0160659657,2025.0,46114MAR1b3NANA
3746,3746,,1000.0,1000.0,1626135.38476,1584191.96316,872.87151123,3242136.25117,7428.66781527,3.0,4.0,0,,0.0,residential,2.93790485693e+12,0.0,0.0,Martinez,Martinez,46114.0,1683240.86737,50.0,,,-69963.3554752,1.5,1.63977436705,1.0,0.0,0.0,1991.0,,649466,4952.44521018,surface,0.0,mar1,mar1,1.0,1.0,0.0,OBAG,2012.0,1.0,623.479650879,0.0,623.479650879,5200.06747069,5.0,3.02171745916e-07,4.0,1.0,True,0.0,13992.671095,21.0,3309376.25213,4.0,2669.0,b3,S,-122.13915766,38.0160523359,2025.0,46114MAR1b3NANA
5886,5886,,1000.0,1000.0,2588523.8592,2676787.33108,899.966153971,5321114.34907,11825.1432581,3.0,2.0,0,,0.0,residential,9.24693612269e+11,0.0,0.0,Martinez,Martinez,46114.0,2834455.90785,50.0,,,-103912.91288,1.5,1.63977436705,6.0,0.0,0.0,1927.0,,653444,7883.42883873,surface,0.0,mar1,mar1,1.0,1.0,0.0,OBAG,2012.0,1.0,642.832967122,0.0,642.832967122,8277.60028066,8.0,1.84400466709e-07,4.0,1.0,True,0.0,12989.1141101,21.0,5422979.76705,2.0,4374.0,b3,M,-122.130291123,38.0197007804,2030.0,46114MAR1b3NANA
6177,6177,,,1937.0,5845847.33035,0.0,150.0,15098870.7137,29689.4227037,1.0,0.0,1,,0.0,residential,4.06849352193e+11,1.0,0.0,Martinez,,,296894.227037,12.45,,,7984891.19467,0.5,0.651316642359,13.0,0.0,0.0,9999.0,,497846,59378.8454074,surface,0.0,,,,,931112.880273,,2012.0,,598.306591797,0.0,598.306591797,25236.0092981,13.0,1.29989046748,1.0,,False,0.0,,21.0,6142741.55739,0.0,0.0,,MH,-122.0927283,37.9564997033,2030.0,
6209,6209,,,1455.0,346297.052958,0.0,881.411796061,941180.299301,1758.74582508,1.0,0.0,0,,0.0,residential,1.42605989606e+13,0.0,0.0,Martinez,,,140699.666006,7.26,,,458725.416141,0.25,0.285294117647,1.0,0.0,0.0,1949.0,,642650,7034.98330031,surface,0.0,,,,,0.0,,2012.0,,629.579854329,0.0,629.579854329,1494.93395131,1.0,0.941947652372,1.0,,False,0.0,,21.0,486996.718964,0.0,0.0,,M,-122.126497573,38.0121635172,2030.0,
