,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
72,72,True,,,,,,,11332.0,4.0,,0,,,office,1.38846073344e+12,,31.0,Menlo Park,,,,,,,,,,,0.0,11332.0,,,1188423,,,,men1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.193104752,37.459001091,2013.0,
112,112,True,,,,,,,36068.0,7.0,,0,,,industrial,2.40858715371e+12,,54.0,Menlo Park,,,,,,,,,,,0.0,36068.0,,,1175918,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.150172676,37.4751324129,2013.0,
176,176,True,,,,,,,9650.0,4.0,,0,,,office,3.77879943691e+12,,27.0,Menlo Park,,,,,,,,,,,0.0,9650.0,,,1191670,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.164134489,37.4550526751,2011.0,
190,190,True,,,,,,,58963.0,4.0,,0,,,office,4.10484616201e+12,,166.0,Menlo Park,,,,,,,,,,,0.0,58963.0,,,1174955,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.18122482,37.4816382939,2013.0,
654,654,True,,,,,,,11192.0,4.0,,0,,,office,1.44831076758e+13,,31.0,Menlo Park,,,,,,,,,,,0.0,11192.0,,,1212848,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.205290757,37.4231186019,2013.0,
721,721,True,,,,,,,19466.0,4.0,,0,,,office,1.58270343842e+13,,54.0,Menlo Park,,,,,,,,,,,0.0,19466.0,,,1174967,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.180706758,37.4794295468,2012.0,
778,778,True,,,,,,,27000.0,4.0,,0,,,office,1.68090530956e+13,,76.0,Menlo Park,,,,,,,,,,,0.0,27000.0,,,1189654,,,,men1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.187933668,37.4567033966,2014.0,
889,889,True,,,,,,,630000.0,3.0,,0,,,residential,1.93064971254e+12,,0.0,Menlo Park,,,,,,,,,,,0.0,0.0,,,1174537,,,,,,,,,,2012.0,,,0.0,,0.0,681.0,,4.0,,False,,,,,,,,S,-122.183497564,37.4862826242,2016.0,
966,966,True,,,,,,,25600.0,4.0,,0,,,office,3.80624478281e+12,,72.0,Menlo Park,,,,,,,,,,,0.0,25600.0,,,1175931,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.149088845,37.4757296159,2015.0,
968,968,True,,,,,,,109500.0,3.0,,0,,,residential,3.88389665991e+12,,0.0,Menlo Park,,,,,,,,,,,0.0,0.0,,,1262334,,,,,,,,,,2012.0,,,0.0,,0.0,118.0,,4.0,,False,,,,,,,,S,-122.184045194,37.4868010041,2016.0,
