,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
198,198,True,,,,,,,105961.0,3.0,,0,,,residential,4.26292626145e+12,,0.0,Millbrae,,,,,,,,,,,0.0,0.0,,,1104725,,,,mil1,,,,,,2012.0,,,0.0,,0.0,54.0,,4.0,,False,,,,,,,,S,-122.385850666,37.597559743,2014.0,
674,674,True,,,,,,,59000.0,10.0,,0,,,retail,1.48275599215e+13,,132.0,Millbrae,,,,,,,,,,,0.0,59000.0,,,1095427,,,,mil1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.394374574,37.6034780736,2013.0,
975,975,True,,,,,,,75800.0,12.0,,0,,,residential,4.26292626145e+12,,28.0,Millbrae,,,,,,,,,,,0.0,11000.0,,,1104725,,,,mil1,,,,,,2012.0,,,0.0,,0.0,54.0,,1.0,,False,,,,,,,,S,-122.385850666,37.597559743,2016.0,
2805,2805,,1945.37009674,1945.37009674,2900949.95864,2347504.06269,887.289226532,5342427.65673,12042.1334937,2.0,2.0,0,,0.0,residential,6.3481443271e+12,0.0,0.0,Millbrae,Millbrae,47486.0,2467925.39763,35.0,,,-27518.8842712,2.0,2.23297761334,2.0,0.0,0.0,1984.0,,1104663,6021.06674687,surface,0.0,mil1,mil1,1.0,1.0,0.0,OBAG,2012.0,1.0,633.778018951,0.0,633.778018951,8429.49344562,4.0,1.86258747622e-07,7.0,1.0,True,0.0,10000.0,5.0,5368875.35627,2.0,3890.74019347,bart1,S,-122.390191724,37.5988169705,2025.0,47486MIL1bart1NANA
3308,3308,,1000.0,1000.0,2441129.84082,2403816.14071,1001.70692444,4847310.99309,13054.1702718,3.0,0.0,0,,0.0,residential,2.55117669805e+12,0.0,0.0,Millbrae,Millbrae,47486.0,2498755.56087,87.12,,,-96323.8573016,2.75,2.85714285714,9.0,0.0,0.0,1967.0,,1104693,4746.97100791,deck,0.2,mil1,mil1,1.0,1.0,0.0,OBAG,2012.0,1.0,663.07641983,0.0,663.07641983,9137.91919023,9.0,2.02433845866e-07,4.0,1.0,True,0.0,10702.6508113,5.0,4939885.40169,0.0,3529.0,bart1,S,-122.387939202,37.5995768011,2025.0,47486MIL1bart1NANA
3821,3821,,1945.37009674,1945.37009674,2380119.82305,2044581.09119,1000.57800293,4481287.99279,9880.11549628,3.0,0.0,0,,0.0,residential,1.62165893591e+13,0.0,0.0,Millbrae,Millbrae,47486.0,2143382.24615,35.0,,,-43923.8309391,2.0,2.23297761334,4.0,0.0,0.0,1932.0,,1094768,4940.05774814,surface,0.0,mil1,mil1,1.0,1.0,0.0,OBAG,2012.0,1.0,647.951938629,0.0,647.951938629,6916.0808474,4.0,2.21067656144e-07,7.0,1.0,True,0.0,14641.2769797,5.0,4523502.0692,0.0,3005.0,bart1,S,-122.393611506,37.6040283667,2025.0,47486MIL1bart1NANA
3917,3917,,1945.37009674,1945.37009674,2555017.66268,2153011.61271,899.486803436,4770038.75079,10606.1339256,3.0,2.0,0,,0.0,residential,8.59577711072e+12,0.0,0.0,Millbrae,Millbrae,47486.0,2259072.95196,35.0,,,-45836.0524464,2.0,2.23297761334,2.0,0.0,0.0,1953.0,,1103599,5303.06696281,surface,0.0,mil1,mil1,1.0,1.0,0.0,OBAG,2012.0,1.0,642.490573883,0.0,642.490573883,7424.29374793,4.0,2.07723551559e-07,7.0,1.0,True,0.0,15278.6841488,5.0,4814090.61464,2.0,3520.0,bart1,S,-122.390000324,37.601832325,2025.0,47486MIL1bart1NANA
4901,4901,,,,,,,,2610.83405435,10.0,,0,,,retail,,,5.0,Millbrae,,,,,,,,,,5.0,0.0,2610.83405435,,,1104693,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.387939202,37.5995768011,2025.0,
5015,5015,,,,,,,,1129.15605672,10.0,,0,,,retail,,,2.0,Millbrae,,,,,,,,,,2.0,0.0,1129.15605672,,,1094768,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.393611506,37.6040283667,2025.0,
5038,5038,,,,,,,,1212.1295915,10.0,,0,,,retail,,,2.0,Millbrae,,,,,,,,,,2.0,0.0,1212.1295915,,,1103599,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.390000324,37.601832325,2025.0,
