,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
132,132,True,,,,,,,457200.0,3.0,,0,,,residential,2.81328452092e+12,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1279511,,,,mpt1,,,,,,2012.0,,,0.0,,0.0,381.0,,1.0,,False,,,,,,,,S,-121.889985041,37.4120319596,2014.0,
149,149,True,,,,,,,552000.0,3.0,,0,,,residential,3.27130789668e+12,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1279822,,,,mpt1,,,,,,2012.0,,,0.0,,0.0,460.0,,1.0,,False,,,,,,,,S,-121.890492393,37.4075890684,2013.0,
339,339,True,,,,,,,331200.0,3.0,,0,,,residential,7.24757076052e+12,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1279882,,,,,,,,,,2012.0,,,0.0,,0.0,276.0,,1.0,,False,,,,,,,,S,-121.898200099,37.4060915007,2011.0,
442,442,True,,,,,,,100800.0,1.0,,0,,,residential,9.71531173764e+12,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1270004,,,,,,,,,,2012.0,,,0.0,,0.0,84.0,,1.0,,False,,,,,,,,M,-121.919917699,37.4526263915,2013.0,
490,490,True,,,,,,,363600.0,3.0,,0,,,residential,1.07892534153e+13,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1279519,,,,mpt1,,,,,,2012.0,,,0.0,,0.0,303.0,,1.0,,False,,,,,,,,S,-121.888525832,37.4144589789,2010.0,
551,551,True,,,,,,,878400.0,3.0,,0,,,residential,1.1948282785e+13,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1279517,,,,mpt1,,,,,,2012.0,,,0.0,,0.0,732.0,,1.0,,False,,,,,,,,S,-121.891172915,37.4147098977,2011.0,
623,623,True,,,,,,,18500.0,10.0,,0,,,retail,1.39653245073e+13,,41.0,Milpitas,,,,,,,,,,,0.0,18500.0,,,1269613,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.920676463,37.4312176098,2014.0,
635,635,True,,,,,,,248400.0,3.0,,0,,,residential,1.42222052544e+13,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1279788,,,,mpt1,,,,,,2012.0,,,0.0,,0.0,207.0,,1.0,,False,,,,,,,,S,-121.894151642,37.4048928962,2013.0,
685,685,True,,,,,,,370392.0,3.0,,0,,,residential,1.51180708075e+13,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1278503,,,,mpt1,,,,,,2012.0,,,0.0,,0.0,366.0,,5.0,,False,,,,,,,,S,-121.903770997,37.4142428144,2013.0,
690,690,True,,,,,,,386100.0,3.0,,0,,,residential,1.51833334048e+13,,0.0,Milpitas,,,,,,,,,,,0.0,0.0,,,1278168,,,,,,,,,,2012.0,,,0.0,,0.0,373.0,,4.0,,False,,,,,,,,S,-121.928387906,37.4178784439,2012.0,
