,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
443,443,True,,,,,,,140400.0,1.0,,0,,,residential,9.73017464411e+12,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1696181,,,,,,,,,,2012.0,,,0.0,,0.0,117.0,,1.0,,False,,,,,,,,M,-121.62772625,37.1407027817,2011.0,
583,583,True,,,,,,,14576.0,10.0,,0,,,retail,1.26169104638e+13,,32.0,Morgan Hill,,,,,,,,,,,0.0,14576.0,,,1718637,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.638432397,37.1291811717,2011.0,
613,613,True,,,,,,,63600.0,1.0,,0,,,residential,1.36444204635e+13,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,2050469,,,,,,,,,,2012.0,,,0.0,,0.0,53.0,,1.0,,False,,,,,,,,S,-121.635971954,37.124172279,2013.0,
710,710,True,,,,,,,104786.0,3.0,,0,,,residential,1.57641511372e+13,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1696446,,,,,,,,,,2012.0,,,0.0,,0.0,113.0,,2.0,,False,,,,,,,,M,-121.647876768,37.1552140027,2011.0,
764,764,True,,,,,,,68511.0,3.0,,0,,,residential,1.66505219902e+13,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1694759,,,,moh1,,,,,,2012.0,,,0.0,,0.0,49.0,,3.0,,False,,,,,,,,S,-121.654897783,37.1331098835,2011.0,
867,867,True,,,,,,,292800.0,1.0,,0,,,residential,1.52916614179e+12,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,2051099,,,,,,,,,,2012.0,,,0.0,,0.0,244.0,,1.0,,False,,,,,,,,M,-121.633505237,37.1598428675,2015.0,
872,872,True,,,,,,,129600.0,1.0,,0,,,residential,1.63037152574e+12,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1699937,,,,,,,,,,2012.0,,,0.0,,0.0,108.0,,1.0,,False,,,,,,,,MH,-121.671012561,37.1476533762,2015.0,
891,891,True,,,,,,,96000.0,1.0,,0,,,residential,1.96358868179e+12,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1694834,,,,,,,,,,2012.0,,,0.0,,0.0,80.0,,1.0,,False,,,,,,,,S,-121.655270086,37.1356930337,2015.0,
1127,1127,True,,,,,,,149550.0,3.0,,0,,,residential,8.86800231463e+12,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1702347,,,,,,,,,,2012.0,,,0.0,,0.0,133.0,,3.0,,False,,,,,,,,M,-121.639720244,37.1087125317,2015.0,
1157,1157,True,,,,,,,138000.0,3.0,,0,,,residential,9.58889598118e+12,,0.0,Morgan Hill,,,,,,,,,,,0.0,0.0,,,1699943,,,,,,,,,,2012.0,,,0.0,,0.0,115.0,,1.0,,False,,,,,,,,MH,-121.665828695,37.1451053444,2015.0,
