,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
25,25,True,,,,,,,1080800.0,13.0,,0,,,retail,2.77670017313e+11,,2821.0,Mountain View,,,,,,,,,,,0.0,1080800.0,,,1316163,,,,mvw3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.109636473,37.4046640846,2013.0,
26,26,True,,,,,,,160800.0,3.0,,0,,,residential,3.06646477352e+11,,0.0,Mountain View,,,,,,,,,,,0.0,0.0,,,1317380,,,,,,,,,,2012.0,,,0.0,,0.0,134.0,,1.0,,False,,,,,,,,M,-122.09546577,37.4038607563,2013.0,
44,44,True,,,,,,,1400.0,10.0,,0,,,retail,8.48641541357e+11,,3.0,Mountain View,,,,,,,,,,,0.0,1400.0,,,1339159,,,,mvw4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.084257659,37.3855910032,2013.0,
46,46,True,,,,,,,37600.0,14.0,,0,,,office,9.30692931353e+11,,73.0,Mountain View,,,,,,,,,,,0.0,28000.0,,,1322148,,,,mvw2,,,,,,2012.0,,,0.0,,0.0,8.0,,1.0,,False,,,,,,,,M,-122.082117412,37.3880132615,2014.0,
63,63,True,,,,,,,70000.0,4.0,,0,,,office,1.2057355774e+12,,197.0,Mountain View,,,,,,,,,,,0.0,70000.0,,,1297827,,,,mvw6,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.075939143,37.4233496659,2013.0,
71,71,True,,,,,,,9641.0,10.0,,0,,,retail,1.36567905997e+12,,21.0,Mountain View,,,,,,,,,,,0.0,9641.0,,,1333535,,,,mvw4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.096583564,37.3925127972,2012.0,
89,89,True,,,,,,,11730.0,10.0,,0,,,retail,1.85449739416e+12,,26.0,Mountain View,,,,,,,,,,,0.0,11730.0,,,1316140,,,,mvw3,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,S,-122.111417884,37.4025994619,2013.0,
90,90,True,,,,,,,158527.0,10.0,,0,,,retail,1.85449739416e+12,,356.0,Mountain View,,,,,,,,,,,0.0,158527.0,,,1316140,,,,mvw3,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,S,-122.111417884,37.4025994619,2013.0,
101,101,True,,,,,,,79200.0,3.0,,0,,,residential,2.17692960449e+12,,0.0,Mountain View,,,,,,,,,,,0.0,0.0,,,1321362,,,,mvw4,,,,,,2012.0,,,0.0,,0.0,66.0,,1.0,,False,,,,,,,,S,-122.092659297,37.3906052792,2014.0,
109,109,True,,,,,,,60420.0,12.0,,0,,,residential,2.353804864e+12,,4.0,Mountain View,,,,,,,,,,,0.0,1620.0,,,1319310,,,,,,,,,,2012.0,,,0.0,,0.0,49.0,,1.0,,False,,,,,,,,M,-122.092288602,37.414925272,2013.0,
120,120,True,,,,,,,160000.0,3.0,,0,,,residential,2.62609738605e+12,,0.0,Mountain View,,,,,,,,,,,0.0,0.0,,,1323273,,,,mvw2,,,,,,2012.0,,,0.0,,0.0,203.0,,4.0,,False,,,,,,,,M,-122.074756879,37.3927131748,2013.0,
