,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
64,64,True,,,,,,,120000.0,3.0,,0,,,residential,1.21208454938e+12,,0.0,Napa,,,,,,,,,,,0.0,0.0,,,876586,,,,,,,,,,2012.0,,,0.0,,0.0,134.0,,2.0,,False,,,,,,,,M,-122.274049789,38.2900373699,2014.0,
225,225,True,,,,,,,31872.0,3.0,,0,,,residential,4.83529674662e+12,,0.0,Napa,,,,,,,,,,,0.0,0.0,,,878289,,,,nap1,,,,,,2012.0,,,0.0,,0.0,34.0,,3.0,,False,,,,,,,,M,-122.280032951,38.2835980856,2012.0,
437,437,True,,,,,,,102687.0,3.0,,0,,,residential,9.63535855322e+12,,0.0,Napa,,,,,,,,,,,0.0,0.0,,,873764,,,,,,,,,,2012.0,,,0.0,,0.0,54.0,,2.0,,False,,,,,,,,M,-122.294298594,38.2764335231,2012.0,
465,465,True,,,,,,,12110.0,10.0,,0,,,retail,1.02950787481e+13,,27.0,Napa,,,,,,,,,,,0.0,12110.0,,,840866,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.306534518,38.3205591108,2012.0,
473,473,True,,,,,,,9022.0,10.0,,0,,,retail,1.04794164787e+13,,20.0,Napa,,,,,,,,,,,0.0,9022.0,,,840869,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.306679019,38.3210654815,2012.0,
627,627,True,,,,,,,14000.0,10.0,,0,,,retail,1.4050590217e+13,,31.0,Napa,,,,,,,,,,,0.0,14000.0,,,840874,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.305314115,38.3213068976,2012.0,
636,636,True,,,,,,,50000.0,10.0,,0,,,retail,1.42427045654e+13,,112.0,Napa,,,,,,,,,,,0.0,50000.0,,,878288,,,,nap1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.279634764,38.2837607864,2012.0,
645,645,True,,,,,,,9022.0,10.0,,0,,,retail,1.43468176668e+13,,20.0,Napa,,,,,,,,,,,0.0,9022.0,,,840878,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.306157499,38.3211701908,2012.0,
1398,1398,True,,,,,,,81000.0,10.0,,0,,,retail,1.57377409761e+13,,182.0,Napa,,,,,,,,,,,0.0,81000.0,,,878002,,,,nap1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.273766586,38.2858138471,2015.0,
1408,1408,True,,,,,,,38356.0,10.0,,0,,,retail,1.58357197705e+13,,86.0,Napa,,,,,,,,,,,0.0,38356.0,,,846895,,,,nap1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.281575835,38.2822983999,2016.0,
1913,1913,,1770.19371981,1770.19371981,4081938.42758,2625848.9111,811.589431763,6872364.28846,21828.5477411,3.0,0.0,0,,0.0,residential,7.44350229445e+12,0.0,0.0,Napa,Napa,50258.0,2800477.29303,45.0,,,-10458.5352491,2.5,2.6124464578,9.0,0.0,0.0,1962.0,,843001,8731.41909642,deck,0.2,nap1,nap1,1.0,1.0,0.0,OBAG,2012.0,1.0,562.203186035,0.0,562.203186035,15279.9834187,9.0,1.45297819922e-07,4.0,1.0,True,0.0,10000.0,27.0,6882415.72061,0.0,4758.0,b3,S,-122.285839149,38.2992855202,2025.0,50258NAP1b3NANA
2377,2377,,1510.0,1510.0,11659578.3886,6232337.15381,657.663726807,20199702.9273,59215.7358487,1.0,0.0,2,,0.0,residential,8.93704325308e+12,2.0,0.0,Napa,Napa,50258.0,7530471.87127,17.424,,,-13911.2548344,0.75,0.862857142857,27.0,0.0,0.0,1982.0,,878043,78954.3144649,surface,0.0,nap1,nap1,1.0,1.0,1023426.18707,OBAG,2012.0,1.0,487.31503635,0.0,487.31503635,41451.0150941,27.0,5.21103377249e-08,2.0,1.0,True,0.0,10000.0,27.0,19190050.2599,0.0,13936.0,,M,-122.273738404,38.2848954372,2025.0,50258NAP1NANANA
2408,2408,,1770.19371981,1770.19371981,3643488.35212,2270956.88049,556.607078552,5983560.20029,15124.4846497,3.0,0.0,0,,0.0,residential,8.60093732235e+12,0.0,0.0,Napa,Napa,50258.0,2376186.82069,40.0,,,-37577.7011274,2.0,2.32217462916,6.0,0.0,0.0,1968.0,,843143,7562.24232486,surface,0.0,nap1,nap1,1.0,1.0,0.0,OBAG,2012.0,1.0,565.172522651,0.0,565.172522651,10587.1392548,6.0,1.66121920418e-07,7.0,1.0,True,0.0,10000.0,27.0,6019675.17281,0.0,6000.0,b3,S,-122.28646452,38.2959621726,2025.0,50258NAP1b3NANA
3754,3754,,1341.6,1341.6,2370117.79732,1814032.2343,811.589431763,4261039.03084,10827.3997136,3.0,0.0,0,,0.0,residential,1.75519406334e+13,0.0,0.0,Napa,Napa,50258.0,1958397.56381,40.0,,,-70209.2566188,1.5,1.75993703266,6.0,0.0,0.0,1953.0,,843187,7218.26647576,surface,0.0,nap1,nap1,1.0,1.0,0.0,OBAG,2012.0,1.0,562.203186035,0.0,562.203186035,7579.17979955,6.0,2.31026094762e-07,4.0,1.0,True,0.0,14041.8513238,27.0,4328515.36113,0.0,3287.0,b3,S,-122.284922437,38.2993038709,2025.0,50258NAP1b3NANA
