,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
118,118,True,,,,,,,574647.0,8.0,,0,,,industrial,2.61787732511e+12,,598.0,Newark,,,,,,,,,,,0.0,574647.0,,,215006,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.01545522,37.5197328304,2014.0,
305,305,True,,,,,,,196800.0,1.0,,0,,,residential,6.34450629695e+12,,0.0,Newark,,,,,,,,,,,0.0,0.0,,,214009,,,,,,,,,,2012.0,,,0.0,,0.0,164.0,,1.0,,False,,,,,,,,M,-122.016444421,37.536356973,2014.0,
362,362,True,,,,,,,4331.0,10.0,,0,,,retail,7.86976247485e+12,,9.0,Newark,,,,,,,,,,,0.0,4331.0,,,210538,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.048510008,37.5507245077,2012.0,
363,363,True,,,,,,,6640.0,10.0,,0,,,retail,7.86976247485e+12,,14.0,Newark,,,,,,,,,,,0.0,6640.0,,,210538,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.048510008,37.5507245077,2012.0,
1085,1085,True,,,,,,,292800.0,1.0,,0,,,residential,7.45896295063e+12,,0.0,Newark,,,,,,,,,,,0.0,0.0,,,206472,,,,new1,,,,,,2012.0,,,0.0,,0.0,244.0,,1.0,,False,,,,,,,,M,-122.048685152,37.5214134496,2015.0,
6111,6111,,,1708.0,40708604.3217,0.0,150.0,144609989.699,185968.95533,2.0,0.0,9,,0.0,residential,4.30193704827e+12,9.0,0.0,Newark,,,929844.776648,30.0,,,92577020.3155,1.0,1.38389239994,93.0,0.0,0.0,9999.0,,206440,185968.95533,surface,0.0,new1,,,,12218653.3194,,2012.0,,914.826882499,0.0,914.826882499,158073.61203,93.0,2.22335419114,2.0,,False,0.0,,16.0,41638449.0983,0.0,0.0,,M,-122.050503347,37.5199932514,2030.0,
6491,6491,,,1708.0,498914239.912,0.0,150.0,1953152316.44,2279187.9393,2.0,0.0,113,,0.0,residential,1.16208283743e+13,113.0,0.0,Newark,,,11395939.6965,30.0,,,1284127222.93,1.0,1.38389239994,1134.0,0.0,0.0,1979.0,,344586,2279187.9393,surface,0.0,new1,,,,171429044.822,,2012.0,,1008.1776123,0.0,1008.1776123,1937309.7484,1134.0,2.5163660735,2.0,,False,0.0,,16.0,510310179.609,0.0,0.0,,M,-122.054545459,37.5176731523,2030.0,
8255,8255,,,1708.0,21680808.3868,0.0,150.0,77815955.7401,99044.3507848,2.0,0.0,4,,0.0,residential,1.69532837735e+13,4.0,0.0,Newark,,,495221.753924,30.0,,,51078413.4704,1.0,1.38389239994,49.0,0.0,0.0,9999.0,,206419,99044.3507848,surface,0.0,new1,,,,5567958.66442,,2012.0,,924.315041678,0.0,924.315041678,84187.6981671,49.0,2.30331638017,2.0,,False,0.0,,16.0,22176030.1407,0.0,0.0,,M,-122.050433806,37.5245088466,2035.0,
9107,9107,,,1472.0,55778809.551,7340285.23994,861.632911682,186660255.032,254814.113984,2.0,0.0,14,,0.0,residential,8.45229531392e+12,14.0,0.0,Newark,,,12436567.5196,30.0,,,104332139.96,1.0,1.19267541727,147.0,0.0,0.0,1956.0,,213448,254814.113984,surface,0.0,,,,,15145729.4863,,2012.0,,861.805873326,0.0,861.805873326,216591.996886,147.0,1.5294519277,2.0,,False,0.0,,16.0,68215377.0706,0.0,12528.0,,M,-122.032383696,37.5331899419,2035.0,
9142,9142,,,1708.0,100558717.729,0.0,150.0,329072938.184,459381.990539,2.0,0.0,22,,0.0,residential,1.66985707535e+13,22.0,0.0,Newark,,,2296909.95269,30.0,,,200644972.058,1.0,1.38389239994,229.0,0.0,0.0,9999.0,,344583,459381.990539,surface,0.0,new1,,,,27558922.3264,,2012.0,,842.75100272,0.0,842.75100272,390474.691958,229.0,1.95074374228,2.0,,False,0.0,,16.0,102855627.682,0.0,0.0,,M,-122.05885904,37.5203073322,2035.0,
9306,9306,,,1708.0,16853548.6078,0.0,150.0,64449403.9189,76991.999122,2.0,0.0,3,,0.0,residential,1.0851506807e+13,3.0,0.0,Newark,,,384959.99561,30.0,,,43583698.7369,1.0,1.38389239994,38.0,0.0,0.0,9999.0,,344450,76991.999122,surface,0.0,new1,,,,4485967.62514,,2012.0,,984.814383371,0.0,984.814383371,65443.1992537,38.0,2.52827548714,2.0,,False,0.0,,16.0,17238508.6034,0.0,0.0,,M,-122.05551106,37.521793471,2035.0,
11203,11203,,,1599.0,44652779.678,0.0,150.0,142889404.208,203987.115934,2.0,10.0,10,,0.0,residential,1.72059059271e+13,10.0,0.0,Newark,,,1019935.57967,30.0,,,85967300.4433,1.0,1.29557608167,98.0,0.0,0.0,1988.0,,357743,203987.115934,surface,0.0,,,,,11249388.5071,,2012.0,,824.097054618,0.0,824.097054618,173389.048544,108.0,1.88224632493,2.0,,False,0.0,,16.0,45672715.2576,10.0,0.0,,M,-121.99888882,37.5178206911,2040.0,
11371,11371,,,1708.0,80277602.7777,0.0,150.0,311725261.153,366731.853713,2.0,0.0,18,,0.0,residential,7.18537507465e+12,18.0,0.0,Newark,,,1833659.26856,30.0,,,206406979.981,1.0,1.38389239994,183.0,0.0,0.0,1979.0,,344582,366731.853713,surface,0.0,new1,,,,27274052.0606,,2012.0,,1000.01021903,0.0,1000.01021903,311722.075656,183.0,2.51374750354,2.0,,False,0.0,,16.0,82111262.0462,0.0,0.0,,M,-122.055455516,37.5202254872,2040.0,
11996,11996,,,1708.0,68763893.856,0.0,150.0,267715689.701,314133.823006,2.0,0.0,15,,0.0,residential,2.15246618954e+12,15.0,0.0,Newark,,,1570669.11503,30.0,,,178094832.364,1.0,1.38389239994,156.0,0.0,0.0,9999.0,,206412,314133.823006,surface,0.0,new1,,,,22795466.1434,,2012.0,,1002.62885393,0.0,1002.62885393,267013.749555,156.0,2.53210974578,2.0,,False,0.0,,16.0,70334562.971,0.0,0.0,,M,-122.052212481,37.5227788671,2040.0,
