,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
163,163,True,,,,,,,8159.0,10.0,,0,,,retail,3.4981342393e+12,,18.0,Novato,,,,,,,,,,,0.0,8159.0,,,812168,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.57008403,38.1062223125,2013.0,
398,398,True,,,,,,,4121.0,10.0,,0,,,retail,8.63721251591e+12,,9.0,Novato,,,,,,,,,,,0.0,4121.0,,,812881,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.55741928,38.0941008544,2014.0,
435,435,True,,,,,,,20000.0,10.0,,0,,,retail,9.54923249552e+12,,44.0,Novato,,,,,,,,,,,0.0,20000.0,,,812169,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.569801226,38.1071102476,2012.0,
633,633,True,,,,,,,32264.0,4.0,,0,,,office,1.41876086969e+13,,90.0,Novato,,,,,,,,,,,0.0,32264.0,,,809186,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,MH,-122.579613662,38.0749732368,2011.0,
788,788,True,,,,,,,36000.0,3.0,,0,,,residential,1.70685095443e+13,,0.0,Novato,,,,,,,,,,,0.0,0.0,,,802814,,,,,,,,,,2012.0,,,0.0,,0.0,61.0,,3.0,,False,,,,,,,,S,-122.574195484,38.1008856264,2013.0,
5964,5964,,,2133.0,1052495.94895,0.0,1120.50392822,3270987.95422,4808.11306052,2.0,0.0,0,,0.0,residential,7.63927760229e+12,0.0,0.0,Novato,,,96162.2612104,20.0,,,2122329.74406,1.0,1.15216334468,2.0,0.0,0.0,2005.0,,816769,4808.11306052,surface,0.0,,,,,0.0,,2012.0,,800.35994873,0.0,800.35994873,4086.89610144,2.0,1.84765992642,2.0,,False,0.0,,32.0,1148658.21016,0.0,0.0,,M,-122.512860047,38.0541875969,2030.0,
6040,6040,,,2029.42425042,8509639.3232,1033820.10285,749.140393066,19657104.2782,43218.0768065,1.0,1.0,0,,0.0,residential,1.55708087779e+13,0.0,0.0,Novato,,,2113033.67106,16.6906641471,,,9034431.28391,0.75,0.914828460427,17.0,0.0,0.0,1984.0,,798235,57624.1024087,surface,0.0,,,,,0.0,,2012.0,,535.100280762,0.0,535.100280762,36735.3652855,18.0,0.850485681786,2.0,,False,0.0,,32.0,10622672.9943,1.0,2029.42425042,,M,-122.607487416,38.1222311733,2030.0,
6065,6065,,,2029.42425042,3645245.49409,2689078.22327,942.227019043,10590769.3399,18513.1817882,1.0,1.0,0,,0.0,residential,1.14459723928e+13,0.0,0.0,Novato,,,4170132.76632,5.0,,,2830898.90109,0.25,0.274053941881,7.0,0.0,0.0,1994.0,,818926,74052.7271527,surface,0.0,,,,,0.0,,2012.0,,673.019299316,0.0,673.019299316,15736.20452,8.0,0.36222161062,1.0,,False,0.0,,32.0,7815378.26041,1.0,4197.0,,S,-122.55681462,38.0721420178,2030.0,
6413,6413,,,2133.0,254276.552468,0.0,150.0,877433.119011,1291.39945387,1.0,0.0,0,,0.0,residential,6.83687948925e+12,0.0,0.0,Novato,,,25827.9890775,5.0,,,603301.86324,0.25,0.288040836169,1.0,0.0,0.0,9999.0,,816504,5165.59781549,surface,0.0,,,,,0.0,,2012.0,,799.34543457,0.0,799.34543457,1097.68953579,1.0,2.15384534614,1.0,,False,0.0,,32.0,280104.541545,0.0,0.0,,M,-122.520783803,38.0590164484,2030.0,
6589,6589,,,2133.0,71610905.3625,53322155.2798,1207.46891357,266624649.145,363691.748921,1.0,32.0,0,,0.0,residential,1.27266100426e+13,0.0,0.0,Novato,,,82417495.1934,5.0,,,113722211.075,0.25,0.288040836169,113.0,0.0,0.0,1999.0,,814163,1454766.99568,surface,0.0,,,,,0.0,,2012.0,,862.47779541,0.0,862.47779541,309137.986582,145.0,0.738319755739,1.0,,False,0.0,,32.0,154028400.556,32.0,64941.5760136,,M,-122.527937313,38.047233593,2030.0,
8141,8141,,,2029.42425042,52664965.2893,1064317.81964,771.24005188,125243890.944,267470.621073,1.0,1.0,0,,0.0,residential,1.67812612065e+13,0.0,0.0,Novato,,,21692723.3869,8.712,,,50886202.268,0.25,0.477511588334,111.0,0.0,0.0,1984.0,,800677,1069882.48429,surface,0.0,,,,,0.0,,2012.0,,550.885751343,0.0,550.885751343,227350.027912,112.0,0.68434351812,1.0,,False,0.0,,32.0,74357688.6762,1.0,2029.42425042,,M,-122.568963377,38.130613541,2035.0,
8478,8478,,,2029.42425042,8772288.87294,0.0,640.557785034,21795979.0434,44552.0003704,1.0,0.0,0,,0.0,residential,7.53039895443e+12,0.0,0.0,Novato,,,1426906.53381,10.0,,,11947006.5024,0.5,0.548107883763,19.0,0.0,0.0,1964.0,,802771,89104.0007409,surface,0.0,,,,,0.0,,2012.0,,575.559527588,0.0,575.559527588,37869.2003149,19.0,1.17136754675,1.0,,False,0.0,,32.0,10199195.4067,0.0,0.0,,S,-122.58106714,38.1045962539,2035.0,
