,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
22,22,True,,,,,,,46500.0,3.0,,0,,,residential,2.27912798633e+11,,0.0,Oakland,,,,,,,,,,,0.0,0.0,,,33661,,,,okd5,,,,,,2012.0,,,0.0,,0.0,62.0,,4.0,,False,,,,,,,,S,-122.233016721,37.7805386778,2013.0,
68,68,True,,,,,,,250000.0,4.0,,0,,,office,1.31928848939e+12,,704.0,Oakland,,,,,,,,,,,0.0,250000.0,,,8099,,,,okd3,,,,,,2012.0,,,0.0,,0.0,0.0,,11.0,,False,,,,,,,,S,-122.265338746,37.8205186884,2014.0,
81,81,True,,,,,,,60000.0,3.0,,0,,,residential,1.69915361804e+12,,0.0,Oakland,,,,,,,,,,,0.0,0.0,,,6321,,,,okd3,,,,,,2012.0,,,0.0,,0.0,100.0,,3.0,,False,,,,,,,,S,-122.272517158,37.8113623628,2014.0,
87,87,True,,,,,,,49000.0,10.0,,0,,,retail,1.7631700528e+12,,110.0,Oakland,,,,,,,,,,,0.0,49000.0,,,74652,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.189976453,37.7367479327,2011.0,
88,88,True,,,,,,,41250.0,3.0,,0,,,residential,1.82906306218e+12,,0.0,Oakland,,,,,,,,,,,0.0,0.0,,,23808,,,,okd1_a,,,,,,2012.0,,,0.0,,0.0,54.0,,3.0,,False,,,,,,,,S,-122.253403063,37.7926796745,2012.0,
144,144,True,,,,,,,5000.0,10.0,,0,,,retail,3.13285914437e+12,,11.0,Oakland,,,,,,,,,,,0.0,5000.0,,,13362,,,,okd6,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.26642316,37.8271061418,2014.0,
167,167,True,,,,,,,8800.0,10.0,,0,,,retail,3.65697212833e+12,,19.0,Oakland,,,,,,,,,,,0.0,8800.0,,,68624,,,,okd2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.197269589,37.7558838822,2012.0,
178,178,True,,,,,,,68640.0,4.0,,0,,,office,3.8625182361e+12,,193.0,Oakland,,,,,,,,,,,0.0,68640.0,,,29363,,,,okd1,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.231670781,37.7982832386,2013.0,
250,250,True,,,,,,,4000.0,11.0,,0,,,retail,5.31426098535e+12,,8.0,Oakland,,,,,,,,,,,0.0,4000.0,,,5855,,,,okd7,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.289116762,37.8284765604,2012.0,
267,267,True,,,,,,,250000.0,4.0,,0,,,office,5.70164095636e+12,,704.0,Oakland,,,,,,,,,,,0.0,250000.0,,,7861,,,,okd3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.263070357,37.8215350778,2013.0,
268,268,True,,,,,,,115000.0,3.0,,0,,,residential,5.71608659118e+12,,0.0,Oakland,,,,,,,,,,,0.0,0.0,,,5434,,,,okd7,,,,,,2012.0,,,0.0,,0.0,92.0,,4.0,,False,,,,,,,,S,-122.29340811,37.8134481226,2014.0,
