,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
140,140,True,,,,,,,617.0,10.0,,0,,,retail,3.05677487325e+12,,1.0,Oakley,,,,,,,,,,,0.0,617.0,,,617106,,,,oak1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.752621061,38.0055328892,2014.0,
530,530,True,,,,,,,30800.0,3.0,,0,,,residential,1.13987929024e+13,,0.0,Oakley,,,,,,,,,,,0.0,0.0,,,607899,,,,oak1,,,,,,2012.0,,,0.0,,0.0,33.0,,4.0,,False,,,,,,,,MH,-121.737106974,38.0018073253,2014.0,
2808,2808,,1553.0,1553.0,45816825.2233,3493910.51144,518.215198517,74298005.8507,209304.820572,2.0,0.0,9,,0.0,residential,7.16906699207e+12,9.0,0.0,Oakley,Oakley,53070.0,24424392.5687,29.1852,,,-882956.648284,1.0,1.48644285714,94.0,0.0,0.0,1991.0,,606702,209304.820572,surface,0.0,oak1,oak1,1.0,1.0,4926696.51516,OBAG,2012.0,1.0,507.107328288,0.0,507.107328288,146513.374401,94.0,1.42366552209e-08,2.0,1.0,True,0.0,10000.0,24.0,70241217.792,0.0,9915.0,b2,MH,-121.740397596,38.0019426775,2025.0,53070OAK1b2NANA
3568,3568,,2012.0,2012.0,2428998.09471,1261383.98892,715.654496257,3718338.84039,12989.2946241,3.0,2.0,0,,0.0,residential,3.31402518226e+12,0.0,0.0,Oakley,Oakley,53070.0,1338849.38143,46.0568854255,,,-50251.24054,3.0,3.0390415019,3.0,0.0,0.0,1968.0,,589325,4329.76487471,deck,0.2,oak2,oak2,1.0,1.0,0.0,OBAG,2012.0,1.0,511.18178304,0.0,511.18178304,9092.5062369,5.0,2.65403524514e-07,4.0,1.0,True,0.0,12562.810135,24.0,3767847.47614,2.0,2592.0,b3,MH,-121.70957484,37.9958933102,2025.0,53070OAK2b3NANA
4965,4965,,,,,,,,2597.85892483,10.0,,0,,,retail,,,5.0,Oakley,,,,,,,,,,5.0,0.0,2597.85892483,,,589325,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-121.70957484,37.9958933102,2025.0,
5594,5594,,1553.0,1553.0,12373961.7848,4468520.87108,572.517356873,23832502.4308,56527.9204423,2.0,0.0,2,,0.0,residential,1.60537905493e+13,2.0,0.0,Oakley,Oakley,53070.0,10121312.9153,29.1852,,,-30483.1081947,1.0,1.48644285714,25.0,0.0,0.0,2007.0,,598416,56527.9204423,surface,0.0,oak1,oak1,1.0,1.0,1367560.69066,OBAG,2012.0,1.0,602.294083659,0.0,602.294083659,39569.5443096,25.0,4.44537803308e-08,2.0,1.0,True,0.0,10000.0,24.0,22495274.7001,0.0,11478.0,,MH,-121.749783841,37.9987729469,2030.0,53070OAK1NANANA
5955,5955,,,2012.0,50312962.805,0.0,150.0,140823998.185,255525.458634,1.0,0.0,10,,0.0,residential,9.12118581573e+12,10.0,0.0,Oakley,,,5110509.17268,5.5,,,74496770.1309,0.25,0.298871063577,108.0,0.0,0.0,9999.0,,553884,1022101.83454,surface,0.0,,,,,10529400.448,,2012.0,,648.370979818,0.0,648.370979818,217196.639839,108.0,1.34413755531,1.0,,False,0.0,,24.0,55423471.9777,0.0,0.0,,MH,-121.70289269,37.9817900979,2030.0,
6089,6089,,,2012.0,9623229.93822,0.0,150.0,23757183.1638,48873.6919158,1.0,0.0,2,,0.0,residential,9.98638476108e+12,2.0,0.0,Oakley,,,2443684.59579,3.8,,,9842748.57563,0.1,0.206492734835,21.0,0.0,0.0,1960.0,,569238,488736.919158,surface,0.0,,,,,1798059.00604,,2012.0,,571.874686686,0.0,571.874686686,41542.6381284,21.0,0.815680640473,1.0,,False,0.0,,24.0,12066914.534,0.0,0.0,,MH,-121.707092424,37.9881516853,2030.0,
6435,6435,,,2012.0,2995633.42645,1036526.59451,759.872290853,5912464.5047,16019.430088,3.0,2.0,0,,0.0,residential,3.25298153218e+12,0.0,0.0,Oakley,,,1158253.8049,46.0568854255,,,1784955.05317,2.5,2.50274006039,5.0,0.0,0.0,1981.0,,574402,6407.77203518,deck,0.2,oak2,,,,0.0,,2012.0,,542.765922038,0.0,542.765922038,13616.5155748,7.0,0.429707152303,3.0,,False,0.0,,24.0,4153887.23134,2.0,2006.0,,MH,-121.715893344,37.9962331397,2030.0,
6561,6561,,,2012.0,278575.115144,0.0,150.0,851742.360301,1414.80505406,1.0,0.0,0,,0.0,residential,1.44012835595e+13,0.0,0.0,Oakley,,,28296.1010812,5.5,,,542146.788355,0.25,0.298871063577,1.0,0.0,0.0,9999.0,,540833,5659.22021624,surface,0.0,,,,,0.0,,2012.0,,708.260005697,0.0,708.260005697,1202.58429595,1.0,1.76669156209,1.0,,False,0.0,,24.0,306871.216226,0.0,0.0,,MH,-121.705977635,37.9782374146,2030.0,
