,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
373,373,True,,,,,,,3100.0,3.0,,0,,,residential,8.09331455534e+12,,0.0,Pacifica,,,,,,,,,,,0.0,0.0,,,1095903,,,,,,,,,,2012.0,,,0.0,,0.0,9.0,,3.0,,False,,,,,,,,MH,-122.495085241,37.6100509396,2014.0,
697,697,True,,,,,,,3100.0,10.0,,0,,,retail,1.53087865109e+13,,6.0,Pacifica,,,,,,,,,,,0.0,3100.0,,,1095912,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,MH,-122.495018744,37.610104845,2014.0,
6603,6603,,,1945.37009674,947722.993276,0.0,833.73008728,2521923.71858,4813.21987444,1.0,0.0,0,,0.0,residential,1.3069873683e+13,0.0,0.0,Pacifica,,,192528.794977,13.068,,,1395488.64963,0.5,0.686601210614,2.0,0.0,0.0,1974.0,,1063756,9626.43974887,surface,0.0,,,,,0.0,,2012.0,,616.420848846,0.0,616.420848846,4091.23689327,2.0,1.22384254426,1.0,,False,0.0,,5.0,1140251.78825,0.0,0.0,,M,-122.49175855,37.6514850246,2030.0,
8152,8152,,,1945.37009674,438903.678816,0.0,150.0,1101968.80334,2229.06896301,1.0,0.0,0,,0.0,residential,1.51241766467e+13,0.0,0.0,Pacifica,,,22290.6896301,13.068,,,643946.268346,0.5,0.686601210614,1.0,0.0,0.0,9999.0,,1095888,4458.13792602,surface,0.0,,,,,0.0,,2012.0,,581.603309631,0.0,581.603309631,1894.70861856,1.0,1.39625787391,1.0,,False,0.0,,5.0,461194.368447,0.0,0.0,,MH,-122.494970804,37.6091932547,2035.0,
8238,8238,,,1945.37009674,344561.500576,0.0,150.0,847277.551984,1749.9314402,1.0,0.0,0,,0.0,residential,1.21208151822e+13,0.0,0.0,Pacifica,,,17499.314402,13.068,,,487618.559854,0.5,0.686601210614,1.0,0.0,0.0,9999.0,,1095883,3499.86288041,surface,0.0,,,,,0.0,,2012.0,,569.620670319,0.0,569.620670319,1487.44172417,1.0,1.34678633998,1.0,,False,0.0,,5.0,362060.814978,0.0,0.0,,MH,-122.494405648,37.6095977889,2035.0,
8675,8675,,,1945.37009674,421158.751729,0.0,150.0,1052924.03556,2138.94744403,1.0,0.0,0,,0.0,residential,2.83698223061e+12,0.0,0.0,Pacifica,,,42778.9488805,9.0,,,591901.817309,0.25,0.47286584753,1.0,0.0,0.0,9999.0,,1096202,8555.78977611,surface,0.0,,,,,0.0,,2012.0,,579.132583618,0.0,579.132583618,1818.10532742,1.0,1.27582176773,1.0,,False,0.0,,5.0,463937.70061,0.0,0.0,,MH,-122.489928859,37.6042943496,2035.0,
8938,8938,,,1945.37009674,1222416.33216,0.0,150.0,3103993.65102,6208.31047313,1.0,0.0,0,,0.0,residential,1.33006288171e+12,0.0,0.0,Pacifica,,,62083.1047313,13.068,,,1828500.71049,0.5,0.686601210614,3.0,0.0,0.0,9999.0,,1098795,12416.6209463,surface,0.0,,,,,0.0,,2012.0,,588.204673767,0.0,588.204673767,5277.06390216,3.0,1.42351227099,1.0,,False,0.0,,5.0,1284499.43689,0.0,0.0,,MH,-122.507050912,37.5940411917,2035.0,
9292,9292,,,1945.37009674,557302.458216,0.0,150.0,1596733.13228,2830.38323116,1.0,0.0,0,,0.0,residential,8.71768902683e+12,0.0,0.0,Pacifica,,,56607.6646233,9.0,,,987687.983337,0.25,0.47286584753,1.0,0.0,0.0,9999.0,,1080900,11321.5329247,surface,0.0,,,,,0.0,,2012.0,,663.694423676,0.0,663.694423676,2405.82574649,1.0,1.60884785344,1.0,,False,0.0,,5.0,613910.122839,0.0,0.0,,MH,-122.49058997,37.6321944793,2035.0,
11157,11157,,,1945.37009674,286889.796835,0.0,150.0,707134.29348,1457.03299561,1.0,0.0,0,,0.0,residential,1.20027592104e+13,0.0,0.0,Pacifica,,,72851.6497804,2.0,,,345655.88263,0.1,0.105081299451,1.0,0.0,0.0,9999.0,,1100508,14570.3299561,surface,0.0,,,,,0.0,,2012.0,,570.97039032,0.0,570.97039032,1238.47804627,1.0,0.960845312325,1.0,,False,0.0,,5.0,359741.446616,0.0,0.0,,MH,-122.499733356,37.5813533094,2040.0,
11753,11753,,,1945.37009674,3548101.35624,470072.019612,649.091438293,9057371.9014,18019.8138966,1.0,0.0,0,,0.0,residential,8.08767889482e+12,0.0,0.0,Pacifica,,,1639722.71161,9.0,,,3908243.31189,0.25,0.47286584753,8.0,0.0,0.0,1987.0,,1066031,72079.2555864,surface,0.0,,,,,0.0,,2012.0,,591.33416748,0.0,591.33416748,15316.8418121,8.0,0.753349238674,1.0,,False,0.0,,5.0,5187824.06785,0.0,1065.0,,M,-122.481149272,37.6544372991,2040.0,
