,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
10,10,True,,,,,,,21060.0,3.0,,0,,,residential,1.07807130809e+11,,0.0,Palo Alto,,,,,,,,,,,0.0,0.0,,,1309064,,,,,,,,,,2012.0,,,0.0,,0.0,22.0,,4.0,,False,,,,,,,,S,-122.122719561,37.4114461933,2011.0,
38,38,True,,,,,,,7300.0,4.0,,0,,,office,5.89492411391e+11,,20.0,Palo Alto,,,,,,,,,,,0.0,7300.0,,,1298135,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.157214991,37.4477776476,2012.0,
48,48,True,,,,,,,8300.0,10.0,,0,,,retail,9.64982141402e+11,,18.0,Palo Alto,,,,,,,,,,,0.0,8300.0,,,1264622,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.126095408,37.4480853121,2014.0,
49,49,True,,,,,,,10000.0,10.0,,0,,,retail,9.64982141402e+11,,22.0,Palo Alto,,,,,,,,,,,0.0,10000.0,,,1264622,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.126095408,37.4480853121,2014.0,
117,117,True,,,,,,,76000.0,4.0,,0,,,office,2.57041133766e+12,,214.0,Palo Alto,,,,,,,,,,,0.0,76000.0,,,1312547,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.140192254,37.4050135803,2012.0,
292,292,True,,,,,,,7624.0,10.0,,0,,,retail,6.2151671006e+12,,17.0,Palo Alto,,,,,,,,,,,0.0,7624.0,,,1298872,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.160644575,37.4462822603,2013.0,
331,331,True,,,,,,,17150.0,4.0,,0,,,office,6.99580835839e+12,,48.0,Palo Alto,,,,,,,,,,,0.0,17150.0,,,1298080,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.157576445,37.4482654125,2014.0,
370,370,True,,,,,,,1780.0,4.0,,0,,,office,8.03712238915e+12,,5.0,Palo Alto,,,,,,,,,,,0.0,1780.0,,,1309081,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.126696251,37.4149247788,2014.0,
394,394,True,,,,,,,26300.0,10.0,,0,,,retail,8.51073994646e+12,,59.0,Palo Alto,,,,,,,,,,,0.0,26300.0,,,1264620,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.125385158,37.4482221259,2013.0,
407,407,True,,,,,,,3250.0,4.0,,0,,,office,8.87601480288e+12,,9.0,Palo Alto,,,,,,,,,,,0.0,3250.0,,,1308479,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.140884489,37.4228847653,2014.0,
