,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
73,73,True,,,,,,,6200.0,10.0,,0,,,retail,1.41137092214e+12,,13.0,Petaluma,,,,,,,,,,,0.0,6200.0,,,1878101,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.627570749,38.2442638546,2013.0,
74,74,True,,,,,,,9300.0,10.0,,0,,,retail,1.41137092214e+12,,20.0,Petaluma,,,,,,,,,,,0.0,9300.0,,,1878101,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.627570749,38.2442638546,2013.0,
75,75,True,,,,,,,8700.0,10.0,,0,,,retail,1.41137092214e+12,,19.0,Petaluma,,,,,,,,,,,0.0,8700.0,,,1878101,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.627570749,38.2442638546,2013.0,
230,230,True,,,,,,,48000.0,3.0,,0,,,residential,4.97405684868e+12,,0.0,Petaluma,,,,,,,,,,,0.0,0.0,,,1879583,,,,,,,,,,2012.0,,,0.0,,0.0,68.0,,3.0,,False,,,,,,,,M,-122.631699274,38.2519613793,2012.0,
235,235,True,,,,,,,38000.0,10.0,,0,,,retail,5.04763474635e+12,,85.0,Petaluma,,,,,,,,,,,0.0,38000.0,,,1879606,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.637923109,38.2540583908,2014.0,
236,236,True,,,,,,,6000.0,10.0,,0,,,retail,5.04763474635e+12,,13.0,Petaluma,,,,,,,,,,,0.0,6000.0,,,1879606,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.637923109,38.2540583908,2014.0,
237,237,True,,,,,,,6000.0,10.0,,0,,,retail,5.04763474635e+12,,13.0,Petaluma,,,,,,,,,,,0.0,6000.0,,,1879606,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.637923109,38.2540583908,2014.0,
297,297,True,,,,,,,17944.0,10.0,,0,,,retail,6.27381800627e+12,,40.0,Petaluma,,,,,,,,,,,0.0,17944.0,,,1878923,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.624937266,38.2434454977,2013.0,
298,298,True,,,,,,,128000.0,10.0,,0,,,retail,6.27381800627e+12,,287.0,Petaluma,,,,,,,,,,,0.0,128000.0,,,1878923,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.624937266,38.2434454977,2013.0,
299,299,True,,,,,,,8300.0,10.0,,0,,,retail,6.27381800627e+12,,18.0,Petaluma,,,,,,,,,,,0.0,8300.0,,,1878923,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.624937266,38.2434454977,2013.0,
