,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
2838,2838,,1597.6,1597.6,14347419.8075,5091010.91278,680.61643219,21253334.4982,65543.2608838,2.0,0.0,2,,0.0,residential,1.21268466778e+13,2.0,0.0,Pinole,Pinole,57288.0,5834507.91906,35.0,,,-13458.5069024,1.5,1.83379247016,29.0,0.0,0.0,1984.0,,631543,43695.5072559,surface,0.0,pin1,pin1,1.0,1.0,1084600.0928,OBAG,2012.0,1.0,463.234602865,0.0,463.234602865,45880.2826187,29.0,4.95492806014e-08,4.0,1.0,True,0.0,10000.0,20.0,20181927.7265,0.0,11000.0,b2,M,-122.301692044,38.0048384429,2025.0,57288PIN1b2NANA
2876,2876,,1597.6,1597.6,9427804.19566,1197033.496,665.787963867,13889697.8233,43069.000437,2.0,0.0,1,,0.0,residential,1.352248991e+13,1.0,0.0,Pinole,Pinole,57288.0,4068300.1918,35.0,,,-147585.259685,1.5,1.83379247016,19.0,0.0,0.0,1948.0,,631045,28712.666958,surface,0.0,pin1,pin1,1.0,1.0,538270.682856,OBAG,2012.0,1.0,460.712467448,0.0,460.712467448,30148.3003059,19.0,7.40954553471e-08,4.0,1.0,True,0.0,10000.0,20.0,13496104.3875,0.0,2644.0,b2,M,-122.30287111,38.0046154144,2025.0,57288PIN1b2NANA
3441,3441,,900.0,1000.0,34010436.3414,4917392.22883,659.203205109,45687860.0174,181873.991131,3.0,0.0,14,,0.0,residential,4.19298547399e+12,14.0,0.0,Pinole,Pinole,57288.0,11530991.9063,100.126573406,,,-1638881.08766,2.75,2.95532979356,127.0,0.0,0.0,1958.0,,633986,66135.9967748,deck,0.2,pin1,pin1,1.0,1.0,1753020.42532,OBAG,2012.0,1.0,448.58236084,0.0,448.58236084,127311.793792,127.0,2.19580289524e-08,4.0,1.0,True,0.0,11623.2701252,20.0,45541428.2478,0.0,10970.0,b3,M,-122.308874568,38.0056307623,2025.0,57288PIN1b3NANA
5884,5884,,2006.0,2006.0,2072823.95226,1226042.0779,671.00969696,3496170.58895,10527.2927997,1.0,0.0,0,,0.0,residential,1.35796688215e+13,0.0,0.0,Pinole,Pinole,57288.0,1461505.92961,12.0,,,-38926.2947114,0.75,0.789452971271,4.0,0.0,0.0,1971.0,,630602,14036.3903996,surface,0.0,pin1,pin1,1.0,1.0,0.0,OBAG,2012.0,1.0,474.436258952,0.0,474.436258952,7369.1049598,4.0,2.82939067213e-07,2.0,1.0,True,0.0,12975.4315705,20.0,3534329.88187,0.0,2687.0,b2,M,-122.295747375,38.0044891154,2030.0,57288PIN1b2NANA
6758,6758,,,1597.6,604000.230097,0.0,150.0,1203591.54062,3067.54814676,1.0,0.0,0,,0.0,residential,9.07679017973e+12,0.0,0.0,Pinole,,,30675.4814676,12.0,,,580351.037219,0.5,0.517776697456,2.0,0.0,0.0,9999.0,,634174,6135.09629352,surface,0.0,pin1,,,,0.0,,2012.0,,461.603202311,0.0,461.603202311,2607.41592474,2.0,0.914405619507,1.0,,False,0.0,,20.0,634675.711564,0.0,0.0,,M,-122.306739865,38.0060654724,2030.0,
7203,7203,,1597.6,1597.6,2293945.55669,1107303.85753,635.344528198,3753491.22758,11650.3075505,1.0,0.0,0,,0.0,residential,2.15970064988e+12,0.0,0.0,Pinole,Pinole,57288.0,1477401.81523,12.0,,,-18215.052839,0.5,0.628728846911,5.0,0.0,0.0,1974.0,,631531,23300.615101,surface,0.0,pin1,pin1,1.0,1.0,0.0,OBAG,2012.0,1.0,460.256547038,0.0,460.256547038,8155.21528533,5.0,2.65157224033e-07,1.0,1.0,True,0.0,10000.0,20.0,3771347.37191,0.0,2563.0,b2,M,-122.306917834,38.004699019,2035.0,57288PIN1b2NANA
7296,7296,,1597.6,1597.6,3381253.42228,1224959.61609,616.077701823,4758142.6169,15446.5665705,2.0,4.0,0,,0.0,residential,1.39943961269e+12,0.0,0.0,Pinole,Pinole,57288.0,1383564.36999,35.0,,,-6809.34638848,1.5,1.83379247016,3.0,0.0,0.0,1983.0,,631286,10297.711047,surface,0.0,pin1,pin1,1.0,1.0,0.0,OBAG,2012.0,1.0,440.055501302,0.0,440.055501302,10812.5965993,7.0,2.09871613899e-07,4.0,1.0,True,0.0,10000.0,20.0,4764817.79227,4.0,2924.0,b3,M,-122.309393612,38.0046476789,2035.0,57288PIN1b3NANA
7683,7683,,900.0,1000.0,73506393.5493,5968623.87977,577.345790863,96797719.8695,393082.318446,3.0,0.0,30,,0.0,residential,3.67713974118e+12,30.0,0.0,Pinole,Pinole,57288.0,20262526.3687,100.126573406,,,-527567.917715,2.75,2.95532979356,275.0,0.0,0.0,1958.0,,638490,142939.024889,deck,0.2,pin1,pin1,1.0,1.0,3545972.69698,OBAG,2012.0,1.0,439.737589518,0.0,439.737589518,275157.622912,275.0,1.06645144348e-08,4.0,1.0,True,0.0,10000.0,20.0,93768919.918,0.0,15203.0,b3,M,-122.308826903,38.0068597206,2035.0,57288PIN1b3NANA
9381,9381,,,,,,,,3089.3133141,10.0,,0,,,retail,,,6.0,Pinole,,,,,,,,,,6.0,0.0,3089.3133141,,,631286,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.309393612,38.0046476789,2035.0,
9960,9960,,1597.6,1597.6,11157736.4297,3538689.78723,924.983215332,16366821.1595,46316.8801565,3.0,0.0,2,,0.0,residential,2.16229963357e+12,2.0,0.0,Pinole,Pinole,57288.0,4053321.78897,35.0,,,-67765.6565844,1.8,1.83379247016,20.0,0.0,0.0,1961.0,,629665,25731.600087,surface,0.0,pin1,pin1,1.0,1.0,1222193.34628,OBAG,2012.0,1.0,504.808894857,0.0,504.808894857,32421.8161096,20.0,6.57416456911e-08,5.0,1.0,True,0.0,10000.0,20.0,15211058.2187,0.0,5626.0,b2,M,-122.302024446,38.0039913265,2040.0,57288PIN1b2NANA
