,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
154,154,True,,,,,,,120000.0,12.0,,0,,,residential,3.3750481123e+12,,144.0,Pittsburg,,,,,,,,,,,0.0,55398.0,,,644174,,,,pit2,,,,,,2012.0,,,0.0,,0.0,111.0,,3.0,,False,,,,,,,,MH,-121.884942272,38.0301413595,2012.0,
155,155,True,,,,,,,112736.0,3.0,,0,,,residential,3.3750481123e+12,,0.0,Pittsburg,,,,,,,,,,,0.0,0.0,,,644174,,,,pit2,,,,,,2012.0,,,0.0,,0.0,121.0,,4.0,,False,,,,,,,,MH,-121.884942272,38.0301413595,2012.0,
340,340,True,,,,,,,22730.0,3.0,,0,,,residential,7.25856924281e+12,,0.0,Pittsburg,,,,,,,,,,,0.0,0.0,,,661566,,,,pit2,,,,,,2012.0,,,0.0,,0.0,20.0,,2.0,,False,,,,,,,,S,-121.893181294,38.0297008871,2011.0,
621,621,True,,,,,,,500000.0,10.0,,0,,,retail,1.3952010009e+13,,1123.0,Pittsburg,,,,,,,,,,,0.0,500000.0,,,648125,,,,ccc3_b,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.942974355,38.0166533401,2011.0,
704,704,True,,,,,,,1280.0,10.0,,0,,,retail,1.54949887043e+13,,2.0,Pittsburg,,,,,,,,,,,0.0,1280.0,,,649326,,,,pit1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.891191699,38.0187512366,2013.0,
2528,2528,,1000.0,1000.0,2113391.08068,1347676.8158,466.324157715,3442049.57421,11301.5565812,3.0,0.0,0,,0.0,residential,1.54631837913e+13,0.0,0.0,Pittsburg,Pittsburg,57456.0,1395587.62356,87.12,,,-67260.4292134,2.75,2.85714285714,8.0,0.0,0.0,1949.0,,663840,4109.6569386,deck,0.2,pit2,pit2,1.0,1.0,0.0,OBAG,2012.0,1.0,543.864648438,0.0,543.864648438,7911.08960681,8.0,2.84983205738e-07,4.0,1.0,True,0.0,10000.0,24.0,3508978.70423,0.0,4250.0,,MH,-121.884316598,38.0323930995,2025.0,57456PIT2NANANA
2544,2544,,1000.0,1000.0,1793186.87658,1576106.0459,847.769937337,3472384.48149,8191.80848143,3.0,2.0,0,,0.0,residential,1.20127530028e+13,0.0,0.0,Pittsburg,Pittsburg,57456.0,1685330.15899,50.0,,,-6162.91022617,1.5,1.63977436705,4.0,0.0,0.0,1952.0,,665724,5461.20565428,surface,0.0,pit2,pit2,1.0,1.0,0.0,OBAG,2012.0,1.0,605.549955241,0.0,605.549955241,5734.265937,6.0,2.87478827838e-07,4.0,1.0,True,0.0,10000.0,24.0,3478517.03557,2.0,2734.0,,MH,-121.891219738,38.0355472002,2025.0,57456PIT2NANANA
2569,2569,,1000.0,1000.0,5267810.72521,1072454.46045,570.600185394,7711267.99884,21867.2093201,3.0,0.0,1,,0.0,residential,1.70068725347e+13,1.0,0.0,Pittsburg,Pittsburg,57456.0,2165814.92646,65.34,,,-38151.0509305,2.0,2.14285714286,15.0,0.0,0.0,1950.0,,662340,10933.60466,surface,0.0,pit2,pit2,1.0,1.0,315605.48059,OBAG,2012.0,1.0,503.772428385,0.0,503.772428385,15307.0465241,15.0,1.34523857786e-07,7.0,1.0,True,0.0,10000.0,24.0,7433625.65167,0.0,2764.0,,MH,-121.87714626,38.0307084469,2025.0,57456PIT2NANANA
2587,2587,,1000.0,1000.0,2799457.46138,1268920.59082,466.514923096,4339326.52656,14970.3607561,3.0,0.0,1,,0.0,residential,1.4870147888e+13,1.0,0.0,Pittsburg,Pittsburg,57456.0,1332410.56079,87.12,,,-18553.3433568,2.75,2.85714285714,10.0,0.0,0.0,2002.0,,662498,5443.76754766,deck,0.2,pit2,pit2,1.0,1.0,225920.461059,OBAG,2012.0,1.0,517.609261068,0.0,517.609261068,10479.2525292,10.0,2.42021283021e-07,4.0,1.0,True,0.0,10000.0,24.0,4131868.02217,0.0,4000.0,,MH,-121.88340002,38.0309164864,2025.0,57456PIT2NANANA
2589,2589,,1000.0,1000.0,17064614.8975,3683083.33749,566.558475494,25144674.6779,70836.9236092,3.0,0.0,4,,0.0,residential,1.24361556543e+13,4.0,0.0,Pittsburg,Pittsburg,57456.0,7224929.51796,65.34,,,-422658.949416,2.0,2.14285714286,50.0,0.0,0.0,1948.0,,663149,35418.4618046,surface,0.0,pit2,pit2,1.0,1.0,1275707.3553,OBAG,2012.0,1.0,507.093786621,0.0,507.093786621,49585.8465265,50.0,4.11699776207e-08,7.0,1.0,True,0.0,10000.0,24.0,24289544.4154,0.0,9560.0,,MH,-121.876646668,38.0314477244,2025.0,57456PIT2NANANA
