,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
39,39,True,,,,,,,3000.0,10.0,,0,,,retail,6.45206977833e+11,,6.0,Pleasant Hill,,,,,,,,,,,0.0,3000.0,,,554428,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.066909319,37.9771247402,2012.0,
4106,4106,,1509.0,1509.0,883737.903513,934035.873596,654.086746216,1882312.00095,4488.25750895,1.0,0.0,0,,0.0,residential,7.58746454359e+12,0.0,0.0,Pleasant Hill,Pleasant Hill,57764.0,1031892.86527,20.0,,,-33651.9555099,0.75,0.98976780795,2.0,0.0,0.0,1948.0,,445633,5984.34334527,surface,0.0,plh2,plh2,1.0,1.0,0.0,OBAG,2012.0,1.0,599.122741699,0.0,599.122741699,3141.78025627,2.0,5.22021266465e-07,2.0,1.0,True,0.0,16825.9777549,21.0,1915630.76878,0.0,2100.0,,M,-122.061151347,37.9403245055,2025.0,57764PLH2NANANA
6129,6129,,,1509.0,3856592.68451,0.0,150.0,9545336.01004,19586.5550254,2.0,0.0,1,,0.0,residential,3.16818364317e+12,1.0,0.0,Pleasant Hill,,,130577.033503,19.9,,,4970880.44097,0.75,0.811027386161,11.0,0.0,0.0,9999.0,,507649,26115.4067006,surface,0.0,,,,,636502.489095,,2012.0,,573.342635091,0.0,573.342635091,16648.5717716,11.0,1.24671904948,2.0,,False,0.0,,21.0,3987169.71801,0.0,0.0,,M,-122.055317551,37.960856174,2030.0,
6152,6152,,,1509.0,2237322.53091,0.0,150.0,5466840.55647,11362.7350478,1.0,0.0,0,,0.0,residential,9.41054687308e+12,0.0,0.0,Pleasant Hill,,,227254.700956,6.9,,,3002263.32461,0.25,0.281210500729,6.0,0.0,0.0,9999.0,,471031,45450.9401912,surface,0.0,,,,,0.0,,2012.0,,566.023681641,0.0,566.023681641,9658.32479063,6.0,1.21816564958,1.0,,False,0.0,,21.0,2464577.23187,0.0,0.0,,M,-122.072070936,37.9465826315,2030.0,
6541,6541,,,1509.0,1880981.80327,0.0,150.0,4660173.47488,9552.98020958,2.0,0.0,0,,0.0,residential,3.67640926094e+12,0.0,0.0,Pleasant Hill,,,63686.5347305,19.9,,,2742660.18826,0.75,0.811027386161,5.0,0.0,0.0,9999.0,,511162,12737.3069461,surface,0.0,,,,,0.0,,2012.0,,573.910644531,0.0,573.910644531,8120.03317814,5.0,1.41034855901,2.0,,False,0.0,,21.0,1944668.338,0.0,0.0,,M,-122.056111583,37.9620868192,2030.0,
7684,7684,,1509.0,1509.0,4088715.20078,5135317.8478,696.673248291,9625593.51986,20765.440329,1.0,0.0,0,,0.0,residential,8.18177391416e+12,0.0,0.0,Pleasant Hill,Pleasant Hill,57764.0,5617542.07334,20.0,,,-81470.3918064,0.75,0.98976780795,10.0,0.0,0.0,1935.0,,443660,27687.253772,surface,0.0,plh2,plh2,1.0,1.0,0.0,OBAG,2012.0,1.0,662.198714193,0.0,662.198714193,14535.8082303,10.0,1.03026323304e-07,2.0,1.0,True,0.0,10000.0,21.0,9706257.27413,0.0,10840.0,,M,-122.057517557,37.9361208962,2035.0,57764PLH2NANANA
8473,8473,,,1509.0,697466.050882,0.0,809.990422363,1741999.92007,3542.23489529,1.0,0.0,0,,0.0,residential,1.76761929013e+11,0.0,0.0,Pleasant Hill,,,283378.791623,6.9,,,761155.077568,0.25,0.281210500729,2.0,0.0,0.0,1937.0,,468131,14168.9395811,surface,0.0,,,,,0.0,,2012.0,,578.564587402,0.0,578.564587402,3010.89966099,2.0,0.776019860209,1.0,,False,0.0,,21.0,980844.842505,0.0,0.0,,M,-122.065446952,37.946425596,2035.0,
8574,8574,,,1509.0,720072.218873,0.0,150.0,1776557.62902,3657.04529646,2.0,0.0,0,,0.0,residential,1.0183945267e+13,0.0,0.0,Pleasant Hill,,,24380.3019764,19.9,,,1042426.15925,0.75,0.811027386161,2.0,0.0,0.0,9999.0,,509349,4876.06039528,surface,0.0,,,,,0.0,,2012.0,,571.518159993,0.0,571.518159993,3108.48850199,2.0,1.40025875399,2.0,,False,0.0,,21.0,744452.520849,0.0,0.0,,M,-122.057381326,37.9616753898,2035.0,
8583,8583,,,1720.2,10898872.2256,0.0,150.0,25247290.2038,49789.2746714,2.0,0.0,2,,0.0,residential,1.06209801131e+13,2.0,0.0,Pleasant Hill,,,248946.373357,29.9,,,12646889.6271,1.0,1.38913142116,25.0,0.0,0.0,9999.0,,454494,49789.2746714,surface,0.0,plh2,,,,1577798.70673,,2012.0,,596.568127441,0.0,596.568127441,42320.8834707,25.0,1.13447214043,2.0,,False,0.0,,21.0,11147818.5989,0.0,0.0,,M,-122.064812487,37.9408834316,2035.0,
8860,8860,,,1587.8,414810.673397,0.0,150.0,1019642.80469,2106.70733061,1.0,0.0,0,,0.0,residential,9.23268293668e+11,0.0,0.0,Pleasant Hill,,,42134.1466122,6.9,,,562697.984681,0.25,0.295895316804,1.0,0.0,0.0,9999.0,,462872,8426.82932244,surface,0.0,,,,,0.0,,2012.0,,569.40978597,0.0,569.40978597,1790.70123102,1.0,1.23143530694,1.0,,False,0.0,,21.0,456944.820009,0.0,0.0,,M,-122.073686193,37.9444155466,2035.0,
