,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
17,17,True,,,,,,,1118.0,10.0,,0,,,retail,1.86857769256e+11,,2.0,Pleasanton,,,,,,,,,,,0.0,1118.0,,,216757,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.875745556,37.6631261463,2014.0,
143,143,True,,,,,,,4573.0,10.0,,0,,,retail,3.0772410011e+12,,10.0,Pleasanton,,,,,,,,,,,0.0,4573.0,,,379698,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.860907957,37.6660627671,2011.0,
212,212,True,,,,,,,58000.0,10.0,,0,,,retail,4.70573113941e+12,,130.0,Pleasanton,,,,,,,,,,,0.0,58000.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2011.0,
213,213,True,,,,,,,4600.0,10.0,,0,,,retail,4.70573113941e+12,,10.0,Pleasanton,,,,,,,,,,,0.0,4600.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
214,214,True,,,,,,,26220.0,10.0,,0,,,retail,4.70573113941e+12,,58.0,Pleasanton,,,,,,,,,,,0.0,26220.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
215,215,True,,,,,,,8953.0,10.0,,0,,,retail,4.70573113941e+12,,20.0,Pleasanton,,,,,,,,,,,0.0,8953.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
216,216,True,,,,,,,10531.0,10.0,,0,,,retail,4.70573113941e+12,,23.0,Pleasanton,,,,,,,,,,,0.0,10531.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
217,217,True,,,,,,,8046.0,10.0,,0,,,retail,4.70573113941e+12,,18.0,Pleasanton,,,,,,,,,,,0.0,8046.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
218,218,True,,,,,,,5213.0,10.0,,0,,,retail,4.70573113941e+12,,11.0,Pleasanton,,,,,,,,,,,0.0,5213.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
219,219,True,,,,,,,5400.0,10.0,,0,,,retail,4.70573113941e+12,,12.0,Pleasanton,,,,,,,,,,,0.0,5400.0,,,383608,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.897393956,37.6552456019,2012.0,
419,419,True,,,,,,,64035.0,4.0,,0,,,office,9.25338022682e+12,,180.0,Pleasanton,,,,,,,,,,,0.0,64035.0,,,365822,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.907745322,37.6948330494,2013.0,
498,498,True,,,,,,,24573.0,3.0,,0,,,residential,1.09804028285e+13,,0.0,Pleasanton,,,,,,,,,,,0.0,0.0,,,384566,,,,,,,,,,2012.0,,,0.0,,0.0,26.0,,2.0,,False,,,,,,,,MH,-121.880901254,37.645501324,2014.0,
923,923,True,,,,,,,149136.0,3.0,,0,,,residential,2.65592269369e+12,,0.0,Pleasanton,,,,,,,,,,,0.0,0.0,,,368058,,,,ple1,,,,,,2012.0,,,0.0,,0.0,160.0,,3.0,,False,,,,,,,,M,-121.887497862,37.688047835,2015.0,
1053,1053,True,,,,,,,180000.0,3.0,,0,,,residential,6.84235417099e+12,,0.0,Pleasanton,,,,,,,,,,,0.0,0.0,,,368741,,,,ple1,,,,,,2012.0,,,0.0,,0.0,194.0,,1.0,,False,,,,,,,,M,-121.894377359,37.6963776581,2017.0,
1166,1166,True,,,,,,,190000.0,3.0,,0,,,residential,9.71356087233e+12,,0.0,Pleasanton,,,,,,,,,,,0.0,0.0,,,368743,,,,ple1,,,,,,2012.0,,,0.0,,0.0,205.0,,1.0,,False,,,,,,,,M,-121.896972016,37.6989483978,2017.0,
1179,1179,True,,,,,,,35000.0,10.0,,0,,,retail,1.00949104677e+13,,78.0,Pleasanton,,,,,,,,,,,0.0,35000.0,,,379694,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.856281714,37.6689087574,2016.0,
1584,1584,True,,,,,,,1494000.0,3.0,,0,,,residential,1.32375325526e+12,,0.0,Pleasanton,,,,,,,,,,,0.0,0.0,,,368023,,,,ple1,,,,,,2012.0,,,0.0,,0.0,1245.0,,1.0,,False,,,,,,,,M,-121.896521893,37.6937069444,2020.0,
3035,3035,,1940.0,1940.0,44006123.1298,20474733.432,666.251457214,70419624.6451,182673.819551,2.0,0.0,6,,0.0,residential,2.42305283904e+12,6.0,0.0,Pleasanton,Pleasanton,57792.0,21996067.1629,37.3658954783,,,-342714.556733,2.0,2.37733953916,66.0,0.0,0.0,2002.0,,368000,91336.9097754,surface,0.0,ple1,ple1,1.0,1.0,4753396.07844,OBAG,2012.0,1.0,550.705426897,0.0,550.705426897,127871.673686,66.0,1.51510123462e-08,7.0,1.0,True,0.0,10000.0,15.0,66002190.2927,0.0,45193.0,bart3,M,-121.900592121,37.6964407398,2025.0,57792PLE1bart3NANA
4564,4564,,,1940.0,1854261.8023,2191280.47988,1150.88260498,5378438.01619,7697.22624449,2.0,0.0,0,,0.0,residential,7.56684044703e+12,0.0,0.0,Pleasanton,,,2276805.21593,37.3658954783,,,1272443.15502,1.8,1.95780903225,3.0,0.0,0.0,1997.0,,369777,4276.23680249,surface,0.0,ple1,,,,0.0,,2012.0,,822.059003557,0.0,822.059003557,6542.64230781,3.0,0.308018037328,5.0,,False,0.0,,15.0,4131067.01823,0.0,2800.0,,M,-121.88650813,37.6924487089,2025.0,
