,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
40,40,True,,,,,,,106000.0,4.0,,0,,,office,7.18416825416e+11,,298.0,Redwood City,,,,,,,,,,,0.0,106000.0,,,1180311,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.254363902,37.4800158163,2013.0,
65,65,True,,,,,,,205595.0,3.0,,0,,,residential,1.24771996829e+12,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1169086,,,,rwc1,,,,,,2012.0,,,0.0,,0.0,114.0,,6.0,,False,,,,,,,,S,-122.232463273,37.4871497054,2014.0,
94,94,True,,,,,,,180000.0,3.0,,0,,,residential,1.940753194e+12,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1168724,,,,rwc2,,,,,,2012.0,,,0.0,,0.0,264.0,,5.0,,False,,,,,,,,S,-122.2324942,37.4920887807,2014.0,
182,182,True,,,,,,,122000.0,3.0,,0,,,residential,3.95190755576e+12,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1169220,,,,rwc2,,,,,,2012.0,,,0.0,,0.0,132.0,,4.0,,False,,,,,,,,S,-122.227074645,37.4918260367,2013.0,
560,560,True,,,,,,,46811.0,3.0,,0,,,residential,1.22019677761e+13,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1185324,,,,,,,,,,2012.0,,,0.0,,0.0,42.0,,5.0,,False,,,,,,,,S,-122.223998702,37.464705081,2011.0,
571,571,True,,,,,,,11142.0,10.0,,0,,,retail,1.23707509172e+13,,25.0,Redwood City,,,,,,,,,,,0.0,11142.0,,,1169175,,,,rwc1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.228549733,37.4868415817,2014.0,
638,638,True,,,,,,,283437.0,3.0,,0,,,residential,1.42760820445e+13,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1169361,,,,,,,,,,2012.0,,,0.0,,0.0,306.0,,3.0,,False,,,,,,,,M,-122.22400405,37.4956616454,2014.0,
825,825,True,,,,,,,47152.0,10.0,,0,,,retail,3.45727930944e+11,,105.0,Redwood City,,,,,,,,,,,0.0,47152.0,,,1171823,,,,rwc2,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.211415001,37.4875367505,2015.0,
832,832,True,,,,,,,580794.0,3.0,,0,,,residential,7.25594053344e+11,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1170729,,,,rwc1,,,,,,2012.0,,,0.0,,0.0,627.0,,6.0,,False,,,,,,,,S,-122.227582309,37.482481805,2015.0,
898,898,True,,,,,,,135896.0,3.0,,0,,,residential,2.16046721943e+12,,0.0,Redwood City,,,,,,,,,,,0.0,0.0,,,1184709,,,,rwc3,,,,,,2012.0,,,0.0,,0.0,141.0,,3.0,,False,,,,,,,,S,-122.217214672,37.4721123441,2015.0,
920,920,True,,,,,,,226197.0,4.0,,0,,,office,2.45133249640e+12,,637.0,Redwood City,,,,,,,,,,,0.0,226197.0,,,1169159,,,,rwc1,,,,,,2012.0,,,0.0,,0.0,0.0,,7.0,,False,,,,,,,,S,-122.229150729,37.4849371768,2015.0,
921,921,True,,,,,,,121012.0,4.0,,0,,,office,2.45133249640e+12,,340.0,Redwood City,,,,,,,,,,,0.0,121012.0,,,1169159,,,,rwc1,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,S,-122.229150729,37.4849371768,2015.0,
