,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
152,152,True,,,,,,,44394.0,4.0,,0,,,office,3.31569056988e+12,,125.0,Richmond,,,,,,,,,,,0.0,44394.0,,,594927,,,,wcc1_c,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.332582512,37.9893985298,2012.0,
293,293,True,,,,,,,110000.0,10.0,,0,,,retail,6.23172113062e+12,,247.0,Richmond,,,,,,,,,,,0.0,110000.0,,,414990,,,,ric2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.334684694,37.9153634974,2013.0,
294,294,True,,,,,,,110000.0,10.0,,0,,,retail,6.23172113062e+12,,247.0,Richmond,,,,,,,,,,,0.0,110000.0,,,414990,,,,ric2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.334684694,37.9153634974,2013.0,
295,295,True,,,,,,,110000.0,10.0,,0,,,retail,6.23172113062e+12,,247.0,Richmond,,,,,,,,,,,0.0,110000.0,,,414990,,,,ric2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.334684694,37.9153634974,2013.0,
392,392,True,,,,,,,117236.0,8.0,,0,,,industrial,8.46886159755e+12,,122.0,Richmond,,,,,,,,,,,0.0,117236.0,,,623506,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.343665718,37.9995087745,2013.0,
561,561,True,,,,,,,32493.0,3.0,,0,,,residential,1.22193000595e+13,,0.0,Richmond,,,,,,,,,,,0.0,0.0,,,452083,,,,ric1_a,,,,,,2012.0,,,0.0,,0.0,26.0,,3.0,,False,,,,,,,,S,-122.367948812,37.9352758789,2011.0,
814,814,True,,,,,,,224154.0,8.0,,0,,,industrial,45388664148.0,,233.0,Richmond,,,,,,,,,,,0.0,224154.0,,,621181,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.348971901,37.9987087455,2015.0,
846,846,True,,,,,,,1880400.0,3.0,,0,,,residential,9.22983410262e+11,,0.0,Richmond,,,,,,,,,,,0.0,0.0,,,454017,,,,ric1_a,,,,,,2012.0,,,0.0,,0.0,1567.0,,1.0,,False,,,,,,,,S,-122.352053463,37.9364280991,2018.0,
947,947,True,,,,,,,252375.0,8.0,,0,,,industrial,3.16726616029e+12,,262.0,Richmond,,,,,,,,,,,0.0,252375.0,,,619367,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.345739331,37.9977836481,2015.0,
1031,1031,True,,,,,,,813000.0,4.0,,0,,,office,6.23172113062e+12,,2290.0,Richmond,,,,,,,,,,,0.0,813000.0,,,414990,,,,ric2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.334684694,37.9153634974,2017.0,
1061,1061,True,,,,,,,68000.0,8.0,,0,,,industrial,7.01146101004e+12,,70.0,Richmond,,,,,,,,,,,0.0,68000.0,,,545354,,,,ccc2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.363867762,37.9711396211,2015.0,
1177,1177,True,,,,,,,159800.0,12.0,,0,,,residential,1.00747360641e+13,,107.0,Richmond,,,,,,,,,,,0.0,41000.0,,,457127,,,,ric1_a,,,,,,2012.0,,,0.0,,0.0,99.0,,3.0,,False,,,,,,,,S,-122.353029699,37.9377121495,2015.0,
1178,1178,True,,,,,,,1880400.0,3.0,,0,,,residential,1.00747360641e+13,,0.0,Richmond,,,,,,,,,,,0.0,0.0,,,457127,,,,ric1_a,,,,,,2012.0,,,0.0,,0.0,1567.0,,1.0,,False,,,,,,,,S,-122.353029699,37.9377121495,2017.0,
1577,1577,True,,,,,,,1880400.0,3.0,,0,,,residential,5.13414154856e+11,,0.0,Richmond,,,,,,,,,,,0.0,0.0,,,451537,,,,ric1_a,,,,,,2012.0,,,0.0,,0.0,1567.0,,1.0,,False,,,,,,,,S,-122.350393779,37.9349461,2020.0,
1651,1651,True,,,,,,,780000.0,4.0,,0,,,office,6.23172113062e+12,,2197.0,Richmond,,,,,,,,,,,0.0,780000.0,,,414990,,,,ric2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.334684694,37.9153634974,2022.0,
1787,1787,True,,,,,,,651000.0,4.0,,0,,,office,6.23172113062e+12,,1833.0,Richmond,,,,,,,,,,,0.0,651000.0,,,414990,,,,ric2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.334684694,37.9153634974,2025.0,
2625,2625,,1000.0,1000.0,2613453.99276,1120339.29724,679.405274251,3798062.94481,13975.6898009,3.0,5.0,0,,0.0,residential,1.12627979603e+12,0.0,0.0,Richmond,Richmond,60620.0,1206658.90962,87.12,,,-22943.0249623,2.75,2.85714285714,5.0,0.0,0.0,1959.0,,461060,5082.0690185,deck,0.2,ric1_a,ric1_a,1.0,1.0,0.0,OBAG,2012.0,1.0,485.289481608,0.0,485.289481608,9782.98286061,10.0,2.61772367873e-07,4.0,1.0,True,0.0,10000.0,20.0,3820112.90239,5.0,2425.0,bart2,S,-122.36025367,37.9396028077,2025.0,60620RIC1_abart2NANA
2650,2650,,1000.0,1000.0,1504787.40275,266140.95323,592.10855484,2022074.7139,8046.99145856,3.0,0.0,0,,0.0,residential,6.00757629784e+11,0.0,0.0,Richmond,Richmond,60620.0,558758.82445,87.12,,,-43151.1925354,2.75,2.85714285714,6.0,0.0,0.0,1947.0,,456319,2926.1787122,deck,0.2,ric1_a,ric1_a,1.0,1.0,0.0,OBAG,2012.0,1.0,448.720210775,0.0,448.720210775,5632.89402099,6.0,4.8460266449e-07,4.0,1.0,True,0.0,10000.0,20.0,2063546.2272,0.0,661.0,bart2,S,-122.347855827,37.937939651,2025.0,60620RIC1_abart2NANA
2788,2788,,1000.0,1000.0,2569964.17437,1274607.75882,737.381264648,3933257.43669,10668.1783909,3.0,3.0,0,,0.0,residential,1.56936082662e+13,0.0,0.0,Richmond,Richmond,60620.0,1372939.19474,70.0,,,-10036.6119703,2.0,2.29568411387,4.0,0.0,0.0,1915.0,,454404,5334.08919546,surface,0.0,ric1_a,ric1_a,1.0,1.0,0.0,OBAG,2012.0,1.0,526.70090332,0.0,526.70090332,7467.72487364,7.0,2.5362021495e-07,7.0,1.0,True,0.0,10000.0,20.0,3942903.36911,3.0,2542.0,b2,S,-122.367295887,37.9365847433,2025.0,60620RIC1_ab2NANA
2819,2819,,1000.0,1000.0,73981515.032,8074245.86884,612.056236267,110928297.875,337969.461087,3.0,0.0,23,,0.0,residential,7.54938250285e+12,23.0,0.0,Richmond,Richmond,60620.0,30605543.2747,50.0,,,-1412422.06718,1.5,1.63977436705,237.0,0.0,0.0,1973.0,,547799,225312.974058,surface,0.0,ccc2,ccc2,1.0,1.0,7712256.91166,OBAG,2012.0,1.0,468.885550944,0.0,468.885550944,236578.622761,237.0,9.56141243659e-09,4.0,1.0,True,0.0,10000.0,20.0,104587058.307,0.0,19400.0,,S,-122.363788459,37.9721249971,2025.0,60620CCC2NANANA
2826,2826,,1000.0,1000.0,59959236.8182,6659171.85059,612.056236267,89903215.4078,273911.543253,3.0,0.0,19,,0.0,residential,1.41096482842e+13,19.0,0.0,Richmond,Richmond,60620.0,24919941.4008,50.0,,,-1387635.77231,1.5,1.63977436705,192.0,0.0,0.0,1979.0,,552239,182607.695502,surface,0.0,ccc2,ccc2,1.0,1.0,6370994.84007,OBAG,2012.0,1.0,468.885550944,0.0,468.885550944,191738.080277,192.0,1.17814524243e-08,4.0,1.0,True,0.0,10000.0,20.0,84879178.219,0.0,16000.0,,S,-122.363251455,37.973698111,2025.0,60620CCC2NANANA
2879,2879,,1000.0,1000.0,2932029.81981,1379878.51228,589.550582886,4364521.16262,12171.1491067,3.0,0.0,0,,0.0,residential,2.28929515852e+12,0.0,0.0,Richmond,Richmond,60620.0,1469572.36291,70.0,,,-38582.8755796,2.0,2.29568411387,9.0,0.0,0.0,1960.0,,455520,6085.57455336,surface,0.0,ric1_a,ric1_a,1.0,1.0,0.0,OBAG,2012.0,1.0,512.279504395,0.0,512.279504395,8519.80437471,9.0,2.27190000025e-07,7.0,1.0,True,0.0,10000.0,20.0,4401602.18272,0.0,3442.0,b2,S,-122.365957392,37.9372735943,2025.0,60620RIC1_ab2NANA
