,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
4568,4568,,,1439.0,5768065.36747,0.0,561.389083862,21117200.9253,29294.3898805,1.0,0.0,0,,0.0,residential,5.9678894273e+12,0.0,0.0,Rio Vista,,,1644555.06973,9.99868741766,,,13567534.6832,0.25,0.38859480349,17.0,0.0,0.0,1948.0,,1740217,117177.559522,surface,0.0,,,,,0.0,,2012.0,,848.072477214,0.0,848.072477214,24900.2313984,17.0,1.83032907163,1.0,,False,0.0,,26.0,7412620.4372,0.0,0.0,,H,-121.723812851,38.1827508444,2025.0,
5948,5948,,,1439.0,3383747.29208,0.0,150.0,14256365.9671,17185.1055971,1.0,0.0,0,,0.0,residential,4.4947526987e+12,0.0,0.0,Rio Vista,,,343702.111943,9.99868741766,,,10423627.3974,0.25,0.38859480349,10.0,0.0,0.0,9999.0,,1859109,68740.4223886,surface,0.0,,,,,0.0,,2012.0,,975.97277832,0.0,975.97277832,14607.3397576,10.0,2.79645040552,1.0,,False,0.0,,26.0,3727449.40402,0.0,0.0,,H,-121.706355599,38.1853589729,2030.0,
6046,6046,,,1439.0,90264857.2066,0.0,150.0,381688842.808,458429.950262,1.0,1.0,0,,0.0,residential,1.52846069568e+13,0.0,0.0,Rio Vista,,,9168599.00524,9.99868741766,,,279432832.73,0.25,0.38859480349,270.0,0.0,0.0,1995.0,,1859725,1833719.80105,surface,0.0,,,,,0.0,,2012.0,,979.529581706,0.0,979.529581706,389665.457723,271.0,2.81024962197,1.0,,False,0.0,,26.0,99433456.2118,1.0,0.0,,H,-121.719440932,38.2038482954,2030.0,
6096,6096,,,1439.0,295310.431679,0.0,150.0,1248732.90032,1499.79904357,1.0,0.0,0,,0.0,residential,5.38317126013e+12,0.0,0.0,Rio Vista,,,29995.9808714,9.99868741766,,,914192.222895,0.25,0.38859480349,1.0,0.0,0.0,9999.0,,1859766,5999.19617429,surface,0.0,,,,,0.0,,2012.0,,979.529581706,0.0,979.529581706,1274.82918704,1.0,2.81024962197,1.0,,False,0.0,,26.0,325306.412551,0.0,0.0,,H,-121.719252767,38.2024772467,2030.0,
6303,6303,,,1439.0,1539879.12425,0.0,150.0,6400079.71707,7820.61515618,1.0,0.0,0,,0.0,residential,1.0997345957e+13,0.0,0.0,Rio Vista,,,156412.303124,9.99868741766,,,4656750.4068,0.25,0.38859480349,5.0,0.0,0.0,9999.0,,1857257,31282.4606247,surface,0.0,,,,,0.0,,2012.0,,962.776635742,0.0,962.776635742,6647.52288275,5.0,2.74525375278,1.0,,False,0.0,,26.0,1696291.42737,0.0,0.0,,H,-121.709161542,38.1731119749,2030.0,
6449,6449,,,1439.0,418112938.32,0.0,150.0,1414585515.53,2123478.61005,1.0,0.0,0,,0.0,residential,1.64654043823e+12,0.0,0.0,Rio Vista,,,42469572.2011,9.99868741766,,,944462974.955,0.25,0.38859480349,1254.0,0.0,0.0,9999.0,,1740995,8493914.44021,surface,0.0,,,,,0.0,,2012.0,,783.722635905,0.0,783.722635905,1804956.81855,1254.0,2.05058367042,1.0,,False,0.0,,26.0,460582510.521,0.0,0.0,,H,-121.707832546,38.1648078816,2030.0,
6557,6557,,,1439.0,453036.129948,0.0,862.809597982,1205293.95987,2300.84372752,1.0,0.0,0,,0.0,residential,3.27097340798e+12,0.0,0.0,Rio Vista,,,184067.498201,9.99868741766,,,562508.428407,0.25,0.38859480349,1.0,0.0,0.0,1991.0,,1861306,9203.37491006,surface,0.0,,,,,0.0,,2012.0,,616.292569987,0.0,616.292569987,1955.71716839,1.0,0.882915123308,1.0,,False,0.0,,26.0,637103.628149,0.0,0.0,,H,-121.696783752,38.1642077829,2030.0,
6806,6806,,,1439.0,11235626.0323,1891134.6641,1371.34141439,47510329.3928,57062.6004686,1.0,1.0,0,,0.0,residential,7.31122845611e+12,0.0,0.0,Rio Vista,,,6456142.70159,9.99868741766,,,29520375.0524,0.25,0.38859480349,33.0,0.0,0.0,1974.0,,1857269,228250.401874,surface,0.0,,,,,0.0,,2012.0,,979.529581706,0.0,979.529581706,48503.2103983,34.0,1.6685937679,1.0,,False,0.0,,26.0,17691768.7339,1.0,2028.0,,H,-121.722204991,38.1898625562,2030.0,
6816,6816,,,1439.0,341113.732306,0.0,898.441933594,945005.619402,1732.42118998,1.0,0.0,0,,0.0,residential,1.92516700289e+12,0.0,0.0,Rio Vista,,,138593.695198,9.99868741766,,,460645.209979,0.25,0.38859480349,1.0,0.0,0.0,1960.0,,1861400,6929.6847599,surface,0.0,,,,,0.0,,2012.0,,641.744238281,0.0,641.744238281,1472.55801148,1.0,0.960262825979,1.0,,False,0.0,,26.0,479707.427504,0.0,0.0,,H,-121.692072527,38.1663676542,2030.0,
8142,8142,,,1439.0,1343710.68337,0.0,150.0,3863638.03579,6824.3305402,1.0,0.0,0,,0.0,residential,7.69874355844e+12,0.0,0.0,Rio Vista,,,136486.610804,9.99868741766,,,2359606.33421,0.25,0.38859480349,4.0,0.0,0.0,9999.0,,1861148,27297.3221608,surface,0.0,,,,,0.0,,2012.0,,666.066288249,0.0,666.066288249,5800.68095917,4.0,1.59411609756,1.0,,False,0.0,,26.0,1480197.29417,0.0,0.0,,H,-121.691092382,38.1603604673,2035.0,
