,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
34,34,True,,,,,,,1700.0,10.0,,0,,,retail,5.57217004096e+11,,3.0,Rohnert Park,,,,,,,,,,,0.0,1700.0,,,2006024,,,,roh2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.710190437,38.3492562172,2013.0,
404,404,True,,,,,,,2500.0,10.0,,0,,,retail,8.80243707029e+12,,5.0,Rohnert Park,,,,,,,,,,,0.0,2500.0,,,2006035,,,,roh2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.710639341,38.3468981533,2012.0,
477,477,True,,,,,,,13650.0,10.0,,0,,,retail,1.06025734728e+13,,30.0,Rohnert Park,,,,,,,,,,,0.0,13650.0,,,2006044,,,,roh2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.710718841,38.348999153,2013.0,
1079,1079,True,,,,,,,278416.0,3.0,,0,,,residential,7.32153987868e+12,,0.0,Rohnert Park,,,,,,,,,,,0.0,0.0,,,2005982,,,,,,,,,,2012.0,,,0.0,,0.0,294.0,,3.0,,False,,,,,,,,M,-122.719914632,38.3548950067,2015.0,
1310,1310,True,,,,,,,2640000.0,3.0,,0,,,residential,1.30263208057e+13,,0.0,Rohnert Park,,,,,,,,,,,0.0,0.0,,,1930041,,,,roh1,,,,,,2012.0,,,0.0,,0.0,2200.0,,1.0,,False,,,,,,,,MH,-122.681251061,38.3231266574,2018.0,
1694,1694,True,,,,,,,275000.0,10.0,,0,,,retail,1.00106289246e+13,,617.0,Rohnert Park,,,,,,,,,,,0.0,275000.0,,,1930037,,,,roh1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-122.67966394,38.3187019834,2020.0,
2752,2752,,2080.0,2080.0,26466325.9038,6921026.6814,623.650760651,40851405.0831,141531.154566,3.0,0.0,4,,0.0,residential,1.32967852198e+13,4.0,0.0,Rohnert Park,Rohnert Park,62546.0,12067614.1201,43.56,,,-343629.276587,2.75,2.97142857143,48.0,0.0,0.0,1979.0,,2005891,51465.8743875,deck,0.2,roh2,roh2,1.0,1.0,2654323.4815,OBAG,2012.0,1.0,515.426712036,0.0,515.426712036,99071.8081959,48.0,2.59511485039e-08,4.0,1.0,True,0.0,10000.0,29.0,38533940.0239,0.0,16320.0,b3,M,-122.711728927,38.3537855429,2025.0,62546ROH2b3NANA
2795,2795,,1260.0,1260.0,14091210.8744,5702896.37769,520.551940918,21729293.925,64372.8226331,2.0,0.0,3,,0.0,residential,6.71616510881e+12,3.0,0.0,Rohnert Park,Rohnert Park,62546.0,6540631.32179,30.0,,,-145947.247207,1.0,1.23966942149,36.0,0.0,0.0,1976.0,,2006026,64372.8226331,surface,0.0,roh2,roh2,1.0,1.0,1240523.23869,OBAG,2012.0,1.0,482.219781494,0.0,482.219781494,45060.9758432,36.0,4.84687693174e-08,2.0,1.0,True,0.0,10000.0,29.0,20631842.1962,0.0,16111.0,cr4,M,-122.707779178,38.3451612235,2025.0,62546ROH2cr4NANA
3095,3095,,2080.0,2080.0,22307910.137,5169730.08644,775.374221802,30519621.8228,119293.637096,3.0,0.0,4,,0.0,residential,1.9598021874e+12,4.0,0.0,Rohnert Park,Rohnert Park,62546.0,6010613.82307,43.56,,,-63973.9113878,2.75,2.97142857143,40.0,0.0,0.0,1974.0,,2008111,43379.5043987,deck,0.2,roh2,roh2,1.0,1.0,2264438.369,OBAG,2012.0,1.0,456.850222778,0.0,456.850222778,83505.5459675,40.0,3.53125749566e-08,4.0,1.0,True,0.0,10000.0,29.0,28318523.9601,0.0,9805.0,,M,-122.71205286,38.3557082843,2025.0,62546ROH2NANANA
3810,3810,,2080.0,2080.0,49476630.142,15766095.0824,636.962471008,79138731.7379,264580.90985,3.0,0.0,8,,0.0,residential,4.12107724365e+11,8.0,0.0,Rohnert Park,Rohnert Park,62546.0,25387219.0769,43.56,,,-1295496.9875,2.75,2.97142857143,89.0,0.0,0.0,1977.0,,2005889,96211.2399455,deck,0.2,roh2,roh2,1.0,1.0,5557552.80362,OBAG,2012.0,1.0,534.12456665,0.0,534.12456665,185206.636895,89.0,1.33575819362e-08,4.0,1.0,True,0.0,14556.145927,29.0,74863849.2189,0.0,36400.0,,M,-122.709840187,38.3563060532,2025.0,62546ROH2NANANA
