,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
2522,2522,,1945.37009674,1945.37009674,3252182.6142,2190453.96278,827.928791809,5588575.3892,13500.1353848,2.0,2.0,0,,0.0,residential,5.54224097889e+12,0.0,0.0,San Bruno,San Bruno,65028.0,2340455.46706,30.0,,,-4227.23921275,1.8,1.91398081143,3.0,0.0,0.0,1975.0,,1088392,7500.07521378,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,591.377708435,0.0,591.377708435,9450.09476936,5.0,1.78806492655e-07,5.0,1.0,True,0.0,10000.0,5.0,5592638.08126,2.0,3890.74019347,bart2,S,-122.413856799,37.6326478361,2025.0,65028SBR1bart2NANA
2606,2606,,1945.37009674,1945.37009674,3227317.94199,2180897.03974,824.31654892,5521651.28312,13396.919643,2.0,2.0,0,,0.0,residential,1.72484856391e+12,0.0,0.0,San Bruno,San Bruno,65028.0,2329751.70244,30.0,,,-36852.875773,1.8,1.91398081143,3.0,0.0,0.0,1933.0,,1088597,7442.73313499,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,588.797534943,0.0,588.797534943,9377.84375008,5.0,1.79950956887e-07,5.0,1.0,True,0.0,10000.0,5.0,5557069.64443,2.0,3890.74019347,bart2,S,-122.413446908,37.6309482382,2025.0,65028SBR1bart2NANA
2634,2634,,1000.0,1000.0,2392301.39253,1719378.32739,842.832513428,4184951.00777,9930.68240984,3.0,0.0,0,,0.0,residential,4.15535402311e+12,0.0,0.0,San Bruno,San Bruno,65028.0,1818685.15149,60.9830940022,,,-27090.027541,2.0,1.99997028736,7.0,0.0,0.0,1944.0,,1079239,4965.34120492,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,602.023223877,0.0,602.023223877,6951.47768689,7.0,2.37474043088e-07,7.0,1.0,True,0.0,10000.0,5.0,4210986.54402,0.0,3000.0,bart2,S,-122.412634371,37.6391386061,2025.0,65028SBR1bart2NANA
2637,2637,,1000.0,1000.0,2409098.89418,1371853.08644,736.020069122,4214335.56678,10000.4105196,3.0,0.0,0,,0.0,residential,1.40450672639e+13,0.0,0.0,San Bruno,San Bruno,65028.0,1871873.61242,60.9830940022,,,-69335.869148,2.0,1.99997028736,7.0,0.0,0.0,1961.0,,1079241,5000.20525981,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,602.023223877,0.0,602.023223877,7000.28736374,7.0,2.33591782816e-07,7.0,1.0,True,0.0,10000.0,5.0,4280972.5066,0.0,2741.0,bart2,S,-122.41262899,37.6388644721,2025.0,65028SBR1bart2NANA
2649,2649,,1000.0,1000.0,2409049.73436,1315797.79797,736.020069122,4202133.87519,10000.2064523,3.0,0.0,0,,0.0,residential,1.12388486906e+13,0.0,0.0,San Bruno,San Bruno,65028.0,1815808.12059,60.9830940022,,,-23644.3463883,2.0,1.99997028736,7.0,0.0,0.0,1961.0,,1079276,5000.10322615,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,600.292446136,0.0,600.292446136,7000.14451661,7.0,2.3669435383e-07,7.0,1.0,True,0.0,10000.0,5.0,4224857.85495,0.0,2629.0,bart2,S,-122.412110321,37.6381837499,2025.0,65028SBR1bart2NANA
2683,2683,,1000.0,1000.0,1204573.0914,839649.567847,924.235610962,2092025.29976,5000.30340972,3.0,0.0,0,,0.0,residential,1.75394832484e+13,0.0,0.0,San Bruno,San Bruno,65028.0,889652.601944,60.9830940022,,,-2289.51392906,2.0,1.99997028736,4.0,0.0,0.0,1961.0,,1079374,2500.15170486,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,597.685245514,0.0,597.685245514,3500.2123868,4.0,4.77503453032e-07,7.0,1.0,True,0.0,10000.0,5.0,2094225.69334,0.0,1336.0,bart2,S,-122.411693301,37.6347900029,2025.0,65028SBR1bart2NANA
2684,2684,,1000.0,1000.0,2539090.26486,1381982.1304,728.693675995,4426417.82599,10540.0177039,3.0,0.0,0,,0.0,residential,4.69311490486e+12,0.0,0.0,San Bruno,San Bruno,65028.0,1908983.01559,60.9830940022,,,-22532.543672,2.0,1.99997028736,7.0,0.0,0.0,1961.0,,1079376,5270.00885193,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,599.947193146,0.0,599.947193146,7378.0123927,7.0,2.24816440052e-07,7.0,1.0,True,0.0,10000.0,5.0,4448073.28045,0.0,2789.0,bart2,S,-122.412036344,37.6346787115,2025.0,65028SBR1bart2NANA
2695,2695,,1945.37009674,1945.37009674,25857674.7711,15353338.9287,840.409424591,45103847.189,107337.794816,2.0,14.0,3,,0.0,residential,2.3804190067e+12,3.0,0.0,San Bruno,San Bruno,65028.0,16545981.0933,30.0,,,-175886.987638,1.8,1.91398081143,25.0,0.0,0.0,1961.0,,1079437,59632.108231,surface,0.0,sbr1,sbr1,1.0,1.0,2869231.83347,OBAG,2012.0,1.0,600.292446136,0.0,600.292446136,75136.456371,39.0,2.35828722692e-08,5.0,1.0,True,0.0,10000.0,5.0,42403655.8645,14.0,26866.0,bart2,S,-122.4141857,37.6361667681,2025.0,65028SBR1bart2NANA
2769,2769,,1945.37009674,1945.37009674,2820766.05131,1787012.70945,806.122658539,4719558.79701,11709.2820727,2.0,2.0,0,,0.0,residential,1.6155798813e+13,0.0,0.0,San Bruno,San Bruno,65028.0,1917115.84359,30.0,,,-19065.2200018,1.8,1.91398081143,2.0,0.0,0.0,1930.0,,1093515,6505.15670705,surface,0.0,sbr1,sbr1,1.0,1.0,0.0,OBAG,2012.0,1.0,575.801898956,0.0,575.801898956,8196.49745089,4.0,2.11064780039e-07,5.0,1.0,True,0.0,10000.0,5.0,4737881.8949,2.0,3260.0,cr3,S,-122.405745259,37.6184757516,2025.0,65028SBR1cr3NANA
2809,2809,,1945.37009674,1945.37009674,5301367.49265,3078987.25191,925.009689331,9272796.94165,28349.5587842,3.0,0.0,1,,0.0,residential,1.29582143812e+13,1.0,0.0,San Bruno,San Bruno,65028.0,3305783.72218,40.0,,,-33279.2797781,2.5,2.55197441524,10.0,0.0,0.0,1957.0,,1089135,11339.8235137,deck,0.2,sbr1,sbr1,1.0,1.0,697629.595929,OBAG,2012.0,1.0,584.08549118,0.0,584.08549118,19844.691149,10.0,1.16182459799e-07,4.0,1.0,True,0.0,10000.0,5.0,8607151.21483,0.0,4895.0,cr3,S,-122.41376571,37.6252135317,2025.0,65028SBR1cr3NANA
