,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
251,251,True,,,,,,,2049.0,14.0,,0,,,office,5.32593431416e+12,,5.0,San Carlos,,,,,,,,,,,0.0,2049.0,,,1165845,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.247879728,37.4951532569,2013.0,
261,261,True,,,,,,,9800.0,10.0,,0,,,retail,5.54886924689e+12,,22.0,San Carlos,,,,,,,,,,,0.0,9800.0,,,1152215,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.258327129,37.5127009778,2011.0,
378,378,True,,,,,,,12056.0,4.0,,0,,,office,8.25928031658e+12,,33.0,San Carlos,,,,,,,,,,,0.0,12056.0,,,1152240,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.265948893,37.5142695124,2011.0,
379,379,True,,,,,,,14784.0,4.0,,0,,,office,8.25928031658e+12,,41.0,San Carlos,,,,,,,,,,,0.0,14784.0,,,1152240,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.265948893,37.5142695124,2011.0,
449,449,True,,,,,,,193200.0,4.0,,0,,,office,9.8851025858e+12,,544.0,San Carlos,,,,,,,,,,,0.0,193200.0,,,1152216,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,M,-122.259471773,37.5148679112,2014.0,
544,544,True,,,,,,,20000.0,8.0,,0,,,industrial,1.18014022759e+13,,20.0,San Carlos,,,,,,,,,,,0.0,20000.0,,,1153109,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.245604615,37.4962025507,2011.0,
2228,2228,,1000.0,1000.0,2620039.47871,4876606.9906,1002.02331543,7610786.77149,11969.1159375,3.0,0.0,0,,0.0,residential,4.24626360757e+11,0.0,0.0,San Carlos,San Carlos,65070.0,5036195.2031,50.0,,,-46361.4133151,1.5,1.63977436705,8.0,0.0,0.0,1958.0,,1160622,7979.41062497,surface,0.0,sca1,sca1,1.0,1.0,0.0,OBAG,2012.0,1.0,908.383926392,0.0,908.383926392,8378.38115622,8.0,1.3061250622e-07,4.0,1.0,True,0.0,10000.0,7.0,7656234.68181,0.0,7157.0,cr3,M,-122.260155854,37.5053643875,2025.0,65070SCA1cr3NANA
2451,2451,,1000.0,1000.0,1141031.95635,2122485.78674,1002.02331543,3331726.13401,5212.57175128,3.0,0.0,0,,0.0,residential,1.42909103424e+11,0.0,0.0,San Carlos,San Carlos,65070.0,2191986.74343,50.0,,,-1318.54634327,1.5,1.63977436705,4.0,0.0,0.0,1958.0,,1160631,3475.04783418,surface,0.0,sca1,sca1,1.0,1.0,0.0,OBAG,2012.0,1.0,913.101821899,0.0,913.101821899,3648.80022589,4.0,3.00028319693e-07,4.0,1.0,True,0.0,10000.0,7.0,3333018.69978,0.0,3115.0,cr3,M,-122.259525334,37.506225123,2025.0,65070SCA1cr3NANA
3851,3851,,1000.0,1000.0,1762866.14807,3335334.80774,1002.02331543,5132655.24419,8053.29441786,3.0,0.0,0,,0.0,residential,7.36447969824e+12,0.0,0.0,San Carlos,San Carlos,65070.0,3442712.06664,50.0,,,-74388.7222306,1.5,1.63977436705,6.0,0.0,0.0,1958.0,,1160644,5368.86294524,surface,0.0,sca1,sca1,1.0,1.0,0.0,OBAG,2012.0,1.0,910.480140686,0.0,910.480140686,5637.3060925,6.0,1.92101618447e-07,4.0,1.0,True,0.0,14877.7444461,7.0,5205578.21471,0.0,4895.0,cr3,M,-122.260301693,37.5061523367,2025.0,65070SCA1cr3NANA
4557,4557,,,1000.0,613807.555268,0.0,1002.64068604,2162602.50584,2804.0546152,2.0,0.0,0,,0.0,residential,8.23213914512e+12,0.0,0.0,San Carlos,,,56081.092304,50.0,,,1507640.99686,1.0,1.35040241992,2.0,0.0,0.0,1958.0,,1165746,2804.0546152,surface,0.0,,,,,0.0,,2012.0,,907.34261322,0.0,907.34261322,2383.44642292,2.0,2.25058448493,2.0,,False,0.0,,7.0,669888.647572,0.0,0.0,,M,-122.255635202,37.5027883017,2025.0,
