,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
3,3,True,,,,,,,100000.0,3.0,,0,,,residential,44183372372.0,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,903815,,,,sfo11,,,,,,2012.0,,,0.0,,0.0,115.0,,8.0,,False,,,,,,,,S,-122.426089446,37.7701767616,2014.0,
9,9,True,,,,,,,115000.0,3.0,,0,,,residential,1.02756071397e+11,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,903807,,,,sfo11,,,,,,2012.0,,,0.0,,0.0,113.0,,8.0,,False,,,,,,,,S,-122.424425163,37.7715530145,2013.0,
11,11,True,,,,,,,28301.0,3.0,,0,,,residential,1.10412276713e+11,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,983309,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,20.0,,5.0,,False,,,,,,,,S,-122.401091414,37.7645999678,2014.0,
27,27,True,,,,,,,230000.0,12.0,,0,,,residential,3.32841524255e+11,,163.0,San Francisco,,,,,,,,,,,0.0,62744.0,,,974595,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,202.0,,6.0,,False,,,,,,,,S,-122.420322472,37.7668976154,2013.0,
33,33,True,,,,,,,6200.0,8.0,,0,,,industrial,5.53791432615e+11,,6.0,San Francisco,,,,,,,,,,,0.0,6200.0,,,992995,,,,sfo1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.396460353,37.7385423779,2011.0,
37,37,True,,,,,,,479220.0,4.0,,0,,,office,5.8854984176e+11,,1349.0,San Francisco,,,,,,,,,,,0.0,479220.0,,,981661,,,,sfo7,,,,,,2012.0,,,0.0,,0.0,0.0,,14.0,,False,,,,,,,,S,-122.398457748,37.7846274084,2014.0,
45,45,True,,,,,,,58450.0,3.0,,0,,,residential,9.23925429186e+11,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,980696,,,,sfo3,,,,,,2012.0,,,0.0,,0.0,67.0,,7.0,,False,,,,,,,,S,-122.409350165,37.7824240657,2014.0,
77,77,True,,,,,,,257097.0,4.0,,0,,,office,1.6058721094e+12,,724.0,San Francisco,,,,,,,,,,,0.0,257097.0,,,901800,,,,sfo3,,,,,,2012.0,,,0.0,,0.0,0.0,,13.0,,False,,,,,,,,S,-122.419174145,37.7809294815,2012.0,
79,79,True,,,,,,,49945.0,3.0,,0,,,residential,1.62387750455e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,895289,,,,sfo3,,,,,,2012.0,,,0.0,,0.0,88.0,,6.0,,False,,,,,,,,S,-122.414927028,37.7814119491,2013.0,
105,105,True,,,,,,,45000.0,3.0,,0,,,residential,2.28639198626e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,974841,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,32.0,,5.0,,False,,,,,,,,S,-122.41797754,37.7665417944,2014.0,
135,135,True,,,,,,,228667.0,3.0,,0,,,residential,2.91743817969e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,981531,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,463.0,,8.0,,False,,,,,,,,S,-122.404122903,37.780154327,2014.0,
137,137,True,,,,,,,33850.0,4.0,,0,,,office,2.95558685307e+12,,95.0,San Francisco,,,,,,,,,,,0.0,33850.0,,,981262,,,,sfo3,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.413882063,37.7764080146,2014.0,
147,147,True,,,,,,,104000.0,3.0,,0,,,residential,3.18012014755e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,991193,,,,sfo1,,,,,,2012.0,,,0.0,,0.0,121.0,,3.0,,False,,,,,,,,S,-122.389733501,37.7149787348,2013.0,
150,150,True,,,,,,,11775.0,3.0,,0,,,residential,3.28240107666e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,981498,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,23.0,,4.0,,False,,,,,,,,S,-122.407167826,37.7786637904,2012.0,
164,164,True,,,,,,,213600.0,3.0,,0,,,residential,3.53425380622e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,1040228,,,,sfo10,,,,,,2012.0,,,0.0,,0.0,178.0,,6.0,,False,,,,,,,,S,-122.48387501,37.7205047806,2014.0,
170,170,True,,,,,,,100000.0,3.0,,0,,,residential,3.73347000269e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,982873,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,94.0,,4.0,,False,,,,,,,,S,-122.392510994,37.7797343472,2012.0,
174,174,True,,,,,,,213600.0,3.0,,0,,,residential,3.76997841254e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,1040262,,,,sfo10,,,,,,2012.0,,,0.0,,0.0,178.0,,6.0,,False,,,,,,,,S,-122.480908144,37.7182662578,2014.0,
179,179,True,,,,,,,15000.0,3.0,,0,,,residential,3.88311728993e+12,,0.0,San Francisco,,,,,,,,,,,0.0,0.0,,,981064,,,,sfo4,,,,,,2012.0,,,0.0,,0.0,16.0,,3.0,,False,,,,,,,,S,-122.408458657,37.7793833645,2013.0,
184,184,True,,,,,,,10000.0,10.0,,0,,,retail,4.00232348291e+12,,22.0,San Francisco,,,,,,,,,,,0.0,10000.0,,,1022833,,,,sfo12,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.427152878,37.7454350447,2012.0,
