,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
0,0,True,,,,,,,74800.0,4.0,,0,,,office,493614563.0,,210.0,San Jose,,,,,,,,,,,0.0,74800.0,,,1509961,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-121.951555877,37.2533834316,2011.0,
4,4,True,,,,,,,6976.0,10.0,,0,,,retail,59510186886.0,,15.0,San Jose,,,,,,,,,,,0.0,6976.0,,,1557150,,,,vta1_i,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.852997616,37.3506713566,2013.0,
7,7,True,,,,,,,92400.0,3.0,,0,,,residential,96233024879.0,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1387559,,,,,,,,,,2012.0,,,0.0,,0.0,77.0,,1.0,,False,,,,,,,,S,-121.851490218,37.3774604236,2011.0,
12,12,True,,,,,,,80000.0,3.0,,0,,,residential,1.26855075162e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1532756,,,,sjo6,,,,,,2012.0,,,0.0,,0.0,92.0,,4.0,,False,,,,,,,,S,-121.8527622,37.2908090734,2011.0,
14,14,True,,,,,,,359490.0,3.0,,0,,,residential,1.78546448907e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1387534,,,,sjo5,,,,,,2012.0,,,0.0,,0.0,185.0,,6.0,,False,,,,,,,,S,-121.867455007,37.3662282731,2011.0,
15,15,True,,,,,,,154280.0,3.0,,0,,,residential,1.78546448907e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1387534,,,,sjo5,,,,,,2012.0,,,0.0,,0.0,94.0,,4.0,,False,,,,,,,,S,-121.867455007,37.3662282731,2012.0,
16,16,True,,,,,,,276000.0,12.0,,0,,,residential,1.78546448907e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1387534,,,,sjo5,,,,,,2012.0,,,0.0,,0.0,230.0,,1.0,,False,,,,,,,,S,-121.867455007,37.3662282731,2013.0,
19,19,True,,,,,,,61200.0,1.0,,0,,,residential,2.13050406763e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1526676,,,,,,,,,,2012.0,,,0.0,,0.0,51.0,,1.0,,False,,,,,,,,S,-121.906593188,37.2684081066,2011.0,
20,20,True,,,,,,,219000.0,4.0,,0,,,office,2.16445391403e+11,,616.0,San Jose,,,,,,,,,,,0.0,219000.0,,,1373272,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.925360498,37.3511546644,2012.0,
23,23,True,,,,,,,25000.0,10.0,,0,,,retail,2.77043018674e+11,,56.0,San Jose,,,,,,,,,,,0.0,25000.0,,,1529655,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.880935903,37.2761922146,2011.0,
24,24,True,,,,,,,14820.0,10.0,,0,,,retail,2.77043018674e+11,,33.0,San Jose,,,,,,,,,,,0.0,14820.0,,,1529655,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.880935903,37.2761922146,2012.0,
35,35,True,,,,,,,206000.0,10.0,,0,,,retail,5.57307546256e+11,,462.0,San Jose,,,,,,,,,,,0.0,206000.0,,,1552132,,,,vta1_i,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.871217199,37.3156960217,2013.0,
41,41,True,,,,,,,233029.0,3.0,,0,,,residential,8.1584130791e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,1288092,,,,sjo3,,,,,,2012.0,,,0.0,,0.0,271.0,,4.0,,False,,,,,,,,S,-121.94292514,37.4022836042,2013.0,
42,42,True,,,,,,,291982.0,3.0,,0,,,residential,8.38347701072e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,2049001,,,,sjo3,,,,,,2012.0,,,0.0,,0.0,498.0,,5.0,,False,,,,,,,,S,-121.938883395,37.4129825264,2014.0,
43,43,True,,,,,,,88000.0,4.0,,0,,,office,8.41228298555e+11,,247.0,San Jose,,,,,,,,,,,0.0,88000.0,,,1380272,,,,sjo18,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.862888307,37.38688164,2014.0,
50,50,True,,,,,,,507003.0,3.0,,0,,,residential,9.98599493637e+11,,0.0,San Jose,,,,,,,,,,,0.0,0.0,,,2050179,,,,sjo7,,,,,,2012.0,,,0.0,,0.0,386.0,,5.0,,False,,,,,,,,S,-121.910108037,37.3188467577,2012.0,
