,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
32,32,True,,,,,,,275000.0,8.0,,0,,,industrial,5.18440393755e+11,,286.0,San Leandro,,,,,,,,,,,0.0,275000.0,,,153357,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.150781072,37.7122650366,2014.0,
327,327,True,,,,,,,1717.0,10.0,,0,,,retail,6.93751937507e+12,,3.0,San Leandro,,,,,,,,,,,0.0,1717.0,,,180700,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.150897271,37.6911168406,2013.0,
355,355,True,,,,,,,434000.0,4.0,,0,,,office,7.70016040867e+12,,1222.0,San Leandro,,,,,,,,,,,0.0,434000.0,,,161325,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,6.0,,False,,,,,,,,M,-122.16568459,37.707175229,2014.0,
446,446,True,,,,,,,16500.0,10.0,,0,,,retail,9.76708873602e+12,,37.0,San Leandro,,,,,,,,,,,0.0,16500.0,,,159236,,,,sle3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.152852746,37.7233541568,2014.0,
557,557,True,,,,,,,5050.0,10.0,,0,,,retail,1.21348036085e+13,,11.0,San Leandro,,,,,,,,,,,0.0,5050.0,,,252324,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.13083591,37.6895610865,2011.0,
629,629,True,,,,,,,10195.0,10.0,,0,,,retail,1.41034313669e+13,,22.0,San Leandro,,,,,,,,,,,0.0,10195.0,,,168097,,,,sle2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.130700868,37.7075232718,2012.0,
1126,1126,True,,,,,,,100000.0,3.0,,0,,,residential,8.85068557143e+12,,0.0,San Leandro,,,,,,,,,,,0.0,0.0,,,152975,,,,sle3,,,,,,2012.0,,,0.0,,0.0,108.0,,5.0,,False,,,,,,,,S,-122.159312228,37.7219741203,2016.0,
1376,1376,True,,,,,,,132000.0,4.0,,0,,,office,1.48731840393e+13,,371.0,San Leandro,,,,,,,,,,,0.0,132000.0,,,153022,,,,sle3,,,,,,2012.0,,,0.0,,0.0,0.0,,6.0,,False,,,,,,,,S,-122.16185759,37.7214565815,2016.0,
1575,1575,True,,,,,,,105638.0,12.0,,0,,,residential,3.70805784332e+11,,27.0,San Leandro,,,,,,,,,,,0.0,10564.0,,,177197,,,,sle1,,,,,,2012.0,,,0.0,,0.0,79.0,,1.0,,False,,,,,,,,S,-122.123468179,37.7003401504,2020.0,
1609,1609,True,,,,,,,229178.0,12.0,,0,,,residential,2.32710910356e+12,,59.0,San Leandro,,,,,,,,,,,0.0,22918.0,,,167187,,,,sle1,,,,,,2012.0,,,0.0,,0.0,172.0,,1.0,,False,,,,,,,,S,-122.126872499,37.6984220752,2020.0,
1681,1681,True,,,,,,,961773.0,12.0,,0,,,residential,8.8469061011e+12,,251.0,San Leandro,,,,,,,,,,,0.0,96177.0,,,167182,,,,sle1,,,,,,2012.0,,,0.0,,0.0,721.0,,1.0,,False,,,,,,,,S,-122.128750963,37.7011791196,2020.0,
1692,1692,True,,,,,,,218993.0,12.0,,0,,,residential,9.92984205702e+12,,57.0,San Leandro,,,,,,,,,,,0.0,21899.0,,,167189,,,,sle1,,,,,,2012.0,,,0.0,,0.0,164.0,,1.0,,False,,,,,,,,S,-122.128988861,37.699044715,2020.0,
1708,1708,True,,,,,,,1239752.0,12.0,,0,,,residential,1.14890502075e+13,,323.0,San Leandro,,,,,,,,,,,0.0,123975.0,,,167188,,,,sle1,,,,,,2012.0,,,0.0,,0.0,930.0,,1.0,,False,,,,,,,,S,-122.126787763,37.6991643896,2020.0,
1709,1709,True,,,,,,,259858.0,12.0,,0,,,residential,1.14930570236e+13,,67.0,San Leandro,,,,,,,,,,,0.0,25986.0,,,177171,,,,sle1,,,,,,2012.0,,,0.0,,0.0,195.0,,1.0,,False,,,,,,,,S,-122.122915061,37.7005324441,2020.0,
1729,1729,True,,,,,,,1495795.0,12.0,,0,,,residential,1.30181216264e+13,,195.0,San Leandro,,,,,,,,,,,0.0,74790.0,,,167180,,,,sle1,,,,,,2012.0,,,0.0,,0.0,1184.0,,1.0,,False,,,,,,,,S,-122.126000549,37.6974788881,2020.0,
1730,1730,True,,,,,,,135014.0,12.0,,0,,,residential,1.31842564528e+13,,35.0,San Leandro,,,,,,,,,,,0.0,13501.0,,,167190,,,,sle1,,,,,,2012.0,,,0.0,,0.0,101.0,,1.0,,False,,,,,,,,S,-122.128018583,37.7000934564,2020.0,
1741,1741,True,,,,,,,13899.0,12.0,,0,,,residential,1.41537270931e+13,,0.0,San Leandro,,,,,,,,,,,0.0,0.0,,,167184,,,,sle1,,,,,,2012.0,,,0.0,,0.0,12.0,,1.0,,False,,,,,,,,S,-122.128568596,37.6984892909,2020.0,
1761,1761,True,,,,,,,117559.0,12.0,,0,,,residential,1.63377217656e+13,,30.0,San Leandro,,,,,,,,,,,0.0,11756.0,,,177199,,,,sle1,,,,,,2012.0,,,0.0,,0.0,88.0,,1.0,,False,,,,,,,,S,-122.123470942,37.7010169245,2020.0,
2340,2340,,900.0,1000.0,5485582.69873,4021920.79758,867.750793457,10182072.1698,29334.6668381,3.0,3.0,2,,0.0,residential,7.46419478659e+12,2.0,0.0,San Leandro,San Leandro,68084.0,4189547.46522,122.279263395,,,-95372.6895504,3.5,3.60918723127,18.0,0.0,0.0,1935.0,,152864,8381.33338232,deck,0.2,sle3,sle3,1.0,1.0,598602.271355,OBAG,2012.0,1.0,619.821995326,0.0,619.821995326,20534.2667867,21.0,1.03357782588e-07,5.0,1.0,True,0.0,10000.0,17.0,9675130.16395,3.0,6816.0,bart1,S,-122.157455401,37.7218094096,2025.0,68084SLE3bart1NANA
2432,2432,,900.0,1000.0,8559632.76978,6348215.02723,1037.98202515,16012459.5798,45773.4372715,3.0,0.0,3,,0.0,residential,1.70788630854e+13,3.0,0.0,San Leandro,San Leandro,68084.0,6609777.52593,122.279263395,,,-67990.5309631,3.5,3.60918723127,32.0,0.0,0.0,1957.0,,155344,13078.1249347,deck,0.2,sle3,sle3,1.0,1.0,908393.253573,OBAG,2012.0,1.0,624.678405762,0.0,624.678405762,32041.4060901,32.0,6.59221407099e-08,5.0,1.0,True,0.0,10000.0,17.0,15169410.2957,0.0,8994.0,bart1,S,-122.15750461,37.7252326461,2025.0,68084SLE3bart1NANA
2439,2439,,1000.0,1000.0,2539335.18543,2048614.92093,850.07590332,4617385.35098,13579.3325424,3.0,2.0,0,,0.0,residential,3.62866146602e+12,0.0,0.0,San Leandro,San Leandro,68084.0,2139143.80455,94.0873109946,,,-62321.6211331,3.0,3.08563921667,8.0,0.0,0.0,1919.0,,157680,4526.4441808,deck,0.2,sle3,sle3,1.0,1.0,0.0,OBAG,2012.0,1.0,607.1970738,0.0,607.1970738,9505.53277967,10.0,2.13744681155e-07,4.0,1.0,True,0.0,10000.0,17.0,4678478.98997,2.0,3544.0,brt1,M,-122.156058486,37.7316046516,2025.0,68084SLE3brt1NANA
2444,2444,,1000.0,1000.0,13250386.5018,9527227.20728,867.155303955,24577845.8492,70857.6818278,3.0,20.0,4,,0.0,residential,1.53138491095e+13,4.0,0.0,San Leandro,San Leandro,68084.0,9999611.7528,94.0873109946,,,-67672.2790255,3.0,3.08563921667,30.0,0.0,0.0,1964.0,,157930,23619.2272759,deck,0.2,sle3,sle3,1.0,1.0,1394186.46235,OBAG,2012.0,1.0,619.396645682,0.0,619.396645682,49600.3772794,50.0,4.3010755917e-08,4.0,1.0,True,0.0,10000.0,17.0,23249998.2546,20.0,16157.0,brt1,M,-122.156525823,37.7288411937,2025.0,68084SLE3brt1NANA
2448,2448,,900.0,1000.0,3750286.68461,2900070.84336,862.623394775,6919967.98131,20055.0090086,3.0,4.0,1,,0.0,residential,1.12266575825e+13,1.0,0.0,San Leandro,San Leandro,68084.0,3014670.89484,122.279263395,,,-147391.047568,3.5,3.60918723127,10.0,0.0,0.0,1945.0,,159050,5730.00257389,deck,0.2,sle3,sle3,1.0,1.0,296664.187784,OBAG,2012.0,1.0,616.159567697,0.0,616.159567697,14038.506306,14.0,1.47820586937e-07,5.0,1.0,True,0.0,10000.0,17.0,6764957.57945,4.0,4944.0,brt1,S,-122.148278485,37.7237697537,2025.0,68084SLE3brt1NANA
2461,2461,,1000.0,1000.0,64646663.8235,41453933.7937,826.845531464,134675459.913,295325.097412,3.0,0.0,20,,0.0,residential,1.1855290299e+13,20.0,0.0,San Leandro,San Leandro,68084.0,61142273.6212,53.5596534139,,,-1252070.40263,1.5,1.75651493552,207.0,0.0,0.0,1988.0,,153030,196883.398275,surface,0.0,sle3,sle3,1.0,1.0,10089855.4772,OBAG,2012.0,1.0,651.463474819,0.0,651.463474819,206727.568188,207.0,7.94982468502e-09,4.0,1.0,True,0.0,10000.0,17.0,125788937.445,0.0,73728.0,bart1,S,-122.163063622,37.7201715306,2025.0,68084SLE3bart1NANA
2464,2464,,1000.0,1000.0,1929794.64074,1587674.26075,869.901300049,3590868.1643,10319.7574371,3.0,2.0,0,,0.0,residential,1.26211043737e+13,0.0,0.0,San Leandro,San Leandro,68084.0,1670232.32024,79.9343286336,,,-9529.74627027,2.5,2.62148526281,5.0,0.0,0.0,1959.0,,153882,4127.90297485,deck,0.2,sle3,sle3,1.0,1.0,0.0,OBAG,2012.0,1.0,621.358071463,0.0,621.358071463,7223.83020599,7.0,2.7777569747e-07,4.0,1.0,True,0.0,10000.0,17.0,3600026.96098,2.0,2684.0,bart1,S,-122.158806928,37.7267053571,2025.0,68084SLE3bart1NANA
2471,2471,,1000.0,1000.0,3017563.44089,2142411.35283,856.841156006,5530636.46421,16136.7028925,3.0,4.0,1,,0.0,residential,3.63427283339e+12,1.0,0.0,San Leandro,San Leandro,68084.0,2271504.97597,79.9343286336,,,-105178.904749,2.5,2.62148526281,7.0,0.0,0.0,1968.0,,154274,6454.68115699,deck,0.2,sle3,sle3,1.0,1.0,342652.81676,OBAG,2012.0,1.0,612.029397147,0.0,612.029397147,11295.6920247,11.0,1.89069212418e-07,4.0,1.0,True,0.0,10000.0,17.0,5289068.41686,4.0,3677.0,bart1,S,-122.164187093,37.7283611663,2025.0,68084SLE3bart1NANA
2472,2472,,1000.0,1000.0,2244021.60989,1806581.99742,859.229699707,4124342.27595,12000.1155609,3.0,2.0,0,,0.0,residential,8.24468024391e+12,0.0,0.0,San Leandro,San Leandro,68084.0,1902582.9219,79.9343286336,,,-23163.9217376,2.5,2.62148526281,6.0,0.0,0.0,1942.0,,154281,4800.04622437,deck,0.2,sle3,sle3,1.0,1.0,0.0,OBAG,2012.0,1.0,613.735499791,0.0,613.735499791,8400.08089265,8.0,2.411611699e-07,4.0,1.0,True,0.0,10000.0,17.0,4146604.5318,2.0,3092.0,brt1,S,-122.163903217,37.7291694552,2025.0,68084SLE3brt1NANA
2476,2476,,900.0,1000.0,5205085.04052,3764788.27753,1036.78901672,9651508.71275,27834.6793611,3.0,0.0,2,,0.0,residential,8.44825538071e+12,2.0,0.0,San Leandro,San Leandro,68084.0,3923843.58816,122.279263395,,,-78147.9461832,3.5,3.60918723127,19.0,0.0,0.0,1957.0,,159261,7952.76553174,deck,0.2,sle3,sle3,1.0,1.0,597686.086925,OBAG,2012.0,1.0,619.185756138,0.0,619.185756138,19484.2755528,19.0,1.09541879521e-07,5.0,1.0,True,0.0,10000.0,17.0,9128928.62868,0.0,5340.0,bart1,S,-122.154050447,37.7232670353,2025.0,68084SLE3bart1NANA
2499,2499,,900.0,1000.0,4338705.59011,3382933.22021,621.862724304,8045027.98303,23201.6341717,3.0,0.0,1,,0.0,residential,96309838103.0,1.0,0.0,San Leandro,San Leandro,68084.0,3485992.01617,122.279263395,,,-81692.5867468,3.5,3.60918723127,16.0,0.0,0.0,1957.0,,159283,6629.03833478,deck,0.2,sle3,sle3,1.0,1.0,298843.043462,OBAG,2012.0,1.0,619.185756138,0.0,619.185756138,16241.1439202,16.0,1.2780046595e-07,5.0,1.0,True,0.0,10000.0,17.0,7824697.60629,0.0,8000.0,bart1,S,-122.155949195,37.7247414273,2025.0,68084SLE3bart1NANA
3288,3288,,1403.0,1403.0,2317765.69125,2361157.9466,1034.3434906,4941298.7657,11771.2833481,2.0,0.0,0,,0.0,residential,6.96184129551e+12,0.0,0.0,San Leandro,San Leandro,68084.0,2675058.83589,20.0,,,-52561.4292401,0.75,0.920241374787,6.0,0.0,0.0,1930.0,,159642,15695.0444642,surface,0.0,sle2,sle2,1.0,1.0,0.0,OBAG,2012.0,1.0,599.679578509,0.0,599.679578509,8239.89834369,6.0,2.00287431406e-07,2.0,1.0,True,0.0,10512.285848,17.0,4992824.52713,0.0,3357.0,b2,M,-122.146789987,37.7188836246,2025.0,68084SLE2b2NANA
3331,3331,,900.0,1000.0,3601134.36442,2844866.19574,871.225897217,6711019.28908,19257.4030183,3.0,2.0,1,,0.0,residential,8.28274909608e+12,1.0,0.0,San Leandro,San Leandro,68084.0,2954908.4987,122.279263395,,,-152029.730356,3.5,3.60918723127,11.0,0.0,0.0,1968.0,,152765,5502.11514809,deck,0.2,sle3,sle3,1.0,1.0,301088.331897,OBAG,2012.0,1.0,622.304212298,0.0,622.304212298,13480.1821128,13.0,1.52531034479e-07,5.0,1.0,True,0.0,10859.266454,17.0,6556042.86312,2.0,4802.0,bart1,S,-122.155790965,37.7202529106,2025.0,68084SLE3bart1NANA
