,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
550,550,True,,,,,,,2436.0,4.0,,0,,,office,1.19322683056e+13,,6.0,San Mateo County,,,,,,,,,,,0.0,2436.0,,,1186919,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.207229041,37.4736080367,2013.0,
760,760,True,,,,,,,2257.0,10.0,,0,,,retail,1.65517860359e+13,,5.0,San Mateo County,,,,,,,,,,,0.0,2257.0,,,1173057,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.215405737,37.4722572696,2012.0,
1097,1097,True,,,,,,,10000.0,8.0,,0,,,industrial,7.69254404537e+12,,10.0,San Mateo County,,,,,,,,,,,0.0,10000.0,,,1152175,,,,bel1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.270307385,37.5201148283,2015.0,
1745,1745,True,,,,,,,172199.0,12.0,,0,,,residential,1.4263981349e+13,,22.0,San Mateo County,,,,,,,,,,,0.0,8610.0,,,1059442,,,,ccg1_k,,,,,,2012.0,,,0.0,,0.0,136.0,,1.0,,False,,,,,,,,S,-122.465047763,37.6831841794,2020.0,
2050,2050,,1945.37009674,1945.37009674,1849528.17871,3272643.56642,1236.96543274,5225679.3603,8449.192228,2.0,2.0,0,,0.0,residential,9.31810400306e+12,0.0,0.0,San Mateo County,San Mateo County,81.0,3385299.4628,25.6065542164,,,-9424.55929423,1.5,1.63368178057,1.0,0.0,0.0,1950.0,,1186788,5632.79481867,surface,0.0,ccg1_l,ccg1_l,1.0,1.0,0.0,OBAG,2012.0,1.0,883.546737671,0.0,883.546737671,5914.4345596,3.0,1.9102825699e-07,4.0,1.0,True,0.0,10000.0,7.0,5234827.64151,2.0,3890.74019347,,S,-122.204218483,37.4738701082,2025.0,00081CCG1_lNANANA
3384,3384,,1000.0,1000.0,2582848.47338,3670841.97502,1126.52275085,6713221.64258,10721.6624051,3.0,0.0,0,,0.0,residential,8.07533695299e+12,0.0,0.0,San Mateo County,San Mateo County,81.0,4206925.09528,65.34,,,-78863.7942452,2.0,2.14285714286,8.0,0.0,0.0,1962.0,,1172657,5360.83120253,surface,0.0,ccg1_l,ccg1_l,1.0,1.0,0.0,OBAG,2012.0,1.0,894.480377197,0.0,894.480377197,7505.16368354,8.0,1.47280316477e-07,7.0,1.0,True,0.0,11266.2563207,7.0,6789773.56865,0.0,4792.0,,S,-122.210971108,37.477903472,2025.0,00081CCG1_lNANANA
3482,3482,,1000.0,1000.0,3611961.39911,4596212.82349,1126.52275085,9462126.49423,14993.6131138,3.0,0.0,1,,0.0,residential,1.55177733504e+13,1.0,0.0,San Mateo County,San Mateo County,81.0,5345893.47918,65.34,,,-118821.992018,2.0,2.14285714286,10.0,0.0,0.0,1970.0,,1172668,7496.80655689,surface,0.0,ccg1_l,ccg1_l,1.0,1.0,619610.377367,OBAG,2012.0,1.0,901.538772583,0.0,901.538772583,10495.5291797,10.0,1.11633869223e-07,7.0,1.0,True,0.0,11882.1992018,7.0,8957854.87829,0.0,6000.0,,S,-122.211664992,37.4774705005,2025.0,00081CCG1_lNANANA
4261,4261,,1000.0,1000.0,1196167.19546,1717451.52504,1126.52275085,3109023.07567,4965.40969472,3.0,0.0,0,,0.0,residential,1.57760826799e+13,0.0,0.0,San Mateo County,San Mateo County,81.0,1965722.00978,65.34,,,-54462.6866782,2.0,2.14285714286,3.0,0.0,0.0,1965.0,,1172766,2482.70484736,surface,0.0,ccg1_l,ccg1_l,1.0,1.0,0.0,OBAG,2012.0,1.0,894.480377197,0.0,894.480377197,3475.78678631,3.0,3.16266616282e-07,7.0,1.0,True,0.0,18154.2288927,7.0,3161889.20524,0.0,2242.0,,S,-122.21074493,37.4773805643,2025.0,00081CCG1_lNANANA
4555,4555,,,1945.37009674,1115962.21141,0.0,150.0,4488124.87128,5667.65978369,1.0,0.0,0,,0.0,residential,1.29037241266e+13,0.0,0.0,San Mateo County,,,56676.5978369,13.068,,,3315486.06204,0.5,0.686601210614,2.0,0.0,0.0,9999.0,,1179329,11335.3195674,surface,0.0,,,,,0.0,,2012.0,,931.627357483,0.0,931.627357483,4817.51081614,2.0,2.82737193746,1.0,,False,0.0,,7.0,1172638.80925,0.0,0.0,,M,-122.258115212,37.465469532,2025.0,
4567,4567,,,1000.0,6120817.71909,3676970.25879,1126.52275085,19460940.6472,32731.6455567,3.0,0.0,3,,0.0,residential,1.20156506146e+13,3.0,0.0,San Mateo County,,,4768025.11068,130.677113997,,,7756529.97925,3.0,3.17640043747,28.0,0.0,0.0,1965.0,,1172399,10910.5485189,deck,0.2,ccg1_l,,,,1042948.1579,,2012.0,,874.353546143,0.0,874.353546143,27821.8987232,28.0,0.712337398979,4.0,,False,0.0,,7.0,10888842.8298,0.0,4800.0,,S,-122.206155684,37.4808103108,2025.0,
5374,5374,,900.0,1000.0,5074347.27501,6524068.49314,1116.51557922,12512663.23,24801.3063295,3.0,0.0,1,,0.0,residential,1.58425298355e+13,1.0,0.0,San Mateo County,San Mateo County,81.0,7185436.66193,130.677113997,,,-124063.660699,3.75,3.85705767407,17.0,0.0,0.0,1965.0,,1172267,6613.68168786,deck,0.2,ccg1_l,ccg1_l,1.0,1.0,373306.065282,OBAG,2012.0,1.0,900.921958923,0.0,900.921958923,17360.9144306,17.0,8.15675060134e-08,5.0,1.0,True,0.0,10000.0,7.0,12259783.9369,0.0,8593.0,,S,-122.208853025,37.4827623262,2030.0,00081CCG1_lNANANA
5688,5688,,1000.0,1000.0,1234358.02818,1775081.12847,1116.51557922,3257783.18117,5123.94366202,3.0,0.0,0,,0.0,residential,6.55306993175e+12,0.0,0.0,San Mateo County,San Mateo County,81.0,2031278.31157,65.34,,,-8090.32397039,2.0,2.14285714286,4.0,0.0,0.0,1965.0,,1172765,2561.97183101,surface,0.0,ccg1_l,ccg1_l,1.0,1.0,0.0,OBAG,2012.0,1.0,908.280082703,0.0,908.280082703,3586.76056342,4.0,3.0621903236e-07,7.0,1.0,True,0.0,10000.0,7.0,3265636.33976,0.0,2338.0,,S,-122.21078848,37.4773196712,2030.0,00081CCG1_lNANANA
5833,5833,,1000.0,1000.0,1205559.86182,1771284.9755,1116.51557922,3191323.17932,5004.39959243,3.0,0.0,0,,0.0,residential,1.52132824296e+13,0.0,0.0,San Mateo County,San Mateo County,81.0,2021504.95512,65.34,,,-36821.0350759,2.0,2.14285714286,4.0,0.0,0.0,1965.0,,1172644,2502.19979621,surface,0.0,ccg1_l,ccg1_l,1.0,1.0,0.0,OBAG,2012.0,1.0,911.005012512,0.0,911.005012512,3503.0797147,4.0,3.09879118247e-07,7.0,1.0,True,0.0,12273.6783586,7.0,3227064.81694,0.0,2333.0,,S,-122.211827379,37.4780877528,2030.0,00081CCG1_lNANANA
5961,5961,,,1000.0,2805077.7933,3512959.95785,1116.51557922,9145102.17332,15000.416007,3.0,0.0,1,,0.0,residential,2.26475002205e+12,1.0,0.0,San Mateo County,,,4012973.82474,130.677113997,,,2015987.64439,3.0,3.17640043747,13.0,0.0,0.0,1960.0,,1171933,5000.13866899,deck,0.2,ccg1_l,,,,370160.97617,,2012.0,,896.553779602,0.0,896.553779602,12750.3536059,13.0,0.295683834228,4.0,,False,0.0,,7.0,6818051.61805,0.0,4627.0,,S,-122.208811326,37.4838687372,2030.0,
5983,5983,,,1945.37009674,241072.227693,0.0,150.0,978165.66805,1224.33838341,1.0,0.0,0,,0.0,residential,9.69532951969e+12,0.0,0.0,San Mateo County,,,61216.9191705,2.178,,,662358.990762,0.1,0.114433535102,1.0,0.0,0.0,9999.0,,1218071,12243.3838341,surface,0.0,,,,,0.0,,2012.0,,939.922454834,0.0,939.922454834,1040.6876259,1.0,2.19114380266,1.0,,False,0.0,,7.0,302289.146864,0.0,0.0,,VH,-122.272012577,37.3196026323,2030.0,
6027,6027,,,1000.0,8937533.98349,0.0,150.0,30915563.5276,47794.299377,3.0,0.0,4,,0.0,residential,8.23396840395e+12,4.0,0.0,San Mateo County,,,86898.72614,121.51443367,,,20455507.4394,2.75,2.9536809351,41.0,0.0,0.0,1969.0,,1152200,17379.745228,deck,0.2,,,,,1638153.15517,,2012.0,,951.244491577,0.0,951.244491577,40625.1544704,41.0,2.26668069867,4.0,,False,0.0,,7.0,9024432.70963,0.0,0.0,,M,-122.270463262,37.5175666627,2030.0,
6062,6062,,,1945.37009674,253622.350052,0.0,150.0,800296.506199,1288.07694287,1.0,0.0,0,,0.0,residential,1.06543185254e+12,0.0,0.0,San Mateo County,,,25761.5388574,8.712,,,510494.364944,0.25,0.457734140409,1.0,0.0,0.0,9999.0,,1153994,5152.30777149,surface,0.0,,,,,0.0,,2012.0,,730.954238892,0.0,730.954238892,1094.86540144,1.0,1.82721475794,1.0,,False,0.0,,6.0,279383.888909,0.0,0.0,,VH,-122.476294651,37.5103338662,2030.0,
