,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
57,57,True,,,,,,,200000.0,3.0,,0,,,residential,1.15673204036e+12,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1133970,,,,sma4,,,,,,2012.0,,,0.0,,0.0,197.0,,4.0,,False,,,,,,,,S,-122.313464184,37.5487231151,2014.0,
319,319,True,,,,,,,64700.0,4.0,,0,,,office,6.76269058218e+12,,182.0,San Mateo,,,,,,,,,,,0.0,64700.0,,,1137005,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.290580819,37.5433529915,2011.0,
450,450,True,,,,,,,53712.0,3.0,,0,,,residential,9.89302886329e+12,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1128747,,,,sma2,,,,,,2012.0,,,0.0,,0.0,60.0,,5.0,,False,,,,,,,,S,-122.305629136,37.550970434,2013.0,
466,466,True,,,,,,,2650.0,4.0,,0,,,office,1.03239124072e+13,,7.0,San Mateo,,,,,,,,,,,0.0,2650.0,,,1118591,,,,sma1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.325631909,37.5674704561,2012.0,
569,569,True,,,,,,,136000.0,3.0,,0,,,residential,1.23301132591e+13,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1117294,,,,,,,,,,2012.0,,,0.0,,0.0,158.0,,2.0,,False,,,,,,,,S,-122.338285654,37.5769821981,2014.0,
634,634,True,,,,,,,6000.0,11.0,,0,,,retail,1.42212302602e+13,,13.0,San Mateo,,,,,,,,,,,0.0,6000.0,,,1129520,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.280461778,37.5635453816,2011.0,
711,711,True,,,,,,,132327.0,3.0,,0,,,residential,1.57664473798e+13,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1128750,,,,sma2,,,,,,2012.0,,,0.0,,0.0,111.0,,3.0,,False,,,,,,,,S,-122.306063926,37.5494351791,2014.0,
750,750,True,,,,,,,100000.0,3.0,,0,,,residential,1.64213473911e+13,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1137125,,,,sma2,,,,,,2012.0,,,0.0,,0.0,63.0,,3.0,,False,,,,,,,,S,-122.297304423,37.5432929024,2014.0,
1054,1054,True,,,,,,,90000.0,3.0,,0,,,residential,6.85867557744e+12,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1129611,,,,,,,,,,2012.0,,,0.0,,0.0,75.0,,1.0,,False,,,,,,,,M,-122.285339046,37.5697744138,2016.0,
1170,1170,True,,,,,,,72000.0,3.0,,0,,,residential,9.89302886329e+12,,0.0,San Mateo,,,,,,,,,,,0.0,0.0,,,1128747,,,,sma2,,,,,,2012.0,,,0.0,,0.0,77.0,,5.0,,False,,,,,,,,S,-122.305629136,37.550970434,2015.0,
