,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
489,489,True,,,,,,,53000.0,4.0,,0,,,office,1.07858891933e+13,,149.0,San Pablo,,,,,,,,,,,0.0,53000.0,,,507751,,,,spa1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.338783066,37.9557843469,2012.0,
2534,2534,,1000.0,1000.0,1859031.4807,922479.94635,674.919480794,2865912.65814,8492.60612472,3.0,2.0,0,,0.0,residential,1.43286438505e+13,0.0,0.0,San Pablo,San Pablo,68294.0,1018010.36829,60.0,,,-11579.9453336,1.5,1.96772924046,4.0,0.0,0.0,1962.0,,517246,5661.73741648,surface,0.0,spa1,spa1,1.0,1.0,0.0,OBAG,2012.0,1.0,482.085343424,0.0,482.085343424,5944.8242873,6.0,3.47579233285e-07,4.0,1.0,True,0.0,10000.0,20.0,2877041.84899,2.0,2010.0,brt1,S,-122.343535748,37.9603068533,2025.0,68294SPA1brt1NANA
2545,2545,,1000.0,1000.0,12560837.5062,3608433.83225,619.848188477,17783947.8619,57381.6240574,3.0,12.0,4,,0.0,residential,1.48000945228e+13,4.0,0.0,San Pablo,San Pablo,68294.0,4201232.09432,50.0,,,-171362.351059,1.5,1.63977436705,28.0,0.0,0.0,1981.0,,492199,38254.4160382,surface,0.0,spa1,spa1,1.0,1.0,1186570.25727,OBAG,2012.0,1.0,442.748706055,0.0,442.748706055,40167.1368401,40.0,5.96585042203e-08,4.0,1.0,True,0.0,10000.0,20.0,16762069.6005,12.0,8561.0,brt1,S,-122.33042072,37.9511194053,2025.0,68294SPA1brt1NANA
2558,2558,,1000.0,1000.0,2038641.64436,870774.463028,952.082290649,3022813.01179,9313.11852154,3.0,0.0,0,,0.0,residential,9.38661463522e+12,0.0,0.0,San Pablo,San Pablo,68294.0,994949.376648,50.0,,,-11214.5401477,1.5,1.63977436705,7.0,0.0,0.0,1961.0,,504683,6208.74568102,surface,0.0,spa1,spa1,1.0,1.0,0.0,OBAG,2012.0,1.0,463.679732259,0.0,463.679732259,6519.18296508,7.0,3.29642325901e-07,4.0,1.0,True,0.0,10000.0,20.0,3033591.02101,0.0,1345.0,brt1,S,-122.347639798,37.9559984397,2025.0,68294SPA1brt1NANA
2563,2563,,1000.0,1000.0,3758316.7225,1585239.56482,679.660249023,5834578.52792,17169.1033463,3.0,3.0,1,,0.0,residential,1.59040478139e+13,1.0,0.0,San Pablo,San Pablo,68294.0,1779725.51575,60.0,,,-44563.8422843,1.5,1.96772924046,9.0,0.0,0.0,1974.0,,520164,11446.0688975,surface,0.0,spa1,spa1,1.0,1.0,339365.464708,OBAG,2012.0,1.0,485.471606445,0.0,485.471606445,12018.3723424,12.0,1.80569225907e-07,4.0,1.0,True,0.0,10000.0,20.0,5538042.23825,3.0,3429.99999999,brt1,S,-122.343024989,37.9612806149,2025.0,68294SPA1brt1NANA
3314,3314,,1000.0,1000.0,4347884.60322,1960059.5752,514.7215271,6678434.07606,19862.4239526,3.0,0.0,1,,0.0,residential,1.21783503766e+13,1.0,0.0,San Pablo,San Pablo,68294.0,2130453.19501,60.0,,,-139565.359608,1.5,1.96772924046,14.0,0.0,0.0,1980.0,,517149,13241.6159684,surface,0.0,spa1,spa1,1.0,1.0,334228.994168,OBAG,2012.0,1.0,480.335135905,0.0,480.335135905,13903.6967668,14.0,1.54360583092e-07,4.0,1.0,True,0.0,10735.796893,20.0,6478337.79823,0.0,5600.0,brt1,S,-122.34336355,37.9600471335,2025.0,68294SPA1brt1NANA
4727,4727,,,,,,,,1862.62370431,10.0,,0,,,retail,,,4.0,San Pablo,,,,,,,,,,4.0,0.0,1862.62370431,,,504683,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.347639798,37.9559984397,2025.0,
5510,5510,,1000.0,1000.0,2974448.48468,988796.803477,540.964637756,4005888.66767,13588.1611909,3.0,0.0,0,,0.0,residential,8.62997114535e+12,0.0,0.0,San Pablo,San Pablo,68294.0,1111308.71508,54.1736247321,,,-83103.367384,1.5,1.77665042411,10.0,0.0,0.0,1973.0,,485477,9058.77412724,surface,0.0,wcc1_c,wcc1_c,1.0,1.0,0.0,OBAG,2012.0,1.0,421.153238932,0.0,421.153238932,9511.7128336,10.0,2.44752674011e-07,4.0,1.0,True,0.0,10000.0,20.0,4085757.19976,0.0,2688.0,brt1,S,-122.331117938,37.9488785881,2030.0,68294WCC1_cbrt1NANA
6052,6052,,,1432.0,1023148.28705,0.0,655.573242188,2068259.24622,5196.28383469,2.0,0.0,0,,0.0,residential,1.45611413773e+13,0.0,0.0,San Pablo,,,113551.488028,24.0,,,931559.471142,0.75,0.928212607357,3.0,0.0,0.0,1960.0,,515430,6928.37844625,surface,0.0,,,,,0.0,,2012.0,,468.266601562,0.0,468.266601562,4416.84125948,3.0,0.819529915961,2.0,,False,0.0,,20.0,1136699.77508,0.0,0.0,,M,-122.327980929,37.9597176842,2030.0,
6575,6575,,,1104.0,390698.09327,0.0,703.947873535,848060.75658,1984.24628375,2.0,0.0,0,,0.0,residential,8.31462722813e+12,0.0,0.0,San Pablo,,,69840.2976007,24.0,,,395272.813023,0.5,0.715605250365,2.0,0.0,0.0,1950.0,,491128,3968.49256749,surface,0.0,,,,,0.0,,2012.0,,502.819909668,0.0,502.819909668,1686.60934118,2.0,0.858284175346,1.0,,False,0.0,,20.0,460538.39087,0.0,0.0,,S,-122.35657112,37.9505675823,2030.0,
