,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
111,111,True,,,,,,,120000.0,3.0,,0,,,residential,2.36189663927e+12,,0.0,San Ramon,,,,,,,,,,,0.0,0.0,,,502346,,,,sar2,,,,,,2012.0,,,0.0,,0.0,129.0,,3.0,,False,,,,,,,,M,-121.963228588,37.7764833593,2014.0,
123,123,True,,,,,,,2686800.0,12.0,,0,,,residential,2.66474893936e+12,,5483.0,San Ramon,,,,,,,,,,,0.0,2100000.0,,,435105,,,,sar1,,,,,,2012.0,,,0.0,,0.0,489.0,,1.0,,False,,,,,,,,M,-121.956740878,37.7641969162,2014.0,
577,577,True,,,,,,,293000.0,3.0,,0,,,residential,1.2463018554e+13,,0.0,San Ramon,,,,,,,,,,,0.0,0.0,,,460349,,,,,,,,,,2012.0,,,0.0,,0.0,293.0,,3.0,,False,,,,,,,,MH,-121.899200453,37.7691817598,2012.0,
915,915,True,,,,,,,17408.0,8.0,,0,,,industrial,2.36189663927e+12,,18.0,San Ramon,,,,,,,,,,,0.0,17408.0,,,502346,,,,sar2,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-121.963228588,37.7764833593,2015.0,
916,916,True,,,,,,,150000.0,3.0,,0,,,residential,2.36189663927e+12,,0.0,San Ramon,,,,,,,,,,,0.0,0.0,,,502346,,,,sar2,,,,,,2012.0,,,0.0,,0.0,125.0,,1.0,,False,,,,,,,,M,-121.963228588,37.7764833593,2015.0,
1462,1462,True,,,,,,,17000.0,10.0,,0,,,retail,1.68387780436e+13,,38.0,San Ramon,,,,,,,,,,,0.0,17000.0,,,535558,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.980912652,37.7844713918,2015.0,
2526,2526,,2281.0,2281.0,63434817.728,53130162.5589,768.204978943,126885075.983,339223.624214,3.0,0.0,10,,0.0,residential,1.74804869079e+13,10.0,0.0,San Ramon,San Ramon,68378.0,55736095.3298,35.0,,,-1035814.10469,2.5,2.61822773186,104.0,0.0,0.0,1985.0,,515100,135689.449685,deck,0.2,sar2,sar2,1.0,1.0,8734669.93533,OBAG,2012.0,1.0,667.938423665,0.0,667.938423665,237456.53695,104.0,8.39130937526e-09,4.0,1.0,True,0.0,10000.0,23.0,119170913.058,0.0,101708.0,b2,MH,-121.970485378,37.7802207539,2025.0,68378SAR2b2NANA
2557,2557,,2372.0,2372.0,10087289.4113,8902378.32184,980.654144287,20214158.4536,53942.7241246,3.0,0.0,1,,0.0,residential,1.00292979978e+13,1.0,0.0,San Ramon,San Ramon,68378.0,9333920.11483,35.0,,,-134118.724952,2.5,2.72268135904,16.0,0.0,0.0,1983.0,,503868,21577.0896498,deck,0.2,sar2,sar2,1.0,1.0,924424.983653,OBAG,2012.0,1.0,669.167382813,0.0,669.167382813,37759.9068872,16.0,5.14900989382e-08,4.0,1.0,True,0.0,10000.0,23.0,19421209.5261,0.0,13350.0,b2,M,-121.971507404,37.7774296904,2025.0,68378SAR2b2NANA
3822,3822,,1000.0,1000.0,130625963.319,128060683.844,984.188842773,273245917.235,596738.069068,3.0,0.0,41,,0.0,residential,4.15560042534e+12,41.0,0.0,San Ramon,San Ramon,68378.0,136017191.432,50.0,,,-6116744.12283,1.5,1.63977436705,418.0,0.0,0.0,2000.0,,729277,397825.379378,surface,0.0,sar1,sar1,1.0,1.0,12658944.7842,OBAG,2012.0,1.0,654.141792806,0.0,654.141792806,417716.648347,418.0,3.75033066548e-09,4.0,1.0,True,0.0,14668.4511339,23.0,266643154.75,0.0,191350.0,,M,-121.961888568,37.7620480882,2025.0,68378SAR1NANANA
5954,5954,,,2500.0,1236227.88787,0.0,150.0,5707046.57635,6278.4554996,1.0,0.0,0,,0.0,residential,1.15035987701e+13,0.0,0.0,San Ramon,,,41856.3699973,12.0,,,4428962.31848,0.75,0.810241451953,2.0,0.0,0.0,9999.0,,440924,8371.27399947,surface,0.0,,,,,0.0,,2012.0,,1069.39874674,0.0,1069.39874674,5336.68717466,2.0,3.46531325397,2.0,,False,0.0,,23.0,1278084.25787,0.0,0.0,,M,-121.921786491,37.7667138432,2030.0,
