,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
62,62,True,,,,,,,6500.0,4.0,,0,,,office,1.18388755935e+12,,18.0,Santa Clara County,,,,,,,,,,,0.0,6500.0,,,1628162,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-121.820746504,37.3585594522,2011.0,
224,224,True,,,,,,,237600.0,3.0,,0,,,residential,4.80033322934e+12,,0.0,Santa Clara County,,,,,,,,,,,0.0,0.0,,,1577912,,,,vta1_i,,,,,,2012.0,,,0.0,,0.0,198.0,,1.0,,False,,,,,,,,S,-121.85170261,37.3001640279,2013.0,
353,353,True,,,,,,,103200.0,1.0,,0,,,residential,7.67771928135e+12,,0.0,Santa Clara County,,,,,,,,,,,0.0,0.0,,,1543351,,,,,,,,,,2012.0,,,0.0,,0.0,86.0,,1.0,,False,,,,,,,,S,-121.845656948,37.2526161096,2011.0,
630,630,True,,,,,,,219000.0,4.0,,0,,,office,1.41129034269e+13,,616.0,Santa Clara County,,,,,,,,,,,0.0,219000.0,,,2048931,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,S,-121.816644076,37.2785556747,2014.0,
1069,1069,True,,,,,,,44400.0,1.0,,0,,,residential,7.1185696504e+12,,0.0,Santa Clara County,,,,,,,,,,,0.0,0.0,,,1704994,,,,,,,,,,2012.0,,,0.0,,0.0,37.0,,1.0,,False,,,,,,,,M,-121.638793851,37.0999995028,2015.0,
1091,1091,True,,,,,,,51600.0,2.0,,0,,,residential,7.56515360423e+12,,0.0,Santa Clara County,,,,,,,,,,,0.0,0.0,,,1702302,,,,,,,,,,2012.0,,,0.0,,0.0,43.0,,1.0,,False,,,,,,,,M,-121.649822743,37.1078192057,2015.0,
1354,1354,True,,,,,,,95578.0,4.0,,0,,,office,1.41129034269e+13,,269.0,Santa Clara County,,,,,,,,,,,0.0,95578.0,,,2048931,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-121.816644076,37.2785556747,2015.0,
1825,1825,,1000.0,1000.0,3106162.61258,1554039.37585,789.140892029,4766278.20319,16610.4952544,3.0,0.0,0,,0.0,residential,1.0673252183e+13,0.0,0.0,Santa Clara County,Santa Clara County,85.0,1673203.20351,87.12,,,-13617.6873937,2.75,2.85714285714,12.0,0.0,0.0,1958.0,,1408002,6040.18009252,deck,0.2,sjo7,sjo7,1.0,1.0,0.0,OBAG,2012.0,1.0,512.399597168,0.0,512.399597168,11627.3466781,12.0,2.09232780766e-07,4.0,1.0,True,0.0,10000.0,11.0,4779365.81609,0.0,2896.0,lrt2,S,-121.932231001,37.3196937352,2025.0,00085SJO7lrt2NANA
1884,1884,,1000.0,1000.0,2739631.3832,1411982.84752,933.23387146,4236816.37038,14650.4352043,3.0,0.0,0,,0.0,residential,4.80479808465e+12,0.0,0.0,Santa Clara County,Santa Clara County,85.0,1518531.46719,87.12,,,-22211.0551399,2.75,2.85714285714,10.0,0.0,0.0,1942.0,,1408012,5327.43098337,deck,0.2,sjo7,sjo7,1.0,1.0,0.0,OBAG,2012.0,1.0,516.417663574,0.0,516.417663574,10255.304643,10.0,2.34843061465e-07,4.0,1.0,True,0.0,10000.0,11.0,4258162.85038,0.0,2225.0,lrt2,S,-121.932234267,37.3182994831,2025.0,00085SJO7lrt2NANA
2268,2268,,1000.0,1000.0,4639614.20442,2398010.68497,940.396347046,7039875.86538,24810.7711466,3.0,0.0,0,,0.0,residential,8.92603004407e+11,0.0,0.0,Santa Clara County,Santa Clara County,85.0,2550692.35356,99.540586499,,,-156523.436515,3.25,3.26448204444,17.0,0.0,0.0,1954.0,,1403809,7634.08342974,deck,0.2,sjo7,sjo7,1.0,1.0,0.0,OBAG,2012.0,1.0,506.683441162,0.0,506.683441162,17367.5398026,17.0,1.39076128665e-07,5.0,1.0,True,0.0,10000.0,11.0,7190306.55798,0.0,3750.0,lrt2,S,-121.930024279,37.3236990032,2025.0,00085SJO7lrt2NANA
2425,2425,,1285.2,1285.2,1425255.45072,786805.819341,715.121990967,2328075.64082,6510.98881095,2.0,2.0,0,,0.0,residential,4.88809977794e+12,0.0,0.0,Santa Clara County,Santa Clara County,85.0,903209.601383,30.492,,,-405.183210534,1.0,1.2852,2.0,0.0,0.0,1924.0,,1407143,6510.98881095,surface,0.0,sjo7,sjo7,1.0,1.0,0.0,OBAG,2012.0,1.0,510.801422119,0.0,510.801422119,4557.69216766,4.0,4.29467472187e-07,2.0,1.0,True,0.0,10000.0,11.0,2328465.0521,2.0,1618.0,lrt2,S,-121.925211899,37.3224450936,2025.0,00085SJO7lrt2NANA
4256,4256,,1000.0,1000.0,6972329.77031,3836817.09595,940.396347046,10627595.4446,37285.1859375,3.0,0.0,0,,0.0,residential,8.0399182384e+11,0.0,0.0,Santa Clara County,Santa Clara County,85.0,4107982.08458,87.12,,,-471052.330376,2.75,2.85714285714,26.0,0.0,0.0,1948.0,,1406756,13558.2494318,deck,0.2,sjo7,sjo7,1.0,1.0,0.0,OBAG,2012.0,1.0,508.991668701,0.0,508.991668701,26099.6301563,26.0,9.02501674227e-08,4.0,1.0,True,0.0,18117.3973222,11.0,11080311.8549,0.0,6000.0,lrt2,S,-121.93225068,37.3209112466,2025.0,00085SJO7lrt2NANA
6140,6140,,,2398.0,197389863.753,0.0,150.0,388183025.004,1002487.88092,1.0,0.0,0,,0.0,residential,6.06678064008e+12,0.0,0.0,Santa Clara County,,,20049757.6184,5.5,,,169889686.615,0.25,0.356209150327,355.0,0.0,0.0,1939.0,,1718860,4009951.52368,surface,0.0,,,,,0.0,,2012.0,,455.55255127,0.0,455.55255127,852114.698781,355.0,0.781318903809,1.0,,False,0.0,,14.0,217439621.371,0.0,0.0,,MH,-121.600097338,37.1213471467,2030.0,
6172,6172,,,2500.0,39297869.4236,0.0,150.0,74848713.3751,199582.881786,1.0,0.0,0,,0.0,residential,5.58101364394e+12,0.0,0.0,Santa Clara County,,,3991657.63571,5.5,,,31559186.3158,0.25,0.371360665478,68.0,0.0,0.0,9999.0,,1696260,798331.527142,surface,0.0,,,,,0.0,,2012.0,,441.206726074,0.0,441.206726074,169645.449518,68.0,0.729025897478,1.0,,False,0.0,,14.0,43289527.0593,0.0,0.0,,M,-121.629893567,37.14400765,2030.0,
6230,6230,,,1357.0,3641667.38594,1138960.77153,593.530230713,5994987.0495,16636.2146457,2.0,2.0,0,,0.0,residential,3.36645839418e+12,0.0,0.0,Santa Clara County,,,1385813.17945,30.492,,,996725.179939,1.0,1.11752941176,8.0,0.0,0.0,1954.0,,1626295,16636.2146457,surface,0.0,,,,,0.0,,2012.0,,423.950164795,0.0,423.950164795,14140.7824488,10.0,0.198255401881,2.0,,False,0.0,,12.0,5027480.56538,2.0,2822.0,,S,-121.821872442,37.3675059675,2030.0,
6247,6247,,,2079.8,15277585.5304,0.0,150.0,40123564.7307,77590.5816676,1.0,0.0,0,,0.0,residential,3.65729418107e+12,0.0,0.0,Santa Clara County,,,1551811.63335,5.5,,,23760050.9183,0.25,0.308942364825,32.0,0.0,0.0,1985.0,,1720702,310362.32667,surface,0.0,,,,,0.0,,2012.0,,608.375305176,0.0,608.375305176,65951.9944175,32.0,1.41181830146,1.0,,False,0.0,,14.0,16829397.1637,0.0,0.0,,S,-121.628793942,37.1058536447,2030.0,
6587,6587,,,2500.0,74199686.2126,0.0,150.0,171158736.526,338966.131625,1.0,0.0,0,,0.0,residential,6.80796650454e+12,0.0,0.0,Santa Clara County,,,1694830.65812,15.02068966,,,94787898.5567,1.0,1.01419878329,115.0,0.0,0.0,9999.0,,1459581,338966.131625,surface,0.0,,,,,0.0,,2012.0,,594.051147461,0.0,594.051147461,288121.211881,115.0,1.24894264388,2.0,,False,0.0,,8.0,75894516.8707,0.0,0.0,,MH,-122.08125117,37.3230235119,2030.0,
6601,6601,,,1000.0,362434232.842,0.0,150.0,855126371.882,1504500.75899,3.0,0.0,0,,0.0,residential,1.22889984464e+13,0.0,0.0,Santa Clara County,,,3761251.89748,75.0,,,493820196.014,2.0,2.02560362988,1279.0,0.0,0.0,9999.0,,1320027,752250.379497,surface,0.0,mvw2,,,,0.0,,2012.0,,668.680969238,0.0,668.680969238,1278825.64514,1279.0,1.34851525099,6.0,,False,0.0,,8.0,366195484.739,0.0,0.0,,M,-122.072826651,37.4022935199,2030.0,
6764,6764,,,1844.36755876,31719561.7731,0.0,150.0,65419566.003,161094.777923,1.0,0.0,0,,0.0,residential,1.34771782152e+12,0.0,0.0,Santa Clara County,,,3221895.55847,5.5,,,30325718.128,0.25,0.273970225603,74.0,0.0,0.0,1944.0,,1693108,644379.111693,surface,0.0,,,,,0.0,,2012.0,,477.757232666,0.0,477.757232666,136930.561235,74.0,0.867900781592,1.0,,False,0.0,,14.0,34941457.3316,0.0,0.0,,MH,-121.723137377,37.1943938458,2030.0,
6897,6897,,,1844.36755876,48842420.9675,0.0,150.0,121488724.511,248056.988154,1.0,0.0,0,,0.0,residential,1.686232764e+13,0.0,0.0,Santa Clara County,,,4961139.76308,5.5,,,67346737.9615,0.25,0.273970225603,114.0,0.0,0.0,1944.0,,1693094,992227.952615,surface,0.0,,,,,0.0,,2012.0,,576.189819336,0.0,576.189819336,210848.439931,114.0,1.25171525912,1.0,,False,0.0,,14.0,53803560.7306,0.0,0.0,,MH,-121.722198683,37.195854617,2030.0,
6902,6902,,,1000.0,207739621.92,0.0,150.0,542076800.391,1110907.06909,3.0,0.0,0,,0.0,residential,4.23949589757e+12,0.0,0.0,Santa Clara County,,,1851511.78182,130.68,,,329160810.022,3.0,3.17647058824,944.0,0.0,0.0,9999.0,,1724107,370302.356364,deck,0.2,,,,,0.0,,2012.0,,717.586364746,0.0,717.586364746,944271.008728,944.0,1.5704901453,4.0,,False,0.0,,14.0,209591133.702,0.0,0.0,,H,-121.536900645,36.9990088608,2030.0,
7291,7291,,1614.8,1614.8,15232841.0115,10126174.96,759.767028809,26403397.3804,69588.1270513,2.0,0.0,0,,0.0,residential,1451705738.0,0.0,0.0,Santa Clara County,Santa Clara County,85.0,11447944.0732,20.0,,,-288622.461099,1.0,1.05916305916,30.0,0.0,0.0,1959.0,,1411341,69588.1270513,surface,0.0,sjo14,sjo14,1.0,1.0,0.0,OBAG,2012.0,1.0,542.034118652,0.0,542.034118652,48711.6889359,30.0,3.74801564805e-08,2.0,1.0,True,0.0,10000.0,11.0,26680785.0847,0.0,19600.0,b2,S,-121.9333319,37.3119142537,2035.0,00085SJO14b2NANA
8168,8168,,,1844.36755876,3182440.91711,1294365.61289,686.185595703,6056853.58291,14538.3321933,2.0,2.0,0,,0.0,residential,1.23709109901e+12,0.0,0.0,Santa Clara County,,,1460632.18183,30.492,,,1456476.6546,1.5,1.51889093074,5.0,0.0,0.0,1961.0,,1501717,9692.22146218,surface,0.0,,,,,0.0,,2012.0,,490.132568359,0.0,490.132568359,12357.5823643,7.0,0.3136880733,4.0,,False,0.0,,10.0,4643073.09894,2.0,2774.0,,S,-121.941451183,37.2708423301,2035.0,
8254,8254,,,1844.36755876,3656506.35466,2012004.71784,723.430432129,7336826.26248,16704.0034475,2.0,2.0,0,,0.0,residential,8.69757424872e+12,0.0,0.0,Santa Clara County,,,2213407.79171,30.492,,,1511212.86202,1.5,1.51889093074,6.0,0.0,0.0,1960.0,,1501319,11136.0022984,surface,0.0,,,,,0.0,,2012.0,,516.736022949,0.0,516.736022949,14198.4029304,8.0,0.257450590304,4.0,,False,0.0,,10.0,5869914.14637,2.0,4090.0,,S,-121.942741055,37.2730299183,2035.0,
8662,8662,,,2398.0,12018907.6103,0.0,150.0,24490942.8024,61040.6684117,1.0,0.0,0,,0.0,residential,1.50527570332e+13,0.0,0.0,Santa Clara County,,,1220813.36823,5.5,,,11194965.7148,0.25,0.356209150327,22.0,0.0,0.0,9999.0,,1718701,244162.673647,surface,0.0,,,,,0.0,,2012.0,,472.027496338,0.0,472.027496338,51884.5681499,22.0,0.84555903655,1.0,,False,0.0,,14.0,13239720.9785,0.0,0.0,,MH,-121.621945721,37.1146832729,2035.0,
8713,8713,,,2500.0,32875924.5189,1016497.03202,714.213366699,72402093.245,166967.620716,1.0,1.0,0,,0.0,residential,2.26771838156e+12,0.0,0.0,Santa Clara County,,,12941547.6841,5.5,,,26451697.9367,0.25,0.371360665478,56.0,0.0,0.0,1992.0,,1700657,667870.482863,surface,0.0,,,,,0.0,,2012.0,,510.152404785,0.0,510.152404785,141922.477608,57.0,0.577327745614,1.0,,False,0.0,,14.0,45817472.203,1.0,2093.0,,MH,-121.672946588,37.1303372279,2035.0,
