,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
6,6,True,,,,,,,37744.0,7.0,,0,,,industrial,93140175930.0,,57.0,Santa Clara,,,,,,,,,,,0.0,37744.0,,,1293192,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.980950133,37.3975988832,2012.0,
47,47,True,,,,,,,53352.0,3.0,,0,,,residential,9.5236772236e+11,,0.0,Santa Clara,,,,,,,,,,,0.0,0.0,,,1400332,,,,scl1,,,,,,2012.0,,,0.0,,0.0,40.0,,3.0,,False,,,,,,,,S,-121.952102459,37.3523780109,2012.0,
58,58,True,,,,,,,152333.0,4.0,,0,,,office,1.1751885285e+12,,429.0,Santa Clara,,,,,,,,,,,0.0,152333.0,,,1293165,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,6.0,,False,,,,,,,,M,-121.976312767,37.4116208233,2013.0,
59,59,True,,,,,,,149608.0,4.0,,0,,,office,1.1751885285e+12,,421.0,Santa Clara,,,,,,,,,,,0.0,149608.0,,,1293165,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,M,-121.976312767,37.4116208233,2013.0,
60,60,True,,,,,,,150000.0,4.0,,0,,,office,1.1751885285e+12,,422.0,Santa Clara,,,,,,,,,,,0.0,150000.0,,,1293165,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,5.0,,False,,,,,,,,M,-121.976312767,37.4116208233,2013.0,
61,61,True,,,,,,,911115.0,4.0,,0,,,office,1.1751885285e+12,,2566.0,Santa Clara,,,,,,,,,,,0.0,911115.0,,,1293165,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.976312767,37.4116208233,2014.0,
103,103,True,,,,,,,163545.0,10.0,,0,,,retail,2.22134777444e+12,,367.0,Santa Clara,,,,,,,,,,,0.0,163545.0,,,1418060,,,,scl1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.961363744,37.3504069716,2014.0,
104,104,True,,,,,,,283917.0,10.0,,0,,,retail,2.22134777444e+12,,638.0,Santa Clara,,,,,,,,,,,0.0,283917.0,,,1418060,,,,scl1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.961363744,37.3504069716,2014.0,
136,136,True,,,,,,,156889.0,4.0,,0,,,office,2.9355886588e+12,,441.0,Santa Clara,,,,,,,,,,,0.0,156889.0,,,1365315,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-121.980184059,37.3814377577,2013.0,
142,142,True,,,,,,,20219.0,4.0,,0,,,office,3.07620431319e+12,,56.0,Santa Clara,,,,,,,,,,,0.0,20219.0,,,1368806,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,MH,-121.9599862,37.3682589099,2014.0,
