,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
92,92,True,,,,,,,5000.0,3.0,,0,,,residential,1.88110816367e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,2038736,,,,,,,,,,2012.0,,,0.0,,0.0,5.0,,1.0,,False,,,,,,,,M,-122.722341494,38.4871242029,2013.0,
228,228,True,,,,,,,6000.0,10.0,,0,,,retail,4.94344297409e+12,,13.0,Santa Rosa,,,,,,,,,,,0.0,6000.0,,,2040355,,,,sro2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.718304745,38.4602795983,2012.0,
380,380,True,,,,,,,10000.0,10.0,,0,,,retail,8.25954784455e+12,,22.0,Santa Rosa,,,,,,,,,,,0.0,10000.0,,,1886015,,,,sro1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.714608563,38.438712633,2013.0,
416,416,True,,,,,,,50000.0,3.0,,0,,,residential,9.23630131344e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1884005,,,,sro1,,,,,,2012.0,,,0.0,,0.0,51.0,,5.0,,False,,,,,,,,S,-122.714138265,38.4426456603,2013.0,
487,487,True,,,,,,,4400.0,10.0,,0,,,retail,1.07667625958e+13,,9.0,Santa Rosa,,,,,,,,,,,0.0,4400.0,,,2041111,,,,sro2,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.716735962,38.4541501844,2013.0,
612,612,True,,,,,,,150000.0,11.0,,0,,,retail,1.3623180928e+13,,337.0,Santa Rosa,,,,,,,,,,,0.0,150000.0,,,1889073,,,,sro4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.730367595,38.4573617975,2014.0,
819,819,True,,,,,,,87600.0,1.0,,0,,,residential,1.69610042353e+11,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1886116,,,,sro1,,,,,,2012.0,,,0.0,,0.0,73.0,,1.0,,False,,,,,,,,S,-122.723955253,38.4403379804,2015.0,
851,851,True,,,,,,,25558.0,7.0,,0,,,industrial,1.05862491091e+12,,38.0,Santa Rosa,,,,,,,,,,,0.0,25558.0,,,1894747,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.739701061,38.474255015,2015.0,
852,852,True,,,,,,,5600.0,7.0,,0,,,industrial,1.11010434977e+12,,8.0,Santa Rosa,,,,,,,,,,,0.0,5600.0,,,1987651,,,,sro3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.739618477,38.426616243,2015.0,
865,865,True,,,,,,,112800.0,1.0,,0,,,residential,1.40700778535e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1928151,,,,,,,,,,2012.0,,,0.0,,0.0,94.0,,1.0,,False,,,,,,,,S,-122.700127637,38.4175594625,2015.0,
869,869,True,,,,,,,57600.0,1.0,,0,,,residential,1.59282448111e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1925973,,,,sro5,,,,,,2012.0,,,0.0,,0.0,48.0,,1.0,,False,,,,,,,,M,-122.730786216,38.4026195158,2015.0,
876,876,True,,,,,,,9504.0,3.0,,0,,,residential,1.73982068976e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1923540,,,,,,,,,,2012.0,,,0.0,,0.0,10.0,,2.0,,False,,,,,,,,S,-122.692872291,38.4277484137,2015.0,
892,892,True,,,,,,,36000.0,3.0,,0,,,residential,2.03526536679e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1928874,,,,,,,,,,2012.0,,,0.0,,0.0,30.0,,1.0,,False,,,,,,,,S,-122.690777518,38.4174054959,2015.0,
902,902,True,,,,,,,49500.0,10.0,,0,,,retail,2.24614006762e+12,,111.0,Santa Rosa,,,,,,,,,,,0.0,49500.0,,,1889063,,,,sro4,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.727444423,38.4560508784,2015.0,
903,903,True,,,,,,,2240.0,10.0,,0,,,retail,2.24614006762e+12,,5.0,Santa Rosa,,,,,,,,,,,0.0,2240.0,,,1889063,,,,sro4,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.727444423,38.4560508784,2015.0,
981,981,True,,,,,,,166800.0,2.0,,0,,,residential,4.46628480868e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1885693,,,,,,,,,,2012.0,,,0.0,,0.0,139.0,,1.0,,False,,,,,,,,S,-122.698969002,38.4323149574,2015.0,
1006,1006,True,,,,,,,36000.0,1.0,,0,,,residential,5.21590737902e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1926949,,,,,,,,,,2012.0,,,0.0,,0.0,30.0,,1.0,,False,,,,,,,,S,-122.696621878,38.4216939481,2015.0,
1013,1013,True,,,,,,,43200.0,2.0,,0,,,residential,5.43816121324e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,2038552,,,,,,,,,,2012.0,,,0.0,,0.0,36.0,,1.0,,False,,,,,,,,M,-122.709679297,38.4939067479,2015.0,
1025,1025,True,,,,,,,6835.0,7.0,,0,,,industrial,6.05421763409e+12,,10.0,Santa Rosa,,,,,,,,,,,0.0,6835.0,,,1887412,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.729553301,38.4419723994,2015.0,
1028,1028,True,,,,,,,38400.0,2.0,,0,,,residential,6.11281353525e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1925865,,,,sro5,,,,,,2012.0,,,0.0,,0.0,32.0,,1.0,,False,,,,,,,,M,-122.727695662,38.4095340559,2015.0,
1063,1063,True,,,,,,,72000.0,2.0,,0,,,residential,7.05942384549e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1926830,,,,sro5,,,,,,2012.0,,,0.0,,0.0,60.0,,1.0,,False,,,,,,,,M,-122.728103959,38.4102554002,2015.0,
1072,1072,True,,,,,,,39600.0,2.0,,0,,,residential,7.19104685334e+12,,0.0,Santa Rosa,,,,,,,,,,,0.0,0.0,,,1923258,,,,,,,,,,2012.0,,,0.0,,0.0,33.0,,1.0,,False,,,,,,,,S,-122.70443391,38.4254238797,2015.0,
