,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
282,282,True,,,,,,,10000.0,10.0,,0,,,retail,6.07493061873e+12,,22.0,Sebastopol,,,,,,,,,,,0.0,10000.0,,,1871496,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.820975897,38.4036220338,2013.0,
513,513,True,,,,,,,4000.0,10.0,,0,,,retail,1.11297938156e+13,,8.0,Sebastopol,,,,,,,,,,,0.0,4000.0,,,1871495,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.820126692,38.4041351781,2013.0,
514,514,True,,,,,,,9600.0,10.0,,0,,,retail,1.11297938156e+13,,21.0,Sebastopol,,,,,,,,,,,0.0,9600.0,,,1871495,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.820126692,38.4041351781,2013.0,
515,515,True,,,,,,,35555.0,10.0,,0,,,retail,1.11297938156e+13,,79.0,Sebastopol,,,,,,,,,,,0.0,35555.0,,,1871495,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.820126692,38.4041351781,2013.0,
516,516,True,,,,,,,4000.0,10.0,,0,,,retail,1.11297938156e+13,,8.0,Sebastopol,,,,,,,,,,,0.0,4000.0,,,1871495,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.820126692,38.4041351781,2013.0,
517,517,True,,,,,,,1820.0,10.0,,0,,,retail,1.11297938156e+13,,4.0,Sebastopol,,,,,,,,,,,0.0,1820.0,,,1871495,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.820126692,38.4041351781,2013.0,
652,652,True,,,,,,,6350.0,10.0,,0,,,retail,1.4442792482e+13,,14.0,Sebastopol,,,,,,,,,,,0.0,6350.0,,,1871481,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.819362859,38.4051210204,2013.0,
653,653,True,,,,,,,10290.0,10.0,,0,,,retail,1.4442792482e+13,,23.0,Sebastopol,,,,,,,,,,,0.0,10290.0,,,1871481,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.819362859,38.4051210204,2013.0,
735,735,True,,,,,,,1760.0,10.0,,0,,,retail,1.61073159634e+13,,3.0,Sebastopol,,,,,,,,,,,0.0,1760.0,,,1871645,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.821875631,38.40358906,2013.0,
742,742,True,,,,,,,4000.0,10.0,,0,,,retail,1.63189969342e+13,,8.0,Sebastopol,,,,,,,,,,,0.0,4000.0,,,1871466,,,,seb1,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.819569478,38.4034025927,2013.0,
