,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
187,187,True,,,,,,,12750.0,8.0,,0,,,industrial,4.05022110859e+12,,13.0,Solano County,,,,,,,,,,,0.0,12750.0,,,1740037,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,H,-121.86546991,38.2253992706,2013.0,
3272,3272,,1708.0,1708.0,188365775.516,0.0,150.0,232148780.389,956657.062044,1.0,0.0,0,ubz_np,0.0,residential,1.70869193651e+13,0.0,0.0,Solano County,Solano County,95.0,47832853.1022,2.0,,,-4090346.71161,0.1,0.112029384757,392.0,0.0,0.0,9999.0,,1841559,9566570.62044,surface,0.0,fai2,fai2,1.0,1.0,0.0,OBAG,2012.0,1.0,346.666666667,0.0,346.666666667,669659.943431,392.0,4.2337248351e-09,1.0,1.0,True,0.0,10434.5579378,26.0,236198628.619,0.0,0.0,,M,-121.940360942,38.3047963206,2025.0,00095FAI2NAubz_npNA
3548,3548,,1999.0,1999.0,5064676.79369,0.0,150.0,6241890.47876,25722.0761487,1.0,0.0,0,ubz,0.0,residential,1.35141903831e+12,0.0,0.0,Solano County,Solano County,95.0,1286103.80744,2.0,,,-112178.604058,0.1,0.131116358389,9.0,0.0,0.0,9999.0,,1841589,257220.761487,surface,0.0,fai2,fai2,1.0,1.0,0.0,OBAG,2012.0,1.0,346.666666667,0.0,346.666666667,18005.4533041,9.0,1.57460958394e-07,1.0,1.0,True,0.0,12464.2893398,26.0,6350780.60112,0.0,0.0,,S,-121.93813057,38.2882911343,2025.0,00095FAI2NAubzNA
3552,3552,,1999.0,1999.0,19713000.0411,0.0,150.0,24295012.7475,100116.810773,1.0,0.0,0,ubz,0.0,residential,1.03701782294e+12,0.0,0.0,Solano County,Solano County,95.0,5005840.53863,2.0,,,-436627.432805,0.1,0.131116358389,35.0,0.0,0.0,9999.0,,1841577,1001168.10773,surface,0.0,fai2,fai2,1.0,1.0,0.0,OBAG,2012.0,1.0,346.666666667,0.0,346.666666667,70081.7675408,35.0,4.04549718573e-08,1.0,1.0,True,0.0,12475.0695087,26.0,24718840.5798,0.0,0.0,,S,-121.939730772,38.2877985875,2025.0,00095FAI2NAubzNA
5879,5879,,1999.0,1999.0,3495073.96008,0.0,150.0,4307455.29531,17750.5025906,1.0,0.0,0,ubz,0.0,residential,1.21482987387e+12,0.0,0.0,Solano County,Solano County,95.0,887525.129528,2.0,,,-77413.1368879,0.1,0.131116358389,6.0,0.0,0.0,9999.0,,1841590,177505.025906,surface,0.0,fai2,fai2,1.0,1.0,0.0,OBAG,2012.0,1.0,346.666666667,0.0,346.666666667,12425.3518134,6.0,2.28175103301e-07,1.0,1.0,True,0.0,12902.1894813,26.0,4382599.08961,0.0,0.0,,S,-121.9444173,38.2914615921,2030.0,00095FAI2NAubzNA
5947,5947,,,1999.0,149573747.606,0.0,150.0,599012932.076,759643.207751,1.0,0.0,0,,0.0,residential,1.5035953168e+13,0.0,0.0,Solano County,,,37982160.3875,2.0,,,423883026.21,0.1,0.107978177497,323.0,0.0,0.0,9999.0,,1841583,7596432.07751,surface,0.0,fai2,,,,0.0,,2012.0,,927.70012207,0.0,927.70012207,645696.726588,323.0,2.26003558483,1.0,,False,0.0,,26.0,187555907.994,0.0,0.0,,S,-121.956284306,38.2973077378,2030.0,
5991,5991,,,1999.0,411443.989882,0.0,150.0,1620838.99849,2089.60888716,1.0,0.0,0,,0.0,residential,5.18423984981e+12,0.0,0.0,Solano County,,,104480.444358,2.0,,,1138282.98409,0.1,0.107978177497,1.0,0.0,0.0,9999.0,,1841658,20896.0888716,surface,0.0,fai2,,,,0.0,,2012.0,,912.54847819,0.0,912.54847819,1776.16755409,1.0,2.20629787727,1.0,,False,0.0,,26.0,515924.434241,0.0,0.0,,S,-121.978666218,38.288483449,2030.0,
5998,5998,,,1620.0,119891596.053,0.0,150.0,422625626.773,608895.866189,1.0,0.0,0,,0.0,residential,7.26388701725e+12,0.0,0.0,Solano County,,,6088958.66189,15.1216405641,,,296645072.058,0.5,0.661617720355,319.0,0.0,0.0,9999.0,,1855476,1217791.73238,surface,0.0,,,,,0.0,,2012.0,,816.570857747,0.0,816.570857747,517561.48626,319.0,2.35468936242,1.0,,False,0.0,,26.0,125980554.714,0.0,0.0,,M,-121.981087239,38.2664313758,2030.0,
6064,6064,,,1743.0,862830401.766,0.0,150.0,2250917239.0,4382074.15828,1.0,0.0,0,,0.0,residential,1.2863149497e+13,0.0,0.0,Solano County,,,29213827.7219,17.424,,,1358873009.52,0.75,0.820235294118,2137.0,0.0,0.0,9999.0,,1796956,5842765.54438,surface,0.0,,,,,0.0,,2012.0,,604.311527507,0.0,604.311527507,3724763.03454,2137.0,1.52332470139,2.0,,False,0.0,,26.0,892044229.488,0.0,0.0,,M,-121.900132319,38.4065389872,2030.0,
6277,6277,,,2356.0,2251555.14716,1256821.15613,812.067840983,5637935.13069,11435.0185229,1.0,1.0,0,,0.0,residential,1.22903517765e+13,0.0,0.0,Solano County,,,2171622.63796,4.0,,,1208683.55884,0.25,0.254523848107,3.0,0.0,0.0,1981.0,,1832566,45740.0740916,surface,0.0,,,,,0.0,,2012.0,,580.048457845,0.0,580.048457845,9719.76574447,4.0,0.273261355875,1.0,,False,0.0,,26.0,4423177.78512,1.0,2276.0,,MH,-122.173683245,38.2635960496,2030.0,
