,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
188,188,True,,,,,,,469920.0,10.0,,0,,,retail,4.07876101147e+12,,1056.0,Sonoma County,,,,,,,,,,,0.0,469920.0,,,1929292,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.723383337,38.3607808088,2013.0,
199,199,True,,,,,,,9829.0,10.0,,0,,,retail,4.27258242441e+12,,22.0,Sonoma County,,,,,,,,,,,0.0,9829.0,,,1987563,,,,sro3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.738276983,38.4278534865,2014.0,
452,452,True,,,,,,,10000.0,10.0,,0,,,retail,9.92457947893e+12,,22.0,Sonoma County,,,,,,,,,,,0.0,10000.0,,,1987655,,,,sro3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.737730843,38.4271719277,2013.0,
625,625,True,,,,,,,30000.0,7.0,,0,,,industrial,1.40149423962e+13,,45.0,Sonoma County,,,,,,,,,,,0.0,30000.0,,,1993336,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,H,-122.435995074,38.2540703083,2011.0,
688,688,True,,,,,,,80000.0,4.0,,0,,,office,1.51639568965e+13,,225.0,Sonoma County,,,,,,,,,,,0.0,80000.0,,,1946388,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.751912291,38.4951186228,2014.0,
702,702,True,,,,,,,69620.0,4.0,,0,,,office,1.53789791465e+13,,196.0,Sonoma County,,,,,,,,,,,0.0,69620.0,,,1948354,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.797286353,38.5103060885,2011.0,
1027,1027,True,,,,,,,68400.0,1.0,,0,,,residential,6.07877803802e+12,,0.0,Sonoma County,,,,,,,,,,,0.0,0.0,,,1910293,,,,,,,,,,2012.0,,,0.0,,0.0,57.0,,1.0,,False,,,,,,,,M,-122.772435638,38.4640196517,2015.0,
1096,1096,True,,,,,,,70000.0,7.0,,0,,,industrial,7.67894307922e+12,,105.0,Sonoma County,,,,,,,,,,,0.0,70000.0,,,1948347,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.799374103,38.5041592196,2015.0,
1100,1100,True,,,,,,,128000.0,4.0,,0,,,office,8.07359931908e+12,,360.0,Sonoma County,,,,,,,,,,,0.0,128000.0,,,1948331,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.782724755,38.512611491,2015.0,
1245,1245,True,,,,,,,57600.0,1.0,,0,,,residential,1.13963682995e+13,,0.0,Sonoma County,,,,,,,,,,,0.0,0.0,,,1997336,,,,,,,,,,2012.0,,,0.0,,0.0,48.0,,1.0,,False,,,,,,,,M,-122.729880551,38.4014595839,2015.0,
