,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
455,455,True,,,,,,,18691.0,4.0,,0,,,office,9.945576144e+12,,52.0,Sonoma,,,,,,,,,,,0.0,18691.0,,,1990298,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.474565472,38.2986685065,2012.0,
6084,6084,,,1816.0,6629833.89149,0.0,150.0,16299304.8568,33671.0710589,1.0,0.0,0,,0.0,residential,8.5152498245e+12,0.0,0.0,Sonoma,,,673421.421177,5.0,,,8951069.29644,0.25,0.245233079458,16.0,0.0,0.0,9999.0,,1902041,134684.284235,surface,0.0,,,,,0.0,,2012.0,,569.49934082,0.0,569.49934082,28620.4104,16.0,1.22562732826,1.0,,False,0.0,,29.0,7303255.31267,0.0,0.0,,MH,-122.473716264,38.288891562,2030.0,
6732,6732,,,1816.0,802600.172073,0.0,150.0,1945751.51472,4076.18167635,1.0,0.0,0,,0.0,residential,1.60331987891e+13,0.0,0.0,Sonoma,,,40761.8167635,11.0,,,1096877.57825,0.5,0.539512774807,2.0,0.0,0.0,9999.0,,1902168,8152.3633527,surface,0.0,,,,,0.0,,2012.0,,561.584249878,0.0,561.584249878,3464.7544249,2.0,1.30060115676,1.0,,False,0.0,,29.0,843361.988837,0.0,0.0,,MH,-122.461690318,38.2864702092,2030.0,
6890,6890,,,1816.0,1198587.68074,1206359.61742,510.520362854,2931016.08107,6087.29142074,2.0,0.0,0,,0.0,residential,3.12925158682e+12,0.0,0.0,Sonoma,,,1309949.15825,20.0,,,420366.845863,0.75,0.980932317831,3.0,0.0,0.0,1973.0,,1900632,8116.38856099,surface,0.0,,,,,0.0,,2012.0,,566.467739868,0.0,566.467739868,5174.19770763,3.0,0.167574515681,2.0,,False,0.0,,29.0,2508536.839,0.0,3475.0,,MH,-122.458433965,38.2903449616,2030.0,
8573,8573,,,1696.0,38689667.6793,441455.977854,737.727235718,88010804.432,196493.995324,2.0,2.0,0,,0.0,residential,9.21665656456e+12,0.0,0.0,Sonoma,,,5273421.71137,20.0,,,44047715.0413,0.75,0.916113001674,96.0,0.0,0.0,1910.0,,1990116,261991.993765,surface,0.0,,,,,0.0,,2012.0,,526.948025513,0.0,526.948025513,167019.896025,98.0,1.00192492502,2.0,,False,0.0,,29.0,43963089.3907,2.0,880.0,,M,-122.476405067,38.2969825739,2035.0,
8810,8810,,,1816.0,3923780.642,0.0,150.0,10104077.6315,19927.7838598,1.0,0.0,0,,0.0,residential,1.61203206847e+13,0.0,0.0,Sonoma,,,199277.838598,11.0,,,5951114.05517,0.5,0.539512774807,9.0,0.0,0.0,9999.0,,1902479,39855.5677196,surface,0.0,,,,,0.0,,2012.0,,596.511395264,0.0,596.511395264,16938.6162808,9.0,1.44337367107,1.0,,False,0.0,,29.0,4123058.4806,0.0,0.0,,MH,-122.463905493,38.2865683469,2035.0,
10926,10926,,,1816.0,1091924.90079,0.0,150.0,2993754.02104,5545.5810096,1.0,0.0,0,,0.0,residential,9.91987376731e+12,0.0,0.0,Sonoma,,,55455.810096,11.0,,,1837141.44361,0.5,0.539512774807,3.0,0.0,0.0,9999.0,,1993044,11091.1620192,surface,0.0,,,,,0.0,,2012.0,,635.111730957,0.0,635.111730957,4713.74385816,3.0,1.60116117186,1.0,,False,0.0,,29.0,1147380.71089,0.0,0.0,,MH,-122.463937445,38.281072329,2040.0,
11072,11072,,,1696.0,2118683.54618,0.0,150.0,5622302.17124,10760.200844,1.0,0.0,0,,0.0,residential,7.72330100029e+11,0.0,0.0,Sonoma,,,107602.00844,11.0,,,3396016.61663,0.5,0.503862150921,5.0,0.0,0.0,9999.0,,1991585,21520.4016879,surface,0.0,,,,,0.0,,2012.0,,614.716513062,0.0,614.716513062,9146.17071736,5.0,1.52541825086,1.0,,False,0.0,,29.0,2226285.55461,0.0,0.0,,M,-122.471409703,38.2954166087,2040.0,
11327,11327,,,1696.0,1267029.25199,0.0,150.0,3404435.84379,6434.88700856,1.0,0.0,0,,0.0,residential,9.68560089612e+12,0.0,0.0,Sonoma,,,42899.2467237,20.0,,,2094507.34508,0.75,0.916113001674,3.0,0.0,0.0,9999.0,,1900551,8579.84934475,surface,0.0,,,,,0.0,,2012.0,,622.422528076,0.0,622.422528076,5469.65395728,3.0,1.59894784116,2.0,,False,0.0,,29.0,1309928.49871,0.0,0.0,,M,-122.461707408,38.2926609393,2040.0,
11659,11659,,,1816.0,854799.0341,0.0,496.822265625,2293452.02027,4341.28508939,1.0,0.0,0,,0.0,residential,1.64742582835e+13,0.0,0.0,Sonoma,,,71894.9031277,20.0,,,1359924.29263,0.75,0.980932317831,2.0,0.0,0.0,1967.0,,1900630,5788.38011918,surface,0.0,,,,,0.0,,2012.0,,621.516162109,0.0,621.516162109,3690.09232598,2.0,1.46750101408,2.0,,False,0.0,,29.0,926693.937228,0.0,0.0,,MH,-122.458985129,38.2903303089,2040.0,
11665,11665,,,1696.0,293789416.592,0.0,150.0,811178612.364,1492074.23358,1.0,0.0,0,,0.0,residential,4.17135545774e+12,0.0,0.0,Sonoma,,,14920742.3358,11.0,,,502468453.436,0.5,0.503862150921,748.0,0.0,0.0,9999.0,,1989746,2984148.46716,surface,0.0,,,,,0.0,,2012.0,,639.59805603,0.0,639.59805603,1268263.09854,748.0,1.62763821955,1.0,,False,0.0,,29.0,308710158.928,0.0,0.0,,M,-122.454852376,38.3037296347,2040.0,
11680,11680,,,1696.0,1266776.77495,0.0,150.0,2998901.77306,6433.60474836,1.0,0.0,0,,0.0,residential,7.68008360716e+12,0.0,0.0,Sonoma,,,42890.6983224,20.0,,,1689234.29979,0.75,0.916113001674,3.0,0.0,0.0,9999.0,,1901646,8578.13966448,surface,0.0,,,,,0.0,,2012.0,,548.389257812,0.0,548.389257812,5468.5640361,3.0,1.28981923599,2.0,,False,0.0,,29.0,1309667.47327,0.0,0.0,,M,-122.474249148,38.2939021806,2040.0,
12099,12099,,,1696.0,12796450.2296,180068.261953,496.822265625,35327747.6585,64989.58979,1.0,0.0,0,,0.0,residential,6.24972587325e+12,0.0,0.0,Sonoma,,,1794482.02403,11.0,,,20736815.4049,0.5,0.503862150921,33.0,0.0,0.0,1959.0,,1900150,129979.17958,surface,0.0,,,,,0.0,,2012.0,,639.518670654,0.0,639.518670654,55241.1513215,33.0,1.4212125068,1.0,,False,0.0,,29.0,14590932.2537,0.0,533.0,,M,-122.45392529,38.2993614076,2040.0,
12109,12109,,,1816.0,14629519.683,0.0,150.0,40706228.5457,74299.236582,1.0,0.0,0,,0.0,residential,1.78503265292e+12,0.0,0.0,Sonoma,,,495328.24388,20.0,,,25453473.7157,0.75,0.980932317831,35.0,0.0,0.0,9999.0,,1992089,99065.648776,surface,0.0,,,,,0.0,,2012.0,,644.551449585,0.0,644.551449585,63154.3510947,35.0,1.68289121575,2.0,,False,0.0,,29.0,15124847.9269,0.0,0.0,,MH,-122.462044669,38.2764131143,2040.0,
