,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
399,399,True,,,,,,,150000.0,3.0,,0,,,residential,8.6698589363e+12,,0.0,South San Francisco,,,,,,,,,,,0.0,0.0,,,1078859,,,,ccg1_c,,,,,,2012.0,,,0.0,,0.0,109.0,,5.0,,False,,,,,,,,S,-122.42893231,37.6495799859,2012.0,
491,491,True,,,,,,,107000.0,4.0,,0,,,office,1.08185783321e+13,,301.0,South San Francisco,,,,,,,,,,,0.0,107000.0,,,1079820,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,S,-122.393835548,37.6535717256,2014.0,
497,497,True,,,,,,,170618.0,4.0,,0,,,office,1.09587725207e+13,,480.0,South San Francisco,,,,,,,,,,,0.0,170618.0,,,1079823,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.39399128,37.6547655328,2012.0,
556,556,True,,,,,,,9240.0,10.0,,0,,,retail,1.20463722751e+13,,20.0,South San Francisco,,,,,,,,,,,0.0,9240.0,,,1080186,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.409064484,37.6372694995,2014.0,
703,703,True,,,,,,,7000.0,10.0,,0,,,retail,1.54571452129e+13,,15.0,South San Francisco,,,,,,,,,,,0.0,7000.0,,,1225858,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.452220916,37.6450550585,2012.0,
949,949,True,,,,,,,255199.0,4.0,,0,,,office,3.2066338474e+12,,718.0,South San Francisco,,,,,,,,,,,0.0,255199.0,,,1080286,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,7.0,,False,,,,,,,,S,-122.382666373,37.655641221,2016.0,
994,994,True,,,,,,,153047.0,4.0,,0,,,office,4.76651761522e+12,,431.0,South San Francisco,,,,,,,,,,,0.0,153047.0,,,1079698,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.395396253,37.663822715,2016.0,
1192,1192,True,,,,,,,140053.0,4.0,,0,,,office,1.03259616742e+13,,394.0,South San Francisco,,,,,,,,,,,0.0,140053.0,,,1079697,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,S,-122.394514307,37.6636125766,2016.0,
1472,1472,True,,,,,,,225000.0,4.0,,0,,,office,1.70693511342e+13,,633.0,South San Francisco,,,,,,,,,,,0.0,225000.0,,,1080279,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,7.0,,False,,,,,,,,S,-122.381632982,37.6572994704,2015.0,
1988,1988,,1945.37009674,1945.37009674,2365947.08396,2241681.21396,920.835201263,4660208.25506,12652.1234436,3.0,2.0,0,,0.0,residential,2.27353295719e+12,0.0,0.0,South San Francisco,South San Francisco,73262.0,2326028.70358,49.4423574724,,,-33054.1810868,3.0,3.15439078246,3.0,0.0,0.0,1956.0,,1073202,4217.37448122,deck,0.2,ssf1,ssf1,1.0,1.0,0.0,OBAG,2012.0,1.0,657.739429474,0.0,657.739429474,8856.48641055,5.0,2.13129829582e-07,4.0,1.0,True,0.0,10000.0,5.0,4691975.78754,2.0,3580.0,b2,S,-122.408657089,37.6623574622,2025.0,73262SSF1b2NANA
