,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
1,1,True,,,,,,,53974.0,3.0,,0,,,residential,26691245770.0,,0.0,Sunnyvale,,,,,,,,,,,0.0,0.0,,,1355686,,,,,,,,,,2012.0,,,0.0,,0.0,36.0,,3.0,,False,,,,,,,,M,-122.0163179,37.3836266999,2013.0,
8,8,True,,,,,,,99750.0,3.0,,0,,,residential,1.02594599428e+11,,0.0,Sunnyvale,,,,,,,,,,,0.0,0.0,,,1356545,,,,sun2,,,,,,2012.0,,,0.0,,0.0,133.0,,5.0,,False,,,,,,,,S,-122.032471769,37.3775122804,2014.0,
18,18,True,,,,,,,126000.0,3.0,,0,,,residential,1.8905615947e+11,,0.0,Sunnyvale,,,,,,,,,,,0.0,0.0,,,1329149,,,,sun2,,,,,,2012.0,,,0.0,,0.0,105.0,,1.0,,False,,,,,,,,S,-122.03571699,37.3740138758,2013.0,
51,51,True,,,,,,,45000.0,10.0,,0,,,retail,1.00630962114e+12,,101.0,Sunnyvale,,,,,,,,,,,0.0,45000.0,,,1355664,,,,sun6,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.997438857,37.3811363622,2014.0,
91,91,True,,,,,,,80400.0,3.0,,0,,,residential,1.87581476683e+12,,0.0,Sunnyvale,,,,,,,,,,,0.0,0.0,,,1356467,,,,sun2,,,,,,2012.0,,,0.0,,0.0,67.0,,1.0,,False,,,,,,,,S,-122.026303824,37.3761405878,2012.0,
97,97,True,,,,,,,12520.0,10.0,,0,,,retail,2.07616996022e+12,,28.0,Sunnyvale,,,,,,,,,,,0.0,12520.0,,,1355676,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.008135052,37.3813770946,2013.0,
110,110,True,,,,,,,107155.0,4.0,,0,,,office,2.35651705285e+12,,301.0,Sunnyvale,,,,,,,,,,,0.0,107155.0,,,1355655,,,,sun6,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-121.99936282,37.3819602954,2013.0,
119,119,True,,,,,,,155000.0,4.0,,0,,,office,2.62182172746e+12,,436.0,Sunnyvale,,,,,,,,,,,0.0,155000.0,,,1356091,,,,sun1,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.003940407,37.3729343406,2013.0,
146,146,True,,,,,,,4400.0,10.0,,0,,,retail,3.17107619076e+12,,9.0,Sunnyvale,,,,,,,,,,,0.0,4400.0,,,1349750,,,,sun3,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.038401245,37.3689351109,2013.0,
185,185,True,,,,,,,102000.0,3.0,,0,,,residential,4.02896409886e+12,,0.0,Sunnyvale,,,,,,,,,,,0.0,0.0,,,1355708,,,,,,,,,,2012.0,,,0.0,,0.0,85.0,,1.0,,False,,,,,,,,M,-122.017513896,37.3820755916,2013.0,
189,189,True,,,,,,,357481.0,4.0,,0,,,office,4.09153146548e+12,,1006.0,Sunnyvale,,,,,,,,,,,0.0,357481.0,,,2050468,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,8.0,,False,,,,,,,,S,-122.036029777,37.4097387909,2013.0,
203,203,True,,,,,,,71715.0,4.0,,0,,,office,4.3892095851e+12,,202.0,Sunnyvale,,,,,,,,,,,0.0,71715.0,,,1330325,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,3.0,,False,,,,,,,,M,-122.036251328,37.3863731111,2013.0,
