,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
162,162,True,,,,,,,6876.0,10.0,,0,,,retail,3.42865764039e+12,,15.0,Union City,,,,,,,,,,,0.0,6876.0,,,295648,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,M,-122.070629046,37.5890574813,2011.0,
307,307,True,,,,,,,333974.0,8.0,,0,,,industrial,6.40148169908e+12,,347.0,Union City,,,,,,,,,,,0.0,333974.0,,,290932,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.043877933,37.6031749484,2014.0,
542,542,True,,,,,,,142983.0,3.0,,0,,,residential,1.17631339116e+13,,0.0,Union City,,,,,,,,,,,0.0,0.0,,,203564,,,,uni1,,,,,,2012.0,,,0.0,,0.0,156.0,,4.0,,False,,,,,,,,M,-122.016847862,37.5923175296,2011.0,
543,543,True,,,,,,,197000.0,12.0,,0,,,residential,1.17631339116e+13,,22.0,Union City,,,,,,,,,,,0.0,8600.0,,,203564,,,,uni1,,,,,,2012.0,,,0.0,,0.0,157.0,,1.0,,False,,,,,,,,M,-122.016847862,37.5923175296,2012.0,
655,655,True,,,,,,,17500.0,11.0,,0,,,retail,1.44918582722e+13,,39.0,Union City,,,,,,,,,,,0.0,17500.0,,,287179,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.063973442,37.6016791436,2012.0,
987,987,True,,,,,,,99514.0,8.0,,0,,,industrial,4.60285505923e+12,,103.0,Union City,,,,,,,,,,,0.0,99514.0,,,290888,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.036967931,37.5947525618,2015.0,
988,988,True,,,,,,,55476.0,8.0,,0,,,industrial,4.60285505923e+12,,57.0,Union City,,,,,,,,,,,0.0,55476.0,,,290888,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.036967931,37.5947525618,2015.0,
989,989,True,,,,,,,51584.0,8.0,,0,,,industrial,4.60285505923e+12,,53.0,Union City,,,,,,,,,,,0.0,51584.0,,,290888,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.036967931,37.5947525618,2015.0,
990,990,True,,,,,,,94046.0,8.0,,0,,,industrial,4.60285505923e+12,,97.0,Union City,,,,,,,,,,,0.0,94046.0,,,290888,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.036967931,37.5947525618,2015.0,
1257,1257,True,,,,,,,294600.0,12.0,,0,,,residential,1.17631339116e+13,,7.0,Union City,,,,,,,,,,,0.0,3000.0,,,203564,,,,uni1,,,,,,2012.0,,,0.0,,0.0,243.0,,1.0,,False,,,,,,,,M,-122.016847862,37.5923175296,2015.0,
6237,6237,,,1914.0,1137044.37394,0.0,150.0,4633480.35311,5774.73018761,2.0,2.0,0,,0.0,residential,1.73503858924e+13,0.0,0.0,Union City,,,38498.2012507,17.0,,,3492517.1557,0.75,0.878787878788,1.0,0.0,0.0,1975.0,,202594,7699.64025014,surface,0.0,,,,,0.0,,2012.0,,943.966761998,0.0,943.966761998,4908.52065947,3.0,2.97098312678,2.0,,False,0.0,,16.0,1175542.57519,2.0,0.0,,M,-122.019026364,37.5852249911,2030.0,
6345,6345,,,1000.0,336936356.465,0.0,150.0,1106046086.68,1398656.52331,3.0,0.0,118,,0.0,residential,1.70971975885e+13,118.0,0.0,Union City,,,3496641.30827,87.12,,,695385262.241,2.0,2.35294117647,1189.0,0.0,0.0,1984.0,,203610,699328.261654,surface,0.0,uni1,,,,83929663.5162,,2012.0,,930.343274798,0.0,930.343274798,1188858.04481,1189.0,2.04264941057,6.0,,False,0.0,,16.0,340432997.773,0.0,0.0,,M,-122.014914011,37.5938041373,2030.0,
6549,6549,,,1914.0,1300209.08976,0.0,150.0,5365441.54826,6603.39811963,1.0,2.0,0,,0.0,residential,1.49130467611e+13,0.0,0.0,Union City,,,44022.6541309,17.0,,,4061421.90242,0.75,0.878787878788,1.0,0.0,0.0,1975.0,,203283,8804.53082618,surface,0.0,,,,,0.0,,2012.0,,955.914524623,0.0,955.914524623,5612.88840169,3.0,3.02137032613,2.0,,False,0.0,,16.0,1344231.74389,2.0,0.0,,M,-122.017840729,37.5858618654,2030.0,
6714,6714,,,1000.0,64357654.262,0.0,150.0,206663307.283,267155.061279,3.0,0.0,22,,0.0,residential,7.35380090413e+12,22.0,0.0,Union City,,,667887.653197,87.12,,,128976941.429,2.0,2.35294117647,227.0,0.0,0.0,9999.0,,203622,133577.530639,surface,0.0,uni1,,,,15202179.2202,,2012.0,,910.083086286,0.0,910.083086286,227081.802087,227.0,1.98348122338,6.0,,False,0.0,,16.0,65025541.9152,0.0,0.0,,M,-122.012410774,37.5918677333,2030.0,
8137,8137,,,1000.0,335446039.507,0.0,150.0,1116437780.92,1392470.06852,3.0,0.0,118,,0.0,residential,2.83144449612e+11,118.0,0.0,Union City,,,3481175.17131,87.12,,,705041300.527,2.0,2.35294117647,1184.0,0.0,0.0,9999.0,,205590,696235.034261,surface,0.0,uni1,,,,86361364.6632,,2012.0,,943.256334577,0.0,943.256334577,1183599.55824,1184.0,2.08021448262,6.0,,False,0.0,,16.0,338927214.678,0.0,0.0,,M,-122.012209364,37.5881121539,2035.0,
8735,8735,,,1914.0,1140404.04166,0.0,150.0,4866440.48001,5791.79299982,2.0,2.0,0,,0.0,residential,6.72459492432e+12,0.0,0.0,Union City,,,38611.9533321,17.0,,,3724298.72986,0.75,0.878787878788,1.0,0.0,0.0,1975.0,,203280,7722.39066642,surface,0.0,,,,,0.0,,2012.0,,988.506338937,0.0,988.506338937,4923.02404984,3.0,3.15881951192,2.0,,False,0.0,,16.0,1179015.995,2.0,0.0,,M,-122.018500552,37.5860536845,2035.0,
9097,9097,,,1914.0,581254.903369,0.0,1418.61833496,2542596.07387,2952.0309973,1.0,0.0,0,,0.0,residential,4.03440201564e+12,0.0,0.0,Union City,,,118081.239892,10.0,,,1861692.52992,0.5,0.516934046346,1.0,0.0,0.0,2001.0,,203590,5904.0619946,surface,0.0,,,,,0.0,,2012.0,,1013.29881069,0.0,1013.29881069,2509.22634771,1.0,2.66208539035,1.0,,False,0.0,,16.0,699336.143261,0.0,0.0,,M,-122.011911545,37.5861756893,2035.0,
9126,9126,,,1914.0,1281447.44816,0.0,150.0,5476936.81435,6508.11299216,1.0,2.0,0,,0.0,residential,1.62413942127e+13,0.0,0.0,Union City,,,43387.4199477,17.0,,,4193622.96571,0.75,0.878787878788,1.0,0.0,0.0,1975.0,,203298,8677.48398955,surface,0.0,,,,,0.0,,2012.0,,990.065028599,0.0,990.065028599,5531.89604334,3.0,3.1653929608,2.0,,False,0.0,,16.0,1324834.8681,2.0,0.0,,M,-122.017340754,37.5857224293,2035.0,
9335,9335,,,1914.0,1253493.47474,0.0,150.0,5357352.91571,6366.14258376,1.0,2.0,0,,0.0,residential,1.420560569e+13,0.0,0.0,Union City,,,42440.9505584,17.0,,,4102032.67532,0.75,0.878787878788,1.0,0.0,0.0,1975.0,,203337,8488.19011168,surface,0.0,,,,,0.0,,2012.0,,990.045078823,0.0,990.045078823,5411.22119619,3.0,3.16530882677,2.0,,False,0.0,,16.0,1295934.4253,2.0,0.0,,M,-122.018561495,37.5831099204,2035.0,
10643,10643,,,1805.0,65871114.5843,6597128.03181,1205.47451172,244848934.326,334540.957767,1.0,0.0,15,,0.0,residential,1.7085221866e+13,15.0,0.0,Union City,,,33360404.6532,6.0,,,126657816.177,0.25,0.292497164155,158.0,0.0,0.0,1979.0,,292199,1338163.83107,surface,0.0,,,,,20213636.6962,,2012.0,,861.053222656,0.0,861.053222656,284359.814102,158.0,1.27638694993,1.0,,False,0.0,,16.0,99231519.2375,0.0,8048.0,,M,-122.061388172,37.6024435887,2040.0,
