,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
201,201,True,,,,,,,7200.0,11.0,,0,,,retail,4.37377628758e+12,,16.0,Vacaville,,,,,,,,,,,0.0,7200.0,,,1810704,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.963040691,38.3685531192,2011.0,
202,202,True,,,,,,,7200.0,11.0,,0,,,retail,4.37377628758e+12,,16.0,Vacaville,,,,,,,,,,,0.0,7200.0,,,1810704,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.963040691,38.3685531192,2013.0,
229,229,True,,,,,,,12000.0,10.0,,0,,,retail,4.9704441583e+12,,26.0,Vacaville,,,,,,,,,,,0.0,12000.0,,,1813368,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.97672058,38.3494549709,2013.0,
247,247,True,,,,,,,11600.0,10.0,,0,,,retail,5.16774564373e+12,,26.0,Vacaville,,,,,,,,,,,0.0,11600.0,,,1809260,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.988425427,38.3489537688,2013.0,
317,317,True,,,,,,,20982.0,10.0,,0,,,retail,6.60601477006e+12,,47.0,Vacaville,,,,,,,,,,,0.0,20982.0,,,1808855,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.017779759,38.3368209542,2013.0,
332,332,True,,,,,,,4541.0,10.0,,0,,,retail,7.08958205316e+12,,10.0,Vacaville,,,,,,,,,,,0.0,4541.0,,,1809262,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.987847395,38.3487109143,2013.0,
336,336,True,,,,,,,8065.0,11.0,,0,,,retail,7.149824812e+12,,18.0,Vacaville,,,,,,,,,,,0.0,8065.0,,,1810710,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.961099167,38.3678948796,2013.0,
337,337,True,,,,,,,7335.0,11.0,,0,,,retail,7.149824812e+12,,16.0,Vacaville,,,,,,,,,,,0.0,7335.0,,,1810710,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.961099167,38.3678948796,2014.0,
421,421,True,,,,,,,135000.0,3.0,,0,,,residential,9.26909710237e+12,,0.0,Vacaville,,,,,,,,,,,0.0,0.0,,,1817843,,,,,,,,,,2012.0,,,0.0,,0.0,222.0,,3.0,,False,,,,,,,,M,-121.929107049,38.3936585679,2014.0,
541,541,True,,,,,,,21716.0,10.0,,0,,,retail,1.17153535688e+13,,48.0,Vacaville,,,,,,,,,,,0.0,21716.0,,,1817899,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.938200091,38.3839721093,2014.0,
604,604,True,,,,,,,8907.0,10.0,,0,,,retail,1.34654221372e+13,,20.0,Vacaville,,,,,,,,,,,0.0,8907.0,,,1817898,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.936589538,38.3849776865,2014.0,
649,649,True,,,,,,,35000.0,3.0,,0,,,residential,1.43858510165e+13,,0.0,Vacaville,,,,,,,,,,,0.0,0.0,,,1821319,,,,,,,,,,2012.0,,,0.0,,0.0,37.0,,1.0,,False,,,,,,,,S,-121.946644733,38.3744648033,2014.0,
663,663,True,,,,,,,5009.0,10.0,,0,,,retail,1.46886846045e+13,,11.0,Vacaville,,,,,,,,,,,0.0,5009.0,,,1815072,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.957014972,38.3682911005,2012.0,
708,708,True,,,,,,,40000.0,11.0,,0,,,retail,1.57389284188e+13,,89.0,Vacaville,,,,,,,,,,,0.0,40000.0,,,1810701,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.965514246,38.3686668834,2013.0,
801,801,True,,,,,,,8758.0,11.0,,0,,,retail,1.73284515314e+13,,19.0,Vacaville,,,,,,,,,,,0.0,8758.0,,,1810709,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.962641986,38.3669725476,2013.0,
802,802,True,,,,,,,6408.0,11.0,,0,,,retail,1.73284515314e+13,,14.0,Vacaville,,,,,,,,,,,0.0,6408.0,,,1810709,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.962641986,38.3669725476,2014.0,
853,853,True,,,,,,,4373.0,10.0,,0,,,retail,1.14263120157e+12,,9.0,Vacaville,,,,,,,,,,,0.0,4373.0,,,1817911,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.931141451,38.3866505368,2015.0,
1222,1222,True,,,,,,,6968.0,10.0,,0,,,retail,1.06797392902e+13,,15.0,Vacaville,,,,,,,,,,,0.0,6968.0,,,1817896,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.934294552,38.3850983863,2015.0,
1468,1468,True,,,,,,,6511.0,11.0,,0,,,retail,1.70192394772e+13,,14.0,Vacaville,,,,,,,,,,,0.0,6511.0,,,1810711,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.959320733,38.3693149218,2015.0,
1469,1469,True,,,,,,,28655.0,11.0,,0,,,retail,1.70192394772e+13,,64.0,Vacaville,,,,,,,,,,,0.0,28655.0,,,1810711,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.959320733,38.3693149218,2016.0,
