,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
151,151,True,,,,,,,3800.0,10.0,,0,,,retail,3.31290812208e+12,,8.0,Vallejo,,,,,,,,,,,0.0,3800.0,,,1772679,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.215091917,38.1358922753,2011.0,
2547,2547,,900.0,1000.0,12131616.5749,7492259.84334,813.177273763,21101935.5994,64874.9549461,3.0,8.0,5,,0.0,residential,1.93839212954e+12,5.0,0.0,Vallejo,Vallejo,81666.0,7964077.69749,100.0,,,-118971.057055,2.75,2.95159386068,37.0,0.0,0.0,1995.0,,1747622,23590.8927077,deck,0.2,val1,val1,1.0,1.0,1120581.38312,OBAG,2012.0,1.0,580.840909831,0.0,580.840909831,45412.4684623,45.0,4.97619035423e-08,4.0,1.0,True,0.0,10000.0,25.0,20095694.2724,8.0,13549.3569937,b1,S,-122.258703237,38.1019179597,2025.0,81666VAL1b1NANA
2555,2555,,1000.0,1000.0,35001631.0392,16362289.7351,862.258682251,55681545.8948,145295.27206,3.0,0.0,10,,0.0,residential,3.55318450497e+12,10.0,0.0,Vallejo,Vallejo,81666.0,17815242.4557,64.545767918,,,-696255.986427,2.0,2.11680991466,102.0,0.0,0.0,1965.0,,1741161,72647.63603,surface,0.0,val2,val2,1.0,1.0,3533826.31443,OBAG,2012.0,1.0,547.471809896,0.0,547.471809896,101706.690442,102.0,1.89333433395e-08,7.0,1.0,True,0.0,10000.0,25.0,52816873.4949,0.0,27906.0,b2,S,-122.255439271,38.1184887888,2025.0,81666VAL2b2NANA
2610,2610,,1472.0,1472.0,5185508.619,2377308.89896,859.612121582,8382903.50802,21525.5650436,3.0,0.0,1,,0.0,residential,5.1964326545e+12,1.0,0.0,Vallejo,Vallejo,81666.0,2592564.5494,45.4269062079,,,-20826.6280478,2.0,2.19298196045,10.0,0.0,0.0,1949.0,,1747767,10762.7825218,surface,0.0,val2,val2,1.0,1.0,624846.281963,OBAG,2012.0,1.0,556.34202474,0.0,556.34202474,15067.8955305,10.0,1.28566545769e-07,7.0,1.0,True,0.0,10000.0,25.0,7778073.1684,0.0,4067.0,b3,S,-122.254396272,38.1122467645,2025.0,81666VAL2b3NANA
2670,2670,,1000.0,1000.0,1753306.60215,1285844.84681,861.08757019,3140133.79311,8009.62358223,3.0,0.0,0,,0.0,residential,9.49277630699e+12,0.0,0.0,Vallejo,Vallejo,81666.0,1392639.82791,50.3002191301,,,-6048.06037346,1.5,1.64962019973,6.0,0.0,0.0,1944.0,,1747932,5339.74905482,surface,0.0,val2,val2,1.0,1.0,0.0,OBAG,2012.0,1.0,560.064449056,0.0,560.064449056,5606.73650756,6.0,3.17869366892e-07,4.0,1.0,True,0.0,10000.0,25.0,3145946.43006,0.0,2196.0,b3,S,-122.254977819,38.1116035726,2025.0,81666VAL2b3NANA
3646,3646,,900.0,1000.0,3227782.68464,2116264.36157,864.487075806,5521774.01476,17260.8699713,3.0,0.0,1,,0.0,residential,7.47916101092e+12,1.0,0.0,Vallejo,Vallejo,81666.0,2241797.96136,100.0,,,-171702.672344,2.75,2.95159386068,12.0,0.0,0.0,1938.0,,1749520,6276.67998957,deck,0.2,val1,val1,1.0,1.0,217212.438734,OBAG,2012.0,1.0,571.252246094,0.0,571.252246094,12082.6089799,12.0,1.82829372985e-07,4.0,1.0,True,0.0,13207.8978727,25.0,5469580.646,0.0,3600.0,b1,S,-122.253836559,38.1013648266,2025.0,81666VAL1b1NANA
3777,3777,,900.0,1000.0,2342360.57944,1738995.32196,859.612121582,4049526.237,12525.9924034,3.0,0.0,0,,0.0,residential,1.01637217226e+13,0.0,0.0,Vallejo,Vallejo,81666.0,1830093.44853,100.0,,,-127906.612355,2.75,2.95159386068,9.0,0.0,0.0,1924.0,,1749492,4554.90632851,deck,0.2,val1,val1,1.0,1.0,0.0,OBAG,2012.0,1.0,577.303308105,0.0,577.303308105,8768.19468238,9.0,2.39667110362e-07,4.0,1.0,True,0.0,14211.8458172,25.0,4172454.02797,0.0,2975.0,b1,S,-122.256130084,38.1013795471,2025.0,81666VAL1b1NANA
4195,4195,,1000.0,1000.0,2366469.07087,1940534.23111,869.243621826,4333285.48835,10810.7312511,3.0,0.0,0,,0.0,residential,5.52143559965e+12,0.0,0.0,Vallejo,Vallejo,81666.0,2084677.31446,50.3002191301,,,-122634.499024,1.5,1.64962019973,8.0,0.0,0.0,1940.0,,1748872,7207.15416741,surface,0.0,val2,val2,1.0,1.0,0.0,OBAG,2012.0,1.0,572.61693929,0.0,572.61693929,7567.51187578,8.0,2.24661225094e-07,4.0,1.0,True,0.0,17519.2141462,25.0,4451146.38533,0.0,3283.0,b1,S,-122.255086015,38.1057729605,2025.0,81666VAL2b1NANA
4352,4352,,900.0,1000.0,2689253.73296,1858380.64973,858.866348267,4677732.66101,14381.0360051,3.0,0.0,1,,0.0,residential,1.69599054146e+13,1.0,0.0,Vallejo,Vallejo,81666.0,1962970.00249,100.0,,,-206651.345993,2.75,2.95159386068,10.0,0.0,0.0,1938.0,,1749184,5229.46763822,deck,0.2,val1,val1,1.0,1.0,224116.276625,OBAG,2012.0,1.0,580.840909831,0.0,580.840909831,10066.7252036,10.0,2.14950969013e-07,4.0,1.0,True,0.0,18786.4859993,25.0,4652223.73545,0.0,3182.0,b1,S,-122.258040371,38.1023541546,2025.0,81666VAL1b1NANA
5216,5216,,900.0,1000.0,3331062.08863,2661720.17355,882.193908691,6269780.14486,17813.1662493,3.0,0.0,1,,0.0,residential,1.64683985785e+13,1.0,0.0,Vallejo,Vallejo,81666.0,2791270.47354,100.0,,,-110999.791484,2.75,2.95159386068,12.0,0.0,0.0,1938.0,,1749519,6477.51499976,deck,0.2,val1,val1,1.0,1.0,254126.658259,OBAG,2012.0,1.0,628.525878906,0.0,628.525878906,12469.2163745,12.0,1.63336439151e-07,4.0,1.0,True,0.0,10000.0,25.0,6122332.56217,0.0,4437.0,b1,S,-122.253665438,38.1013633956,2030.0,81666VAL1b1NANA
