,development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
21,21,True,,,,,,,31000.0,8.0,,0,,,industrial,2.20645125497e+11,,32.0,Windsor,,,,,,,,,,,0.0,31000.0,,,2036370,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.800599564,38.530226472,2013.0,
100,100,True,,,,,,,53163.0,3.0,,0,,,residential,2.1287461106e+12,,0.0,Windsor,,,,,,,,,,,0.0,0.0,,,2036345,,,,win1,,,,,,2012.0,,,0.0,,0.0,57.0,,3.0,,False,,,,,,,,M,-122.813133942,38.5460969987,2014.0,
240,240,True,,,,,,,36086.0,8.0,,0,,,industrial,5.0950556935e+12,,37.0,Windsor,,,,,,,,,,,0.0,36086.0,,,2035052,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-122.795185437,38.5212670849,2013.0,
341,341,True,,,,,,,55000.0,3.0,,0,,,residential,7.27693382673e+12,,0.0,Windsor,,,,,,,,,,,0.0,0.0,,,2033723,,,,,,,,,,2012.0,,,0.0,,0.0,65.0,,3.0,,False,,,,,,,,M,-122.781603677,38.5275103152,2011.0,
2262,2262,,1000.0,1000.0,1996993.65151,1205063.43821,787.623162231,3264587.90942,8289.72042969,3.0,2.0,0,,0.0,residential,4.90472368099e+12,0.0,0.0,Windsor,Windsor,85922.0,1295746.4357,60.0,,,-28718.036561,1.8,1.96772924046,4.0,0.0,0.0,1984.0,,2030270,4605.40023871,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,562.587973022,0.0,562.587973022,5802.80430078,6.0,3.03698431554e-07,5.0,1.0,True,0.0,10000.0,31.0,3292740.08721,2.0,2250.0,cr4,M,-122.81727202,38.5518489327,2025.0,85922WIN1cr4NANA
2263,2263,,1000.0,1000.0,2017167.50782,1205063.43821,787.623162231,3297567.14666,8373.46412545,3.0,2.0,0,,0.0,residential,5.47587143696e+12,0.0,0.0,Windsor,Windsor,85922.0,1296662.52562,60.0,,,-16589.770807,1.8,1.96772924046,4.0,0.0,0.0,1984.0,,2030272,4651.92451414,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,562.587973022,0.0,562.587973022,5861.42488782,6.0,3.0176562766e-07,5.0,1.0,True,0.0,10000.0,31.0,3313830.03344,2.0,2250.0,cr4,M,-122.817483813,38.5518562272,2025.0,85922WIN1cr4NANA
2303,2303,,1000.0,1000.0,2164918.9309,985379.97349,718.793748169,3229826.05402,8986.79506394,3.0,2.0,0,,0.0,residential,5.10819398975e+12,0.0,0.0,Windsor,Windsor,85922.0,1075097.36388,60.0,,,-10395.0646044,1.8,1.96772924046,4.0,0.0,0.0,1944.0,,2034152,4992.66392441,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,513.424105835,0.0,513.424105835,6290.75654476,6.0,3.08640423078e-07,5.0,1.0,True,0.0,10000.0,31.0,3240016.29478,2.0,2016.0,cr4,M,-122.814543932,38.5463736115,2025.0,85922WIN1cr4NANA
2651,2651,,1919.0,1919.0,3351578.9905,2222847.43789,817.223322754,5684907.67765,13912.7396866,2.0,2.0,0,,0.0,residential,9.83092485141e+12,0.0,0.0,Windsor,Windsor,85922.0,2377433.43441,31.2311876698,,,-44766.2964208,1.8,1.96552043613,3.0,0.0,0.0,1998.0,,1954390,7729.29982589,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,583.730944824,0.0,583.730944824,9738.91778062,5.0,1.74550153819e-07,5.0,1.0,True,0.0,10000.0,31.0,5729012.42491,2.0,4000.0,cr4,MH,-122.816488632,38.5455949286,2025.0,85922WIN1cr4NANA
3426,3426,,1000.0,1000.0,2007244.28821,1352427.20352,815.108005981,3395850.74571,8332.27184812,3.0,2.0,0,,0.0,residential,5.91159687296e+12,0.0,0.0,Windsor,Windsor,85922.0,1445008.00184,60.0,,,-57535.2153824,1.8,1.96772924046,4.0,0.0,0.0,1990.0,,1954171,4629.03991562,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,582.220004272,0.0,582.220004272,5832.59029368,6.0,2.89665967601e-07,5.0,1.0,True,0.0,11507.0430765,31.0,3452252.29005,2.0,2440.0,cr4,M,-122.818764546,38.5514146388,2025.0,85922WIN1cr4NANA
3549,3549,,1000.0,1000.0,2187058.86112,1485452.8301,815.108005981,3700060.5796,9078.70012919,3.0,2.0,0,,0.0,residential,9.79702757832e+11,0.0,0.0,Windsor,Windsor,85922.0,1586327.27598,60.0,,,-74799.4012049,1.8,1.96772924046,4.0,0.0,0.0,1993.0,,1954197,5043.72229399,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,582.220004272,0.0,582.220004272,6355.09009043,6.0,2.65013959257e-07,5.0,1.0,True,0.0,12466.5668675,31.0,3773386.1371,2.0,2680.0,cr4,M,-122.819112897,38.5503103541,2025.0,85922WIN1cr4NANA
3813,3813,,1000.0,1000.0,4893970.57478,2773819.87818,785.962789917,7983559.08411,20315.3614561,3.0,2.0,1,,0.0,residential,1.01260226893e+13,1.0,0.0,Windsor,Windsor,85922.0,2995585.40829,60.0,,,-203872.432697,1.8,1.96772924046,12.0,0.0,0.0,2000.0,,2034185,11286.3119201,surface,0.0,win1,win1,1.0,1.0,295856.994803,OBAG,2012.0,1.0,561.401992798,0.0,561.401992798,14220.7530193,14.0,1.26749845257e-07,5.0,1.0,True,0.0,14562.3166212,31.0,7889555.98307,2.0,5190.0,,M,-122.80928469,38.5430586872,2025.0,85922WIN1NANANA
4756,4756,,,,,,,,2226.03834986,10.0,,0,,,retail,,,5.0,Windsor,,,,,,,,,,5.0,0.0,2226.03834986,,,1954390,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,-122.816488632,38.5455949286,2025.0,
5412,5412,,1000.0,1000.0,2125681.40769,1673413.29634,877.014221802,3869349.99079,8823.91617969,3.0,2.0,0,,0.0,residential,1.69907673847e+13,0.0,0.0,Windsor,Windsor,85922.0,1771456.80944,60.0,,,-28346.7696929,1.8,1.96772924046,4.0,0.0,0.0,1993.0,,1954211,4902.17565538,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,626.438729858,0.0,626.438729858,6176.74132578,6.0,2.5659854598e-07,5.0,1.0,True,0.0,10000.0,31.0,3897138.21713,2.0,2806.0,cr4,M,-122.817595138,38.5506171219,2030.0,85922WIN1cr4NANA
5771,5771,,1000.0,1000.0,2108574.06368,1741612.60755,886.840377808,3881213.40654,8752.90188329,3.0,2.0,0,,0.0,residential,1.41328498358e+12,0.0,0.0,Windsor,Windsor,85922.0,1838867.07292,60.0,,,-67558.9074381,1.8,1.96772924046,4.0,0.0,0.0,1990.0,,1954158,4862.72326849,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,633.45741272,0.0,633.45741272,6127.0313183,6.0,2.53328666697e-07,5.0,1.0,True,0.0,11259.8179063,31.0,3947441.13661,2.0,2888.0,cr4,M,-122.817893287,38.551139268,2030.0,85922WIN1cr4NANA
5860,5860,,1000.0,1000.0,28813487.08,13951979.1889,758.64730835,45050247.1677,119607.667414,3.0,0.0,8,,0.0,residential,1.02394226103e+13,8.0,0.0,Windsor,Windsor,85922.0,15212257.452,60.0,,,-1045944.35243,1.8,1.96772924046,84.0,0.0,0.0,1986.0,,2034191,66448.7041189,surface,0.0,win1,win1,1.0,1.0,2049837.75225,OBAG,2012.0,1.0,538.071658325,0.0,538.071658325,83725.3671898,84.0,2.27139827078e-08,5.0,1.0,True,0.0,12601.7391859,31.0,44025744.5321,0.0,27045.0,cr4,M,-122.808816207,38.5453605311,2030.0,85922WIN1cr4NANA
5896,5896,,1000.0,1000.0,2007264.66443,1589187.4184,870.082025757,3624916.78177,8332.35643184,3.0,2.0,0,,0.0,residential,8.29701439926e+12,0.0,0.0,Windsor,Windsor,85922.0,1681769.15654,60.0,,,-65405.7916823,1.8,1.96772924046,4.0,0.0,0.0,1990.0,,1954170,4629.08690658,surface,0.0,win1,win1,1.0,1.0,0.0,OBAG,2012.0,1.0,621.487161255,0.0,621.487161255,5832.64950229,6.0,2.71073687185e-07,5.0,1.0,True,0.0,13081.1583365,31.0,3689033.82097,2.0,2686.0,cr4,M,-122.818939999,38.5514190417,2030.0,85922WIN1cr4NANA
6003,6003,,,1946.0,489929.051276,0.0,150.0,998174.749918,2488.21255092,1.0,0.0,0,,0.0,residential,1.57803056951e+13,0.0,0.0,Windsor,,,49764.2510183,6.0,,,458481.447624,0.25,0.3153459731,1.0,0.0,0.0,9999.0,,2032763,9952.85020367,surface,0.0,,,,,0.0,,2012.0,,471.954550171,0.0,471.954550171,2114.98066828,1.0,0.849522211366,1.0,,False,0.0,,31.0,539693.302294,0.0,0.0,,M,-122.797217032,38.5480276963,2030.0,
