juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Livermore,29368,5235,6790,7544,9799,23874.0,5507.0,44180,302.0,7413,5603,10600,9627,10635,0.999557537184,33339805.0,754.635694885,17.0,17.0,0.0,8578297.28442,504605.722613,0.0,0.0
Hayward,48438,13306,14408,10993,9731,28011.0,18314.0,78454,63.0,19268,7693,12524,20298,18608,1.04561252024,59459296.9648,757.887385791,60.0,60.0,0.0,45630129.4951,760502.158251,0.0,0.0
Sonoma County,64774,11589,15423,15838,21924,57015.0,12224.0,53941,4495.0,8780,5651,7274,15555,12186,0.935513222317,31879583.0,591.008379526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fremont,83264,23672,19229,18792,21571,51442.0,28452.0,101272,171.0,29328,10135,19425,23734,18479,1.04218088968,71744533.6608,708.434055423,721.0,721.0,0.0,879925116.869,1220423.18567,0.0,0.0
Pleasanton,28638,6618,5608,6658,9754,19239.0,8935.0,65130,213.0,6679,10650,18314,13650,15624,1.01646908497,36576084.0,561.585812989,226.0,226.0,0.0,289498645.612,1280967.45846,0.0,0.0
Dublin,21518,8238,3395,3882,6003,13867.0,6025.0,23306,79.0,2123,4141,4833,5859,6271,1.08174140358,15168847.0,650.855874024,516.0,516.0,0.0,733684577.336,1421869.33592,0.0,0.0
Contra Costa County,61215,12524,15537,14396,18758,50024.0,12626.0,36708,202.0,4230,4407,8511,10220,9138,0.977094972067,22835077.0,622.073580691,63.0,63.0,0.0,32011388.0567,508117.270741,0.0,0.0
Brentwood,19238,4530,3471,4204,7033,18553.0,1605.0,10303,143.0,482,2129,1934,3177,2438,0.954360551642,6764151.0,656.522469184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Ramon,28041,4907,5000,6418,11716,21996.0,6597.0,45931,241.0,2960,3315,13821,11172,14422,0.980694575595,24682852.0,537.389823866,188.0,188.0,0.0,219046357.543,1165140.1997,0.0,0.0
Oakley,15113,6133,2625,2717,3638,11165.0,4216.0,2962,20.0,172,716,558,888,608,0.982575905338,3077675.10687,1039.05304081,392.0,392.0,0.0,246175851.803,627999.621946,0.0,0.0
Antioch,35100,8323,8295,8204,10278,29781.0,6948.0,20870,41.0,1338,5099,3034,7095,4263,0.955648125459,13708944.0,656.873215141,192.0,192.0,0.0,172433049.157,898088.797695,0.0,0.0
Napa County,11751,1459,2503,2857,4932,11416.0,1091.0,19013,3113.0,5883,1722,1552,3379,3364,0.939553849844,15991258.0,841.06968916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco,437922,131898,110756,88378,106890,112781.0,335123.0,808768,636.0,29869,36083,320757,268040,153383,0.977713974423,392906964.011,485.80923579,1635.0,1635.0,0.0,1038699200.29,635290.030761,0.0,0.0
San Mateo County,22629,3720,5455,5470,7984,20254.0,2822.0,25576,486.0,4139,1401,7179,6896,5475,0.980629225169,13177749.0,515.238856741,16.0,16.0,0.0,9254713.48715,578419.592947,0.0,0.0
Petaluma,26258,7988,5575,5455,7240,19048.0,7944.0,31850,390.0,5176,4254,6267,8526,7237,0.972806757558,20456743.0,642.283924647,383.0,383.0,0.0,139020854.427,362978.732186,0.0,0.0
Santa Rosa,71622,17111,16251,16793,21467,49948.0,26065.0,80997,555.0,7701,10341,12320,31170,18910,0.942233565311,44757634.2926,552.583852397,454.0,454.0,0.0,121205416.547,266972.283143,0.0,0.0
Rohnert Park,18922,5062,4442,4302,5116,10090.0,9901.0,12383,85.0,1484,2325,2386,3457,2646,0.946525936672,7846963.0,633.688363078,158.0,158.0,0.0,79871922.133,505518.494513,0.0,0.0
Marin County,30261,5739,7283,6927,10312,23914.0,6897.0,19608,342.0,762,1718,3812,7536,5438,0.982149232417,8869061.0,452.318492452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond,51114,21882,12460,8980,7792,24802.0,27688.0,45542,176.0,7122,5084,9071,12475,11614,0.973785482949,29553360.8768,648.925406806,787.0,787.0,0.0,469535418.662,596614.254971,0.0,0.0
Pittsburg,22906,7547,5521,4891,4947,16290.0,7589.0,12862,20.0,1517,2525,1343,4068,3389,0.959252900038,9295119.84046,722.680752641,245.0,245.0,0.0,188550413.503,769593.524504,0.0,0.0
Orinda,7001,1253,1507,1501,2740,6498.0,615.0,5101,20.0,176,433,1965,1736,771,0.984254182483,1617200.0,317.035875319,24.0,24.0,0.0,25108101.4798,1046170.89499,0.0,0.0
Alameda,41169,15117,10344,7955,7753,15142.0,25162.0,34032,11.0,3060,2169,8072,11190,9530,1.02146188964,18303681.7368,537.837380607,545.0,545.0,0.0,207905717.177,381478.380141,0.0,0.0
Napa,28811,5333,7138,6999,9341,22564.0,7950.0,30901,404.0,3161,5227,3946,12111,6052,0.944189552337,21766144.0,704.383159121,4.0,4.0,0.0,2016995.23875,504248.809688,0.0,0.0
Hercules,9946,2815,2159,2143,2829,7431.0,2721.0,5370,6.0,1501,513,874,1311,1165,0.979708431836,3009841.0,560.491806331,114.0,114.0,0.0,173008824.889,1517621.27096,0.0,0.0
Newark,14738,4372,3813,3377,3176,11386.0,2731.0,19744,29.0,4653,3979,3019,4238,3826,1.04398951619,17983227.0,910.819844003,122.0,122.0,0.0,183647698.141,1505309.00116,0.0,0.0
Alameda County,55365,14817,15713,12865,11970,38935.0,16537.0,29220,99.0,2728,2900,5409,10654,7430,0.998071098933,18975292.7803,649.394003431,113.0,113.0,0.0,96676837.375,855547.233407,0.0,0.0
Martinez,14631,2920,3960,3630,4121,11528.0,3562.0,23714,22.0,2566,1686,3908,5547,9985,0.96958250497,11466632.0,483.538500464,2.0,2.0,0.0,1331596.4464,665798.2232,0.0,0.0
Danville,16292,2279,3153,3837,7023,15370.0,1244.0,12498,38.0,858,1554,4038,3732,2278,0.980618755267,5687651.0,455.084893583,61.0,61.0,0.0,40621222.881,665921.686574,0.0,0.0
Healdsburg,4630,842,1021,1176,1591,3874.0,1108.0,9566,186.0,1833,1181,1068,2413,2885,0.92934564432,5579045.0,583.216077775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concord,60709,20765,14635,12653,12656,40211.0,24442.0,78184,130.0,6785,11167,16335,26763,17004,0.93899741698,45210412.2925,578.256577976,347.0,347.0,0.0,84062097.4963,242253.883275,0.0,0.0
Sunnyvale,67836,20625,13769,15109,18333,26785.0,42615.0,104325,119.0,20631,6709,40532,20757,15577,0.977463976945,50451805.5009,483.602257377,1264.0,1264.0,0.0,224502387.309,177612.648188,0.0,0.0
Clayton,3948,551,903,980,1514,4057.0,17.0,2119,7.0,69,169,413,1077,384,0.969072164948,870340.0,410.731477112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daly City,33966,7842,9284,7952,8888,21253.0,13520.0,20946,30.0,1175,3380,3778,8672,3911,0.976792338884,10703114.3468,510.986075948,41.0,41.0,0.0,12304738.5739,300115.574973,0.0,0.0
Rio Vista,5341,2145,956,909,1331,4791.0,94.0,2394,408.0,433,280,191,453,629,1.09334698055,1290835.0,539.195906433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland,208441,81059,52278,39109,35995,85234.0,122359.0,231252,264.0,21461,13876,46653,85592,63406,1.00408491616,123160672.792,532.582087039,2517.0,2517.0,0.0,1043366306.58,414527.734041,0.0,0.0
Lafayette,10182,2130,2253,2320,3479,8070.0,2287.0,9724,18.0,966,915,2776,3373,1676,0.983103215217,4520336.0,464.86384204,73.0,73.0,0.0,36984149.2586,506632.181624,0.0,0.0
San Pablo,9389,3002,2972,1960,1455,4736.0,4860.0,8523,18.0,546,1143,955,4030,1831,0.97842851188,4712917.25594,552.964596497,6.0,6.0,0.0,1860164.71615,310027.452691,0.0,0.0
Walnut Creek,35056,7393,8275,8049,11339,18003.0,18127.0,53051,38.0,2663,5200,15030,20877,9243,0.970274010518,24520990.0,462.215415355,198.0,198.0,0.0,201209123.722,1016207.69557,0.0,0.0
Pleasant Hill,13871,2758,3718,3415,3980,10281.0,3885.0,18114,23.0,618,2135,3612,8059,3667,0.979175490611,9136894.0,504.410621619,1.0,1.0,0.0,636502.489095,636502.489095,0.0,0.0
Union City,22796,6140,5740,5276,5640,15016.0,6850.0,24951,34.0,8090,3317,2897,5719,4894,1.04253178451,22348142.0,895.681215182,140.0,140.0,0.0,99131842.7364,708084.590975,0.0,0.0
Brisbane,6062,2681,1147,1003,1231,1396.0,5080.0,13413,5.0,2813,400,4926,3046,2223,0.936071649166,11230454.0,837.281294267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloverdale,3505,936,766,793,1010,2908.0,969.0,1640,53.0,380,161,197,388,461,0.904049522827,884148.0,539.114634146,26.0,26.0,0.0,12446933.5505,478728.21348,0.0,0.0
