pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,28557.0,14058.0,5423.0,4457.0,4619.0,7334.0,22675.0,43061.0,32.0,4834.0,1780.0,13250.0,11947.0,11218.0,0.951614515645,23330342.0,541.797496575,748.0,748.0,0.0,376880961.163,503851.552357,0.0,0.0
fre2,13361.0,6503.0,2104.0,2241.0,2513.0,1363.0,11724.0,17212.0,17.0,321.0,1295.0,4545.0,7366.0,3668.0,1.02093680752,7082958.00004,411.512781783,548.0,548.0,0.0,471322627.929,860077.788191,0.0,0.0
liv1,1058.0,541.0,163.0,155.0,199.0,135.0,780.0,4665.0,6.0,144.0,610.0,1095.0,1807.0,1003.0,1.15628415301,2205355.0,472.744908896,47.0,47.0,0.0,16345324.7161,347772.8663,0.0,0.0
her2,2119.0,1251.0,240.0,251.0,377.0,1048.0,1182.0,27.0,0.0,13.0,2.0,3.0,2.0,7.0,0.950224215247,18615.0,689.444444444,142.0,142.0,0.0,204904220.721,1442987.46987,0.0,0.0
fre1,9982.0,3108.0,2453.0,2201.0,2220.0,4506.0,4949.0,5431.0,13.0,509.0,869.0,970.0,1899.0,1171.0,1.05573770492,3419725.03446,629.667655028,120.0,120.0,0.0,174870144.651,1457251.20543,0.0,0.0
fre4,5097.0,2850.0,684.0,725.0,838.0,4473.0,521.0,15479.0,29.0,6616.0,1476.0,2363.0,1981.0,3014.0,1.0206247497,12255626.1777,791.758264596,310.0,310.0,0.0,564710044.965,1821645.30634,0.0,0.0
ple1,4219.0,2124.0,545.0,660.0,890.0,131.0,4338.0,22677.0,45.0,2151.0,1763.0,8107.0,5483.0,5128.0,0.944059073618,9856992.0,434.669136129,183.0,183.0,0.0,201016935.116,1098453.19736,0.0,0.0
her1,255.0,185.0,27.0,23.0,20.0,170.0,88.0,1376.0,1.0,128.0,228.0,242.0,435.0,342.0,0.988372093023,535491.0,389.16497093,16.0,16.0,0.0,10063114.067,628944.629185,0.0,0.0
pit1,5979.0,3149.0,1062.0,907.0,861.0,2323.0,3897.0,4336.0,1.0,422.0,615.0,410.0,1368.0,1520.0,0.961254019293,2856912.15765,658.881955177,233.0,233.0,0.0,71798810.4836,308149.401217,0.0,0.0
