superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,42430,9666,10993,9454,12317,31095,14583,52525,406,3553,6265,11985,17223,13093,0.928893559263,31311503.0,596.125711566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,106563,35739,24035,23639,23150,44568,70517,283758,692,110490,14132,71478,36496,50470,0.925950384498,211292600.0,744.622530466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,120940,34590,38515,28565,19270,85466,39485,130920,143,37481,14116,17954,32005,29221,0.967899416571,118358848.0,904.054750993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,102809,21309,25530,27570,28400,73153,29172,122286,226,36217,13123,24895,28088,19737,1.00473002688,111297145.0,910.138077948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,71345,14712,15237,18298,23098,55656,16962,124416,599,16822,18811,34722,22669,30793,0.982469911041,84426969.0,678.586106289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,178763,67286,52278,32249,26950,96104,88833,201219,293,21567,12174,37436,63116,66633,0.966615658305,131475733.0,653.396215069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,87391,21871,24949,23221,17350,81095,16657,48151,344,3738,8721,8810,16193,10345,0.894007283738,34915795.0,725.131253764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,40244,6622,8554,7969,17099,27366,14180,38614,191,1800,5391,9229,15430,6573,0.96866124296,20794504.0,538.522401202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,84553,23138,25588,20248,15579,70258,26080,101400,1652,15738,11988,17385,31943,22694,0.877670285869,64753955.0,638.599161736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,22481,4731,5969,5414,6367,17535,6579,24917,90,1363,2879,9603,6373,4609,0.932280003318,13845919.0,555.681622988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,33187,9244,9908,7967,6068,27839,9602,43198,879,8071,4685,6372,14292,8899,0.886381239817,34054968.0,788.345941942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,116354,26592,26883,26518,36361,85107,40713,119620,273,16986,17432,25243,37470,22216,0.92476553807,68093048.0,569.244674804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,81184,34218,20954,12804,13208,1732,88561,358845,397,17959,20461,158482,89869,71677,0.899117318065,215060381.0,599.31274227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,122851,37337,32568,26012,26934,59590,71074,138423,112,12353,9278,26229,57498,32953,0.940205412355,91473337.0,660.824696763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,82192,14605,18577,19277,29733,54515,32584,100077,671,10251,11285,35887,26901,15082,0.943661810124,62665036.0,626.168210478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32066,8424,9581,7760,6301,33692,6084,28448,2706,5100,2792,3460,7675,6715,0.806164521319,17988976.0,632.345894263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,78361,13931,17198,17186,30046,58442,23928,135666,1617,26569,9046,37683,30447,30304,0.951329367488,81823517.0,603.124710687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,73469,26624,20373,13370,13102,36806,37994,132362,71,11510,8936,34503,53496,23846,0.982205882353,79967132.0,604.154757408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,61150,15228,17862,15511,12549,50998,17659,64301,2208,10923,8062,12180,18173,12755,0.890659364668,44621669.0,693.949845259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,107111,28640,25005,26101,27365,86942,27880,105734,278,23949,12443,18330,26107,24627,0.932843880093,71893145.0,679.943490268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,51500,6434,8054,11064,25948,47407,7331,67386,504,4898,6551,17910,16371,21152,0.940845482115,36325207.0,539.061630012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,58343,11431,13767,13259,19886,41954,21100,71428,97,4813,7510,23191,25358,10459,0.925286262569,37365690.0,523.123844991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,107184,28652,28376,21712,28444,16765,94639,88577,110,2907,7632,13010,39959,24959,0.96211985207,51578379.0,582.299908554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,96044,19657,25209,25797,25381,71619,31430,111574,303,26718,14409,20747,32246,17151,0.932022630011,82869035.0,742.727113844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,31556,8076,7575,7524,8381,27595,8406,44758,2914,9450,6584,7256,10620,7934,0.876531207466,30147942.0,673.576612002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,72083,18077,15897,14379,23730,44044,32196,153331,159,12948,9611,37894,74943,17776,0.945474816369,81752163.0,533.174393958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,70266,15153,16032,18156,20925,58052,17583,51890,327,7836,8338,12007,14724,8658,0.929014345211,32228488.0,621.092464829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,106420,40445,27540,21551,16884,58255,58211,132734,349,15999,10633,32778,31814,41161,0.913743066646,81713084.0,615.615320867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,88355,27428,27240,19849,13838,66451,28954,61468,256,11910,8441,10128,17482,13251,0.92610450186,46164868.0,751.039044706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,14307,3127,3848,3277,4055,14606,2946,23792,4095,5734,1567,2265,5800,4331,0.815120783956,14343301.0,602.862348689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,82390,19653,23473,21104,18160,63591,26795,100054,203,11071,11360,21183,29386,26851,0.91153497223,62758432.0,627.245607372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49142,11925,13627,11167,12423,34977,16838,27939,17,989,4318,4771,11152,6692,0.948412621828,16062370.0,574.908550771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
