parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
138,56.0,,53000OKD3NANANA
174,,9.4,53000OKD3bart1NANA
181,167.0,,53000OKD3bart1NANA
194,167.0,,53000OKD3bart1NANA
195,166.0,,53000OKD3bart1NANA
199,167.0,,53000OKD3bart1NANA
200,167.0,,53000OKD3bart1NANA
204,167.0,,53000OKD3bart1NANA
265,111.0,,53000OKD1_abrt1NANA
282,,3.0,53000NAbrt3NANA
320,52.0,,53000OKD3lrt2NANA
344,55.0,,53000OKD3lrt2NANA
349,186.0,,53000OKD3lrt2NANA
385,,9.3,53000OKD3bart1NANA
386,198.0,,53000OKD3lrt2NANA
421,199.0,,53000OKD3bart1NANA
434,192.0,,53000OKD3bart1NANA
502,165.0,,53000OKD3bart1NANA
510,167.0,,53000OKD3bart1NANA
511,169.0,,53000OKD3bart1NANA
526,174.0,,53000OKD3bart1NANA
527,166.0,,53000OKD3bart1NANA
540,174.0,,53000OKD3bart1NANA
551,209.0,,53000OKD3bart1NANA
561,209.0,,53000OKD3bart1NANA
570,206.0,,53000OKD3bart1NANA
623,210.0,,53000OKD3bart1NANA
624,,9.4,53000OKD3bart1NANA
640,227.0,,53000OKD3bart1NANA
707,216.0,,53000OKD3bart1NANA
722,227.0,,53000OKD3bart1NANA
750,209.0,,53000OKD3bart1NANA
763,217.0,,53000OKD3bart1NANA
783,222.0,,53000OKD3bart1NANA
786,215.0,,53000OKD3bart1NANA
789,216.0,,53000OKD3bart1NANA
798,214.0,,53000OKD3bart1NANA
807,232.0,,53000OKD3bart1NANA
812,,9.3,53000OKD3bart1NANA
814,215.0,,53000OKD3bart1NANA
829,,9.3,53000OKD3bart1NANA
843,222.0,,53000OKD3bart1NANA
850,218.0,,53000OKD3bart1NANA
851,217.0,,53000OKD3bart1NANA
856,214.0,,53000OKD3bart1NANA
859,214.0,,53000OKD3bart1NANA
868,134.0,,53000OKD3bart1NANA
870,138.0,,53000OKD3bart1NANA
874,141.0,,53000OKD3bart1NANA
875,142.0,,53000OKD3bart1NANA
894,122.0,,53000OKD7lrt2NANA
903,227.0,,53000OKD3bart1NANA
914,106.0,,53000OKD7b1NANA
919,106.0,,53000OKD7b1NANA
948,110.0,,53000OKD7lrt2NANA
976,139.0,,53000OKD3bart1NANA
978,136.0,,53000OKD3bart1NANA
981,137.0,,53000OKD3bart1NANA
1028,212.0,,53000OKD3bart1NANA
1032,216.0,,53000OKD3bart1NANA
1062,213.0,,53000OKD3bart1NANA
1078,213.0,,53000OKD3bart1NANA
1091,226.0,,53000OKD3bart1NANA
1097,213.0,,53000OKD3bart1NANA
1098,215.0,,53000OKD3bart1NANA
1099,209.0,,53000OKD3bart1NANA
1102,219.0,,53000OKD3bart1NANA
1106,,9.4,53000OKD3bart1NANA
1117,209.0,,53000OKD3bart1NANA
1118,211.0,,53000OKD3bart1NANA
1121,213.0,,53000OKD3bart1NANA
1124,222.0,,53000OKD3bart1NANA
1131,213.0,,53000OKD3bart1NANA
1151,214.0,,53000OKD3bart1NANA
1173,226.0,,53000OKD3bart1NANA
1229,218.0,,53000OKD3bart1NANA
1231,225.0,,53000OKD3bart1NANA
1271,,3.2,53000OKD7brt1NANA
1272,84.0,,53000OKD7brt1NANA
1287,87.0,,53000OKD7brt1NANA
1297,84.0,,53000OKD7brt1NANA
1301,78.0,,53000OKD7brt1NANA
1357,82.0,,53000OKD7brt1NANA
1358,82.0,,53000OKD7brt1NANA
1360,82.0,,53000OKD7brt1NANA
1361,82.0,,53000OKD7brt1NANA
1384,80.0,,53000OKD7brt1NANA
1390,85.0,,53000OKD7brt1NANA
1403,83.0,,53000OKD7brt1NANA
1427,85.0,,53000OKD7brt1NANA
1434,90.0,,53000OKD7brt1NANA
1455,87.0,,53000OKD7brt1NANA
1473,84.0,,53000OKD7lrt2NANA
1486,121.0,,53000OKD7bart1NANA
1498,118.0,,53000OKD7brt1NANA
1514,119.0,,53000OKD7brt1NANA
1542,,5.9,53000OKD7brt1NANA
1572,99.0,,53000OKD7brt1NANA
1631,92.0,,53000OKD7brt1NANA
