zoningmodcat,max_built_dua,max_built_non_res_far
00001ALC1bart3NANA,59.0,
00001ALC2NANANA,42.0,
00001ALC2b1NANA,44.0,
00001ALC2b2NANA,43.0,
00001ALC2b3NANA,47.0,
00001ALC2bart1NANA,44.0,
00001ALC3b3NANA,48.0,
00001ALC3b3ubzNA,50.0,
00001ALC4NANANA,48.0,
00001ALC4b3NANA,48.0,
00001NANANANA,30.0,
00001NANAubzNA,11.0,
00001NAb3NANA,12.0,
00001SLE1bart1NANA,58.0,
00013CCC1bart3NANA,60.0,
00013CCC2NANANA,57.0,
00013CCC2b3NANA,63.0,
00013CCC3_ab2NANA,47.0,
00013CCC3_abart3NANA,50.0,
00013CCC4NANANA,44.0,
00013CCC4b3NANA,35.0,
00013NAbart3NANA,6.0,
00013WCC1_aNANANA,43.0,
00013WCC1_aNAubzNA,18.0,
00013WCC1_ab2NANA,18.0,
00013WCC1_ab3NANA,62.0,
00041MCO1b2NANA,40.0,
00041MCO1b3NANA,37.0,
00041NANANANA,19.0,
00041NAb2NANA,26.0,
00041NAb3NANA,9.0,
00081CCG1_lNANANA,70.0,4.3
00081CCG1_lbrt2NANA,14.0,
00081NANANANA,39.0,0.1
00081NANAubzNA,13.0,
00081NAb3NANA,16.0,
00081NAb3ubzNA,4.0,
00081NAbrt2NANA,16.0,0.1
00085MVW2NAexp0NA,74.0,
00085NANANANA,28.0,
00085NANAubzNA,32.0,
00085NAb2ubzNA,29.0,
00085NAb3ubzNA,5.0,
00085NAbrt3NANA,,0.1
00085NAlrt2NANA,30.0,
00085SJO14b2NANA,19.0,
00085SJO18lrt2ubzNA,,1.7
00085SJO7lrt2NANA,97.0,
00085SJO8lrt2NANA,62.0,
00085SUN3b2exp0NA,74.0,
00085VTA1_ilrt2NANA,20.0,
00095FAI1NAubzNA,55.0,
00095FAI2NAubzNA,16.0,
00095FAI2NAubz_npNA,2.0,
00095NANANANA,4.0,
00095NANAexp1NA,4.0,
00095NANAubzNA,16.0,
00097NANANANA,5.0,
