development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
0,True,,,,,,,74800.0,4.0,,,0,,,office,493614563.0,,210.0,,,,,,,,,,,,0.0,74800.0,,,1509961,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,4.0,,False,,,,,,,,M,-121.951555877,37.2533834316,2011.0,
1,True,,,,,,,53974.0,3.0,,,0,,,residential,26691245770.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1355686,,,,,,,,,,2012.0,,,0.0,,0.0,36.0,,3.0,,False,,,,,,,,M,-122.0163179,37.3836266999,2013.0,
2,True,,,,,,,8000.0,10.0,,,0,,,retail,27819373993.0,,17.0,,,,,,,,,,,,0.0,8000.0,,,762443,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-122.532449293,37.9275091365,2011.0,
3,True,,,,,,,100000.0,3.0,,,0,,,residential,44183372372.0,,0.0,,,,,,,,,,,,0.0,0.0,,,903815,,,,sfo11,,,,,,2012.0,,,0.0,,0.0,115.0,,8.0,,False,,,,,,,,S,-122.426089446,37.7701767616,2014.0,
4,True,,,,,,,6976.0,10.0,,,0,,,retail,59510186886.0,,15.0,,,,,,,,,,,,0.0,6976.0,,,1557150,,,,vta1_i,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,S,-121.852997616,37.3506713566,2013.0,
5,True,,,,,,,21853.0,10.0,,,0,,,retail,71866071606.0,,49.0,,,,,,,,,,,,0.0,21853.0,,,122686,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,2.0,,False,,,,,,,,S,-122.302680931,37.8663831555,2011.0,
6,True,,,,,,,37744.0,7.0,,,0,,,industrial,93140175930.0,,57.0,,,,,,,,,,,,0.0,37744.0,,,1293192,,,,,,,,,,2012.0,,,0.0,,0.0,0.0,,1.0,,False,,,,,,,,M,-121.980950133,37.3975988832,2012.0,
7,True,,,,,,,92400.0,3.0,,,0,,,residential,96233024879.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1387559,,,,,,,,,,2012.0,,,0.0,,0.0,77.0,,1.0,,False,,,,,,,,S,-121.851490218,37.3774604236,2011.0,
8,True,,,,,,,99750.0,3.0,,,0,,,residential,102594599428.0,,0.0,,,,,,,,,,,,0.0,0.0,,,1356545,,,,sun2,,,,,,2012.0,,,0.0,,0.0,133.0,,5.0,,False,,,,,,,,S,-122.032471769,37.3775122804,2014.0,
9,True,,,,,,,115000.0,3.0,,,0,,,residential,102756071397.0,,0.0,,,,,,,,,,,,0.0,0.0,,,903807,,,,sfo11,,,,,,2012.0,,,0.0,,0.0,113.0,,8.0,,False,,,,,,,,S,-122.424425163,37.7715530145,2013.0,
